Wavelength (nm),Sum,Li I (4.0e-02),Li II (9.6e-01),Li III (5.9e-34)
652.56,9.559e-30,,9.559e-30,
652.61,1.535e-29,,1.535e-29,
652.66,2.437e-29,,2.437e-29,
652.71,3.825e-29,,3.825e-29,
652.76,5.932e-29,,5.932e-29,
652.81,9.094e-29,,9.094e-29,
652.86,1.378e-28,,1.378e-28,
652.91,2.064e-28,,2.064e-28,
652.96,3.056e-28,,3.056e-28,
653.01,4.471e-28,,4.471e-28,
653.06,6.468e-28,,6.468e-28,
653.11,9.247e-28,,9.247e-28,
653.16,1.307e-27,,1.307e-27,
653.21,1.825e-27,,1.825e-27,
653.26,2.520e-27,,2.520e-27,
653.31,3.440e-27,,3.440e-27,
653.36,4.641e-27,,4.641e-27,
653.41,6.188e-27,,6.188e-27,
653.46,8.157e-27,,8.157e-27,
653.51,1.063e-26,,1.063e-26,
653.56,1.369e-26,,1.369e-26,
653.61,1.743e-26,,1.743e-26,
653.66,2.194e-26,,2.194e-26,
653.71,2.729e-26,,2.729e-26,
653.76,3.357e-26,,3.357e-26,
653.81,4.082e-26,,4.082e-26,
653.86,4.907e-26,,4.907e-26,
653.91,5.832e-26,,5.832e-26,
653.96,6.853e-26,,6.853e-26,
654.01,7.963e-26,,7.963e-26,
654.06,9.148e-26,,9.148e-26,
654.11,1.039e-25,,1.039e-25,
654.16,1.168e-25,,1.168e-25,
654.21,1.298e-25,,1.298e-25,
654.26,1.427e-25,,1.427e-25,
654.31,1.551e-25,,1.551e-25,
654.36,1.669e-25,,1.669e-25,
654.41,1.777e-25,,1.777e-25,
654.46,1.873e-25,,1.873e-25,
654.51,1.954e-25,,1.954e-25,
654.56,2.019e-25,,2.019e-25,
654.61,2.066e-25,,2.066e-25,
654.66,2.094e-25,,2.094e-25,
654.71,2.105e-25,,2.105e-25,
654.76,2.097e-25,,2.097e-25,
654.81,2.072e-25,,2.072e-25,
654.86,2.032e-25,,2.032e-25,
654.91,1.978e-25,,1.978e-25,
654.96,1.912e-25,,1.912e-25,
655.01,1.837e-25,,1.837e-25,
655.06,1.753e-25,,1.753e-25,
655.11,1.664e-25,,1.664e-25,
655.16,1.571e-25,,1.571e-25,
655.21,1.476e-25,,1.476e-25,
655.26,1.379e-25,,1.379e-25,
655.31,1.283e-25,,1.283e-25,
