Wavelength (nm),Sum,Al I (6.4e-02),Al II (4.4e-01),Al III (1.3e-05),Cr I (4.5e-02),Cr II (4.6e-01)
209.37,1.783e+5,,1.783e+5,1.288e-4,,
209.42,2.077e+5,,2.077e+5,9.647e-5,,
209.47,2.170e+5,,2.170e+5,6.459e-5,,
209.52,2.035e+5,,2.035e+5,3.862e-5,,
209.57,1.712e+5,,1.712e+5,2.060e-5,,
209.62,1.292e+5,,1.292e+5,9.807e-6,,
209.67,8.749e+4,,8.749e+4,4.165e-6,,
209.72,5.315e+4,,5.315e+4,1.578e-6,,
209.77,2.895e+4,,2.895e+4,5.334e-7,,
209.82,1.415e+4,,1.415e+4,1.609e-7,,
209.87,6.196e+3,,6.196e+3,4.327e-8,,
209.92,2.432e+3,,2.432e+3,1.038e-8,,
209.97,8.556e+2,,8.556e+2,2.223e-9,,
210.02,2.697e+2,,2.697e+2,4.246e-10,,
210.07,7.612e+1,,7.612e+1,7.235e-11,,
210.12,1.924e+1,,1.924e+1,1.100e-11,,
210.17,4.353e+0,,4.353e+0,1.491e-12,,
210.22,8.815e-1,,8.815e-1,1.804e-13,,
210.27,1.597e-1,,1.597e-1,1.947e-14,,
210.32,2.589e-2,,2.589e-2,1.874e-15,,
210.37,3.753e-3,,3.753e-3,1.609e-16,,
210.42,4.866e-4,,4.866e-4,1.233e-17,,
210.47,5.640e-5,,5.640e-5,8.428e-19,,
210.52,5.845e-6,,5.845e-6,5.139e-20,,
210.57,5.640e-7,2.267e-8,5.414e-7,,,
210.62,4.002e-7,3.554e-7,4.481e-8,,,
210.67,4.988e-6,4.985e-6,3.315e-9,,,
210.72,6.254e-5,6.254e-5,2.159e-10,,,
210.77,7.019e-4,7.019e-4,1.038e-11,,,
210.82,7.046e-3,7.046e-3,,,,
210.87,6.328e-2,6.328e-2,,,,
210.92,5.084e-1,5.084e-1,,,,
210.97,3.654e+0,3.654e+0,,,,
211.02,2.349e+1,2.349e+1,,,,
211.07,1.351e+2,1.351e+2,,,,
211.12,6.950e+2,6.950e+2,,,,
211.17,3.199e+3,3.199e+3,,,,
211.22,1.317e+4,1.317e+4,,,,
211.27,4.850e+4,4.850e+4,,,,
211.32,1.598e+5,1.598e+5,,,,
211.37,4.709e+5,4.709e+5,,,,
211.42,1.242e+6,1.242e+6,,,,
211.47,2.928e+6,2.928e+6,,,,
211.52,6.177e+6,6.177e+6,,,,
211.57,1.166e+7,1.166e+7,,,,
211.62,1.968e+7,1.968e+7,,,,
211.67,2.973e+7,2.973e+7,,,,
211.72,4.018e+7,4.018e+7,,,,
211.77,4.861e+7,4.861e+7,,,,
211.82,5.273e+7,5.273e+7,,,,
211.87,5.151e+7,5.151e+7,,,,
211.92,4.596e+7,4.596e+7,,,,
211.97,3.893e+7,3.893e+7,,,,
212.02,3.417e+7,3.417e+7,,,,
212.07,3.505e+7,3.505e+7,,,,
212.12,4.333e+7,4.333e+7,,,,
212.17,5.834e+7,5.834e+7,,,,
212.22,7.672e+7,7.672e+7,,,,
212.27,9.323e+7,9.323e+7,,,,
212.32,1.025e+8,1.025e+8,,,,
212.37,1.012e+8,1.012e+8,,,,
212.42,8.962e+7,8.962e+7,,,,
212.47,7.123e+7,7.123e+7,,,,
212.52,5.120e+7,5.120e+7,,,,
212.57,3.425e+7,3.425e+7,,,,
212.62,2.347e+7,2.347e+7,,,,
212.67,2.016e+7,2.016e+7,,,,
212.72,2.426e+7,2.426e+7,,,,
212.77,3.467e+7,3.467e+7,,,,
212.82,4.911e+7,4.911e+7,,,,
212.87,6.412e+7,6.412e+7,,,,
212.92,7.561e+7,7.561e+7,,,,
212.97,8.027e+7,8.027e+7,,,,
213.02,7.716e+7,7.716e+7,,,,
213.07,6.848e+7,6.848e+7,,,,
213.12,5.901e+7,5.901e+7,,,,
213.17,5.450e+7,5.450e+7,,,,
213.22,5.952e+7,5.952e+7,,,,
213.27,7.572e+7,7.572e+7,,,,
213.32,1.006e+8,1.006e+8,,,,
213.37,1.280e+8,1.280e+8,,,,
213.42,1.493e+8,1.493e+8,,,,
213.47,1.574e+8,1.574e+8,,,,
213.52,1.492e+8,1.492e+8,,,,
213.57,1.268e+8,1.268e+8,,,,
213.62,9.655e+7,9.655e+7,,,,
213.67,6.592e+7,6.592e+7,,,,
213.72,4.033e+7,4.033e+7,,,,
213.77,2.211e+7,2.211e+7,,,,
213.82,1.086e+7,1.086e+7,,,,
213.87,4.786e+6,4.786e+6,,,,
213.92,1.902e+6,1.902e+6,,,,
213.97,7.252e+5,7.252e+5,,,,
214.02,4.097e+5,4.097e+5,,,,
214.07,6.670e+5,6.670e+5,,,,
214.12,1.682e+6,1.682e+6,,,,
214.17,4.109e+6,4.109e+6,,,,
214.22,9.073e+6,9.073e+6,,,,
214.27,1.799e+7,1.799e+7,,,,
214.32,3.198e+7,3.198e+7,,,,
214.37,5.103e+7,5.103e+7,,,,
214.42,7.304e+7,7.304e+7,,,,
214.47,9.383e+7,9.383e+7,,,,
214.52,1.083e+8,1.083e+8,,,,
214.57,1.125e+8,1.125e+8,,,,
214.62,1.061e+8,1.061e+8,,,,
214.67,9.290e+7,9.290e+7,,,,
214.72,7.976e+7,7.976e+7,,,,
214.77,7.450e+7,7.450e+7,,,,
214.82,8.304e+7,8.304e+7,,,,
214.87,1.071e+8,1.071e+8,,,,
214.92,1.428e+8,1.428e+8,,,,
214.97,1.812e+8,1.812e+8,,,,
215.02,2.108e+8,2.108e+8,,,,
215.07,2.217e+8,2.217e+8,,,,
215.12,2.098e+8,2.098e+8,,,,
215.17,1.783e+8,1.783e+8,,,,
215.22,1.361e+8,1.361e+8,,,,
215.27,9.321e+7,9.321e+7,,,,
215.32,5.731e+7,5.731e+7,,,,
215.37,3.162e+7,3.162e+7,,,,
215.42,1.566e+7,1.566e+7,,,,
215.47,6.962e+6,6.962e+6,,,,
215.52,2.778e+6,2.778e+6,,,,
215.57,9.948e+5,9.948e+5,,,,
215.62,3.198e+5,3.198e+5,,,,
215.67,9.225e+4,9.225e+4,,,,
215.72,2.388e+4,2.388e+4,,,,
215.77,5.551e+3,5.551e+3,,,,
215.82,1.158e+3,1.158e+3,,,,
215.87,2.168e+2,2.168e+2,,,,
215.92,3.695e+1,3.695e+1,,,,
215.97,9.313e+0,9.313e+0,,,,
216.02,2.581e+1,2.581e+1,,,,
216.07,1.480e+2,1.480e+2,,,,
216.12,7.849e+2,7.849e+2,,,,
216.17,3.745e+3,3.745e+3,,,,
216.22,1.606e+4,1.606e+4,,,,
216.27,6.196e+4,6.196e+4,,,,
216.32,2.149e+5,2.149e+5,,,,
216.37,6.702e+5,6.702e+5,,,,
216.42,1.879e+6,1.879e+6,,,,
216.47,4.738e+6,4.738e+6,,,,
216.52,1.074e+7,1.074e+7,,,,
216.57,2.190e+7,2.190e+7,,,,
216.62,4.014e+7,4.014e+7,,,,
216.67,6.615e+7,6.615e+7,,,,
