Wavelength (nm),Sum,Al I (6.4e-02),Al II (4.4e-01),Al III (1.3e-05),Cr I (4.5e-02),Cr II (4.6e-01)
453.8,2.842e+7,,,2.667e-4,2.842e+7,2.377e-2
453.85,2.907e+7,,,1.714e-4,2.907e+7,6.328e-2
453.9,2.962e+7,,,1.075e-4,2.962e+7,1.645e-1
453.95,2.999e+7,,,6.577e-5,2.999e+7,4.173e-1
454,3.013e+7,,,3.928e-5,3.013e+7,1.034e+0
454.05,2.996e+7,,,2.290e-5,2.996e+7,2.500e+0
454.1,2.946e+7,,,1.302e-5,2.946e+7,5.901e+0
454.15,2.861e+7,,,7.231e-6,2.861e+7,1.360e+1
454.2,2.742e+7,,,3.918e-6,2.742e+7,3.060e+1
454.25,2.592e+7,,,2.072e-6,2.592e+7,6.720e+1
454.3,2.417e+7,,,1.069e-6,2.417e+7,1.441e+2
454.35,2.222e+7,,,5.384e-7,2.222e+7,3.016e+2
454.4,2.014e+7,,,2.646e-7,2.014e+7,6.162e+2
454.45,1.800e+7,,,1.269e-7,1.800e+7,1.229e+3
454.5,1.588e+7,,,5.943e-8,1.587e+7,2.394e+3
454.55,1.381e+7,,,2.715e-8,1.381e+7,4.551e+3
454.6,1.186e+7,,,1.211e-8,1.185e+7,8.445e+3
454.65,1.006e+7,,,5.268e-9,1.004e+7,1.530e+4
454.7,8.437e+6,,,2.237e-9,8.410e+6,2.706e+4
454.75,7.012e+6,,,9.271e-10,6.966e+6,4.672e+4
454.8,5.800e+6,,,3.750e-10,5.721e+6,7.876e+4
454.85,4.807e+6,,,1.480e-10,4.678e+6,1.296e+5
454.9,4.040e+6,,,5.702e-11,3.832e+6,2.082e+5
454.95,3.501e+6,,,2.144e-11,3.175e+6,3.265e+5
455,3.192e+6,,,7.866e-12,2.693e+6,4.998e+5
455.05,3.116e+6,,,2.817e-12,2.369e+6,7.470e+5
455.1,3.274e+6,,,9.844e-13,2.184e+6,1.090e+6
455.15,3.667e+6,,,3.357e-13,2.115e+6,1.552e+6
455.2,4.298e+6,,,1.118e-13,2.139e+6,2.158e+6
455.25,5.163e+6,,,3.630e-14,2.233e+6,2.930e+6
455.3,6.254e+6,,,1.151e-14,2.372e+6,3.882e+6
455.35,7.557e+6,,,3.560e-15,2.535e+6,5.022e+6
455.4,9.044e+6,,,1.075e-15,2.702e+6,6.342e+6
455.45,1.068e+7,,,3.168e-16,2.857e+6,7.819e+6
455.5,1.240e+7,,,9.110e-17,2.987e+6,9.410e+6
455.55,1.414e+7,,,2.557e-17,3.088e+6,1.106e+7
455.6,1.584e+7,,,7.003e-18,3.159e+6,1.268e+7
455.65,1.740e+7,,,1.784e-18,3.205e+6,1.420e+7
455.7,1.876e+7,,,,3.237e+6,1.552e+7
455.75,1.983e+7,,,,3.269e+6,1.656e+7
455.8,2.057e+7,,,,3.316e+6,1.726e+7
455.85,2.094e+7,,4.384e-13,,3.397e+6,1.755e+7
455.9,2.095e+7,,1.587e-12,,3.523e+6,1.742e+7
455.95,2.059e+7,,5.608e-12,,3.705e+6,1.689e+7
456,1.992e+7,,1.935e-11,,3.945e+6,1.598e+7
456.05,1.900e+7,,6.534e-11,,4.240e+6,1.476e+7
456.1,1.789e+7,,2.151e-10,,4.579e+6,1.331e+7
456.15,1.666e+7,,6.913e-10,,4.946e+6,1.171e+7
456.2,1.539e+7,,2.170e-9,,5.320e+6,1.007e+7
456.25,1.413e+7,,6.652e-9,,5.682e+6,8.445e+6
456.3,1.293e+7,,1.991e-8,,6.013e+6,6.916e+6
456.35,1.183e+7,,5.820e-8,,6.298e+6,5.529e+6
456.4,1.085e+7,,1.661e-7,,6.531e+6,4.316e+6
456.45,1.000e+7,,4.631e-7,,6.712e+6,3.288e+6
456.5,9.293e+6,,1.261e-6,,6.847e+6,2.446e+6
456.55,8.726e+6,,3.352e-6,,6.950e+6,1.776e+6
456.6,8.294e+6,,8.702e-6,,7.035e+6,1.259e+6
456.65,7.989e+6,,2.206e-5,,7.118e+6,8.713e+5
456.7,7.798e+6,,5.463e-5,,7.210e+6,5.886e+5
456.75,7.705e+6,,1.321e-4,,7.316e+6,3.882e+5
456.8,7.686e+6,,3.120e-4,,7.436e+6,2.500e+5
456.85,7.716e+6,,7.195e-4,,7.559e+6,1.571e+5
456.9,7.765e+6,,1.621e-3,,7.669e+6,9.640e+4
456.95,7.803e+6,,3.566e-3,,7.745e+6,5.774e+4
457,7.799e+6,,7.661e-3,,7.766e+6,3.377e+4
457.05,7.730e+6,,1.608e-2,,7.711e+6,1.928e+4
457.1,7.576e+6,,3.296e-2,,7.565e+6,1.076e+4
457.15,7.328e+6,,6.598e-2,,7.322e+6,5.876e+3
457.2,6.985e+6,,1.290e-1,,6.981e+6,3.174e+3
457.25,6.555e+6,,2.465e-1,,6.553e+6,1.758e+3
457.3,6.054e+6,,4.599e-1,,6.053e+6,1.125e+3
457.35,5.505e+6,,8.385e-1,,5.504e+6,1.034e+3
457.4,4.931e+6,,1.493e+0,,4.929e+6,1.449e+3
457.45,4.357e+6,,2.598e+0,,4.355e+6,2.526e+3
457.5,3.806e+6,,4.417e+0,,3.801e+6,4.655e+3
457.55,3.296e+6,,7.338e+0,,3.287e+6,8.552e+3
457.6,2.839e+6,,1.191e+1,,2.823e+6,1.542e+4
457.65,2.444e+6,,1.890e+1,,2.417e+6,2.720e+4
457.7,2.114e+6,,2.931e+1,,2.067e+6,4.685e+4
457.75,1.851e+6,,4.443e+1,,1.772e+6,7.881e+4
457.8,1.654e+6,,6.584e+1,,1.525e+6,1.295e+5
457.85,1.525e+6,,9.539e+1,,1.317e+6,2.077e+5
457.9,1.466e+6,,1.352e+2,,1.140e+6,3.254e+5
457.95,1.486e+6,,1.873e+2,,9.881e+5,4.978e+5
458,1.598e+6,,2.540e+2,,8.540e+5,7.437e+5
458.05,1.819e+6,,3.370e+2,,7.339e+5,1.085e+6
458.1,2.171e+6,,4.375e+2,,6.255e+5,1.546e+6
458.15,2.678e+6,,5.560e+2,,5.276e+5,2.150e+6
458.2,3.362e+6,,6.919e+2,,4.404e+5,2.921e+6
458.25,4.240e+6,,8.433e+2,,3.647e+5,3.875e+6
458.3,5.323e+6,,1.007e+3,,3.018e+5,5.020e+6
458.35,6.605e+6,,1.178e+3,,2.533e+5,6.351e+6
458.4,8.068e+6,,1.351e+3,,2.210e+5,7.845e+6
458.45,9.674e+6,,1.520e+3,,2.073e+5,9.465e+6
458.5,1.137e+7,,1.676e+3,,2.148e+5,1.115e+7
458.55,1.308e+7,,1.814e+3,,2.469e+5,1.283e+7
458.6,1.472e+7,,1.927e+3,,3.082e+5,1.441e+7
458.65,1.622e+7,,2.008e+3,,4.040e+5,1.581e+7
458.7,1.748e+7,,2.055e+3,,5.406e+5,1.694e+7
458.75,1.845e+7,,2.065e+3,,7.255e+5,1.772e+7
458.8,1.907e+7,,2.037e+3,,9.663e+5,1.810e+7
458.85,1.933e+7,,1.974e+3,,1.271e+6,1.806e+7
458.9,1.924e+7,,1.879e+3,,1.646e+6,1.759e+7
458.95,1.884e+7,,1.756e+3,,2.097e+6,1.674e+7
459,1.818e+7,,1.612e+3,,2.626e+6,1.555e+7
459.05,1.734e+7,,1.453e+3,,3.232e+6,1.411e+7
459.1,1.641e+7,,1.286e+3,,3.909e+6,1.250e+7
459.15,1.546e+7,,1.117e+3,,4.648e+6,1.081e+7
459.2,1.457e+7,,9.517e+2,,5.433e+6,9.133e+6
459.25,1.378e+7,,7.958e+2,,6.245e+6,7.535e+6
459.3,1.313e+7,,6.528e+2,,7.062e+6,6.070e+6
459.35,1.264e+7,,5.251e+2,,7.861e+6,4.776e+6
459.4,1.229e+7,,4.140e+2,,8.621e+6,3.669e+6
459.45,1.208e+7,,3.200e+2,,9.322e+6,2.752e+6
459.5,1.197e+7,,2.424e+2,,9.950e+6,2.017e+6
459.55,1.194e+7,,1.798e+2,,1.049e+7,1.443e+6
459.6,1.196e+7,,1.307e+2,,1.095e+7,1.008e+6
459.65,1.201e+7,,9.298e+1,,1.132e+7,6.876e+5
459.7,1.206e+7,,6.477e+1,,1.160e+7,4.581e+5
459.75,1.210e+7,,4.416e+1,,1.180e+7,2.980e+5
459.8,1.210e+7,,2.947e+1,,1.191e+7,1.893e+5
459.85,1.206e+7,,1.924e+1,,1.194e+7,1.175e+5
459.9,1.195e+7,,1.229e+1,,1.187e+7,7.116e+4
459.95,1.175e+7,,7.680e+0,,1.171e+7,4.210e+4
460,1.147e+7,,4.694e+0,,1.144e+7,2.432e+4
460.05,1.108e+7,,2.805e+0,,1.106e+7,1.372e+4
460.1,1.058e+7,,1.640e+0,,1.057e+7,7.560e+3
460.15,9.980e+6,,9.369e-1,,9.976e+6,4.067e+3
460.2,9.291e+6,,5.234e-1,,9.289e+6,2.137e+3
460.25,8.530e+6,,2.859e-1,,8.529e+6,1.096e+3
460.3,7.723e+6,,1.526e-1,,7.722e+6,5.492e+2
460.35,6.896e+6,,7.964e-2,,6.896e+6,2.687e+2
460.4,6.078e+6,,4.062e-2,,6.078e+6,1.284e+2
460.45,5.295e+6,,2.025e-2,,5.295e+6,5.989e+1
460.5,4.570e+6,,9.862e-3,,4.570e+6,2.728e+1
460.55,3.921e+6,,4.694e-3,,3.921e+6,1.214e+1
460.6,3.359e+6,,2.183e-3,,3.359e+6,5.274e+0
460.65,2.894e+6,,9.923e-4,,2.894e+6,2.237e+0
460.7,2.533e+6,,4.407e-4,,2.533e+6,9.269e-1
460.75,2.279e+6,,1.912e-4,,2.279e+6,3.750e-1
460.8,2.140e+6,,8.105e-5,,2.140e+6,1.482e-1
460.85,2.119e+6,,3.356e-5,,2.119e+6,5.716e-2
460.9,2.227e+6,,1.358e-5,,2.227e+6,2.154e-2
460.95,2.471e+6,,5.367e-6,,2.471e+6,7.923e-3
461,2.859e+6,,2.072e-6,,2.859e+6,2.847e-3
461.05,3.397e+6,,7.817e-7,,3.397e+6,9.987e-4
461.1,4.086e+6,,2.880e-7,,4.086e+6,3.421e-4
461.15,4.920e+6,,1.037e-7,,4.920e+6,1.145e-4
461.2,5.887e+6,,3.644e-8,,5.887e+6,3.740e-5
461.25,6.962e+6,,1.251e-8,,6.962e+6,1.193e-5
461.3,8.114e+6,,4.203e-9,,8.114e+6,3.717e-6
461.35,9.304e+6,,1.396e-9,,9.304e+6,1.131e-6
461.4,1.049e+7,,5.085e-10,,1.049e+7,3.360e-7
461.45,1.162e+7,,3.602e-10,,1.162e+7,9.749e-8
461.5,1.266e+7,,7.490e-10,,1.266e+7,2.762e-8
461.55,1.357e+7,,2.207e-9,,1.357e+7,7.641e-9
461.6,1.433e+7,,6.658e-9,,1.433e+7,2.065e-9
461.65,1.492e+7,,1.972e-8,,1.492e+7,
461.7,1.534e+7,,5.712e-8,,1.534e+7,
461.75,1.560e+7,,1.617e-7,,1.560e+7,
461.8,1.571e+7,,4.472e-7,,1.571e+7,
461.85,1.571e+7,,1.209e-6,,1.571e+7,
461.9,1.559e+7,,3.194e-6,,1.559e+7,
461.95,1.540e+7,,8.245e-6,,1.540e+7,
462,1.514e+7,,2.080e-5,,1.514e+7,
462.05,1.482e+7,,5.130e-5,,1.482e+7,
462.1,1.444e+7,,1.236e-4,,1.444e+7,
462.15,1.401e+7,,2.911e-4,,1.401e+7,
462.2,1.351e+7,,6.701e-4,,1.351e+7,
462.25,1.294e+7,,1.507e-3,,1.294e+7,
462.3,1.231e+7,,3.314e-3,,1.231e+7,
462.35,1.160e+7,,7.120e-3,,1.160e+7,
462.4,1.083e+7,,1.495e-2,,1.083e+7,
462.45,1.001e+7,,3.068e-2,,1.001e+7,
462.5,9.149e+6,,6.153e-2,,9.149e+6,
462.55,8.262e+6,,1.206e-1,,8.262e+6,
462.6,7.369e+6,,2.311e-1,,7.369e+6,
462.65,6.489e+6,,4.326e-1,,6.489e+6,
462.7,5.638e+6,,7.916e-1,,5.638e+6,
462.75,4.832e+6,,1.416e+0,,4.832e+6,
462.8,4.085e+6,,2.475e+0,,4.085e+6,
462.85,3.405e+6,,4.228e+0,,3.405e+6,
462.9,2.801e+6,,7.059e+0,,2.801e+6,
462.95,2.276e+6,,1.152e+1,,2.276e+6,
463,1.833e+6,,1.837e+1,,1.833e+6,
463.05,1.472e+6,,2.864e+1,,1.472e+6,
463.1,1.192e+6,,4.364e+1,,1.192e+6,
463.15,9.924e+5,,6.498e+1,,9.923e+5,
463.2,8.704e+5,,9.457e+1,,8.703e+5,
463.25,8.250e+5,,1.345e+2,,8.249e+5,
463.3,8.550e+5,,1.870e+2,,8.548e+5,
463.35,9.597e+5,,2.541e+2,,9.594e+5,
463.4,1.139e+6,,3.375e+2,,1.139e+6,
463.45,1.392e+6,,4.382e+2,,1.392e+6,
463.5,1.720e+6,,5.559e+2,,1.719e+6,
463.55,2.121e+6,,6.894e+2,,2.120e+6,
463.6,2.595e+6,,8.356e+2,,2.595e+6,
463.65,3.144e+6,,9.898e+2,,3.143e+6,
463.7,3.770e+6,,1.146e+3,,3.769e+6,
463.75,4.479e+6,,1.297e+3,,4.478e+6,
463.8,5.282e+6,,1.435e+3,,5.281e+6,
463.85,6.194e+6,,1.551e+3,,6.193e+6,
463.9,7.237e+6,,1.639e+3,,7.236e+6,
463.95,8.437e+6,,1.693e+3,,8.435e+6,
464,9.821e+6,,1.709e+3,,9.819e+6,
464.05,1.141e+7,,1.686e+3,,1.141e+7,
464.1,1.323e+7,,1.626e+3,,1.323e+7,
464.15,1.527e+7,,1.532e+3,,1.527e+7,
464.2,1.753e+7,,1.412e+3,,1.753e+7,
464.25,1.995e+7,,1.271e+3,,1.995e+7,
464.3,2.247e+7,,1.119e+3,,2.247e+7,
464.35,2.500e+7,,9.621e+2,,2.500e+7,
464.4,2.743e+7,,8.089e+2,,2.743e+7,
464.45,2.965e+7,,6.647e+2,,2.965e+7,
464.5,3.156e+7,,5.339e+2,,3.156e+7,
464.55,3.304e+7,,4.193e+2,,3.304e+7,
464.6,3.405e+7,,3.221e+2,,3.405e+7,
464.65,3.454e+7,,2.424e+2,,3.454e+7,
464.7,3.453e+7,,1.796e+2,,3.453e+7,
464.75,3.405e+7,,1.326e+2,,3.405e+7,
464.8,3.317e+7,,1.008e+2,,3.317e+7,
464.85,3.198e+7,,8.477e+1,,3.198e+7,
464.9,3.057e+7,,8.707e+1,,3.057e+7,
464.95,2.903e+7,,1.141e+2,,2.903e+7,
465,2.743e+7,,1.780e+2,,2.743e+7,
465.05,2.582e+7,,3.001e+2,,2.582e+7,
465.1,2.421e+7,,5.151e+2,,2.421e+7,
465.15,2.263e+7,,8.770e+2,,2.263e+7,
465.2,2.106e+7,,1.467e+3,,2.106e+7,
465.25,1.949e+7,,2.403e+3,,1.949e+7,
465.3,1.791e+7,,3.848e+3,,1.791e+7,
465.35,1.632e+7,,6.025e+3,,1.631e+7,
465.4,1.472e+7,,9.219e+3,,1.471e+7,
465.45,1.312e+7,,1.379e+4,,1.311e+7,
465.5,1.156e+7,,2.015e+4,,1.154e+7,
465.55,1.007e+7,,2.878e+4,,1.004e+7,
465.6,8.684e+6,,4.016e+4,,8.644e+6,
465.65,7.433e+6,,5.478e+4,,7.378e+6,
465.7,6.344e+6,,7.303e+4,,6.271e+6,
465.75,5.437e+6,,9.513e+4,,5.342e+6,
465.8,4.721e+6,,1.211e+5,,4.600e+6,
465.85,4.198e+6,,1.507e+5,,4.047e+6,
465.9,3.859e+6,,1.832e+5,,3.676e+6,
465.95,3.691e+6,,2.177e+5,,3.473e+6,
466,3.673e+6,,2.528e+5,,3.420e+6,
466.05,3.781e+6,,2.869e+5,,3.495e+6,
466.1,3.991e+6,,3.181e+5,,3.673e+6,
466.15,4.276e+6,,3.448e+5,,3.931e+6,
466.2,4.610e+6,,3.652e+5,,4.245e+6,
466.25,4.970e+6,,3.780e+5,,4.592e+6,
466.3,5.334e+6,,3.824e+5,,4.951e+6,
466.35,5.683e+6,,3.780e+5,,5.305e+6,
466.4,6.004e+6,,3.652e+5,,5.639e+6,
466.45,6.284e+6,,3.448e+5,,5.940e+6,
466.5,6.515e+6,,3.181e+5,,6.197e+6,
466.55,6.691e+6,,2.869e+5,,6.404e+6,
466.6,6.806e+6,,2.528e+5,,6.553e+6,
466.65,6.856e+6,,2.177e+5,,6.639e+6,
466.7,6.840e+6,,1.832e+5,,6.657e+6,
466.75,6.755e+6,,1.507e+5,,6.605e+6,
466.8,6.600e+6,,1.211e+5,,6.479e+6,
466.85,6.375e+6,,9.513e+4,,6.280e+6,
466.9,6.082e+6,,7.303e+4,,6.009e+6,
466.95,5.727e+6,,5.478e+4,,5.673e+6,
467,5.318e+6,,4.016e+4,,5.278e+6,
467.05,4.867e+6,,2.878e+4,,4.838e+6,
467.1,4.386e+6,,2.015e+4,,4.366e+6,
467.15,3.893e+6,,1.379e+4,,3.879e+6,
467.2,3.404e+6,,9.219e+3,,3.395e+6,
467.25,2.937e+6,,6.025e+3,,2.931e+6,
467.3,2.507e+6,,3.848e+3,3.713e-21,2.503e+6,
467.35,2.127e+6,,2.401e+3,1.316e-20,2.125e+6,
467.4,1.809e+6,,1.465e+3,4.562e-20,1.807e+6,
467.45,1.559e+6,,8.731e+2,1.546e-19,1.558e+6,
467.5,1.380e+6,,5.086e+2,5.121e-19,1.379e+6,
467.55,1.272e+6,,2.895e+2,1.659e-18,1.271e+6,
467.6,1.231e+6,,1.611e+2,5.252e-18,1.231e+6,
467.65,1.250e+6,,8.758e+1,1.626e-17,1.250e+6,
467.7,1.320e+6,,4.654e+1,4.921e-17,1.320e+6,
467.75,1.429e+6,,2.416e+1,1.456e-16,1.429e+6,
467.8,1.565e+6,,1.226e+1,4.213e-16,1.565e+6,
467.85,1.714e+6,,6.081e+0,1.192e-15,1.714e+6,
467.9,1.863e+6,,2.947e+0,3.295e-15,1.863e+6,
467.95,2.003e+6,,1.396e+0,8.910e-15,2.003e+6,
468,2.124e+6,,6.461e-1,2.355e-14,2.124e+6,
468.05,2.222e+6,,2.923e-1,6.086e-14,2.222e+6,
468.1,2.295e+6,,1.292e-1,1.538e-13,2.295e+6,
468.15,2.347e+6,,5.581e-2,3.798e-13,2.347e+6,
468.2,2.385e+6,,2.356e-2,9.173e-13,2.385e+6,
468.25,2.422e+6,,9.722e-3,2.166e-12,2.422e+6,
468.3,2.470e+6,,3.920e-3,4.999e-12,2.470e+6,
468.35,2.543e+6,,1.545e-3,1.128e-11,2.543e+6,
468.4,2.655e+6,,5.948e-4,2.490e-11,2.655e+6,
468.45,2.814e+6,,2.239e-4,5.370e-11,2.814e+6,
468.5,3.028e+6,,8.233e-5,1.133e-10,3.028e+6,
468.55,3.295e+6,,2.959e-5,2.335e-10,3.295e+6,
468.6,3.610e+6,,1.039e-5,4.708e-10,3.610e+6,
468.65,3.961e+6,,3.568e-6,9.280e-10,3.961e+6,
468.7,4.333e+6,,1.197e-6,1.788e-9,4.333e+6,
468.75,4.705e+6,,3.924e-7,3.369e-9,4.705e+6,
468.8,5.059e+6,,1.257e-7,6.205e-9,5.059e+6,
468.85,5.376e+6,,3.936e-8,1.117e-8,5.376e+6,
468.9,5.642e+6,,1.204e-8,1.967e-8,5.642e+6,
468.95,5.849e+6,,3.601e-9,3.386e-8,5.849e+6,
469,5.995e+6,,1.052e-9,5.698e-8,5.995e+6,
469.05,6.086e+6,,3.005e-10,9.374e-8,6.086e+6,
469.1,6.135e+6,,8.387e-11,1.508e-7,6.135e+6,
469.15,6.158e+6,,,2.371e-7,6.158e+6,
469.2,6.176e+6,,,3.646e-7,6.176e+6,
469.25,6.210e+6,,,5.480e-7,6.210e+6,
469.3,6.280e+6,,,8.054e-7,6.280e+6,
469.35,6.400e+6,,,1.157e-6,6.400e+6,
469.4,6.579e+6,,,1.626e-6,6.579e+6,
469.45,6.816e+6,,,2.233e-6,6.816e+6,
469.5,7.106e+6,,,2.998e-6,7.106e+6,
469.55,7.430e+6,,,3.935e-6,7.430e+6,
469.6,7.768e+6,,,5.051e-6,7.768e+6,
469.65,8.093e+6,,,6.337e-6,8.093e+6,
469.7,8.376e+6,,,7.775e-6,8.376e+6,
469.75,8.592e+6,,,9.325e-6,8.592e+6,
469.8,8.723e+6,,,1.093e-5,8.723e+6,
469.85,8.757e+6,,,1.254e-5,8.757e+6,
469.9,8.696e+6,,,1.405e-5,8.696e+6,
469.95,8.554e+6,,,1.540e-5,8.554e+6,
470,8.359e+6,,,1.650e-5,8.359e+6,
470.05,8.148e+6,,,1.728e-5,8.148e+6,
470.1,7.968e+6,,,1.769e-5,7.968e+6,
470.15,7.866e+6,,,1.772e-5,7.866e+6,
470.2,7.889e+6,,,1.734e-5,7.889e+6,
470.25,8.077e+6,,,1.660e-5,8.077e+6,
470.3,8.453e+6,,,1.553e-5,8.453e+6,
470.35,9.026e+6,,,1.420e-5,9.026e+6,
470.4,9.784e+6,,,1.270e-5,9.784e+6,
470.45,1.069e+7,,,1.111e-5,1.069e+7,
470.5,1.170e+7,,,9.494e-6,1.170e+7,
470.55,1.274e+7,,,7.935e-6,1.274e+7,
470.6,1.374e+7,,,6.483e-6,1.374e+7,
470.65,1.462e+7,,,5.179e-6,1.462e+7,
470.7,1.530e+7,,,4.045e-6,1.530e+7,
470.75,1.572e+7,,,3.089e-6,1.572e+7,
470.8,1.586e+7,,,2.306e-6,1.586e+7,
470.85,1.569e+7,,,1.683e-6,1.569e+7,
470.9,1.524e+7,,,1.201e-6,1.524e+7,
470.95,1.454e+7,,,8.378e-7,1.454e+7,
471,1.365e+7,,,5.714e-7,1.365e+7,
471.05,1.266e+7,,,3.811e-7,1.266e+7,
471.1,1.164e+7,,,2.484e-7,1.164e+7,
471.15,1.070e+7,,,1.583e-7,1.070e+7,
471.2,9.904e+6,,,9.867e-8,9.904e+6,
471.25,9.328e+6,,,6.012e-8,9.328e+6,
471.3,9.018e+6,,,3.581e-8,9.018e+6,
471.35,9.000e+6,,,2.085e-8,9.000e+6,
471.4,9.275e+6,,,1.187e-8,9.275e+6,
471.45,9.819e+6,,,6.609e-9,9.819e+6,
471.5,1.059e+7,,,3.596e-9,1.059e+7,
471.55,1.152e+7,,,1.913e-9,1.152e+7,
471.6,1.255e+7,,,9.953e-10,1.255e+7,
471.65,1.358e+7,,,5.062e-10,1.358e+7,
471.7,1.455e+7,,,2.517e-10,1.455e+7,
471.75,1.539e+7,,,1.223e-10,1.539e+7,
471.8,1.604e+7,,,5.814e-11,1.604e+7,
471.85,1.646e+7,,,2.701e-11,1.646e+7,
471.9,1.665e+7,,,1.227e-11,1.665e+7,
471.95,1.661e+7,,,5.450e-12,1.661e+7,
472,1.636e+7,,,2.366e-12,1.636e+7,
472.05,1.595e+7,,,1.005e-12,1.595e+7,
472.1,1.543e+7,,,4.169e-13,1.543e+7,
472.15,1.484e+7,,,1.692e-13,1.484e+7,
472.2,1.425e+7,,,6.711e-14,1.425e+7,
472.25,1.369e+7,,,2.603e-14,1.369e+7,
472.3,1.321e+7,,,9.869e-15,1.321e+7,
472.35,1.283e+7,,,3.658e-15,1.283e+7,
472.4,1.257e+7,,,1.326e-15,1.257e+7,
472.45,1.244e+7,,,4.698e-16,1.244e+7,
472.5,1.243e+7,,,1.628e-16,1.243e+7,
472.55,1.254e+7,,,5.512e-17,1.254e+7,
472.6,1.275e+7,,,1.825e-17,1.275e+7,
472.65,1.304e+7,,,5.909e-18,1.304e+7,
472.7,1.338e+7,,,1.870e-18,1.338e+7,
472.75,1.373e+7,,,5.787e-19,1.373e+7,
472.8,1.408e+7,,,1.751e-19,1.408e+7,
472.85,1.439e+7,,,5.178e-20,1.439e+7,
472.9,1.462e+7,,,1.497e-20,1.462e+7,
472.95,1.477e+7,,,4.233e-21,1.477e+7,
473,1.482e+7,,,,1.482e+7,
473.05,1.477e+7,,,,1.477e+7,
473.1,1.463e+7,,,,1.463e+7,
473.15,1.443e+7,,,,1.443e+7,
473.2,1.418e+7,,,,1.418e+7,
473.25,1.392e+7,,,,1.392e+7,
473.3,1.369e+7,,,,1.369e+7,
473.35,1.349e+7,,,,1.349e+7,
473.4,1.335e+7,,,,1.335e+7,
473.45,1.327e+7,,,,1.327e+7,
473.5,1.322e+7,,,,1.322e+7,
473.55,1.320e+7,,,,1.320e+7,
473.6,1.316e+7,,,,1.316e+7,
473.65,1.308e+7,,,,1.308e+7,
473.7,1.291e+7,,,,1.291e+7,
473.75,1.263e+7,,,,1.263e+7,
473.8,1.223e+7,,,,1.223e+7,
473.85,1.169e+7,,,,1.169e+7,
473.9,1.102e+7,,,,1.102e+7,
473.95,1.025e+7,,,,1.025e+7,
474,9.393e+6,,,,9.393e+6,
474.05,8.489e+6,,,,8.489e+6,
474.1,7.569e+6,,,,7.569e+6,
474.15,6.669e+6,,,,6.669e+6,
474.2,5.817e+6,,,,5.817e+6,
474.25,5.043e+6,,,,5.043e+6,
474.3,4.367e+6,,,,4.367e+6,
474.35,3.809e+6,,,,3.809e+6,
474.4,3.384e+6,,,,3.384e+6,
474.45,3.105e+6,,,,3.105e+6,
474.5,2.985e+6,,,,2.985e+6,
474.55,3.032e+6,,,,3.032e+6,
474.6,3.258e+6,,,,3.258e+6,
474.65,3.669e+6,,,,3.669e+6,
474.7,4.271e+6,,,,4.271e+6,
474.75,5.065e+6,,,,5.065e+6,
474.8,6.046e+6,,,,6.046e+6,
474.85,7.204e+6,,,,7.204e+6,
474.9,8.523e+6,,,,8.523e+6,
474.95,9.977e+6,,,,9.977e+6,
475,1.154e+7,,,,1.154e+7,
475.05,1.317e+7,,,,1.317e+7,
475.1,1.482e+7,,,,1.482e+7,
475.15,1.646e+7,,,,1.646e+7,
475.2,1.802e+7,,,,1.802e+7,
475.25,1.947e+7,,,,1.947e+7,
475.3,2.076e+7,,,,2.076e+7,
475.35,2.183e+7,,,,2.183e+7,
475.4,2.264e+7,,,,2.264e+7,
475.45,2.316e+7,,,,2.316e+7,
475.5,2.336e+7,,,,2.336e+7,
475.55,2.323e+7,,,,2.323e+7,
475.6,2.276e+7,,,,2.276e+7,
475.65,2.198e+7,,,,2.198e+7,
475.7,2.092e+7,,,,2.092e+7,
475.75,1.962e+7,,,,1.962e+7,
475.8,1.816e+7,,,,1.816e+7,
475.85,1.659e+7,,,,1.659e+7,
475.9,1.500e+7,,,,1.500e+7,
475.95,1.345e+7,,,,1.345e+7,
476,1.200e+7,,,,1.200e+7,
476.05,1.069e+7,,,,1.069e+7,
476.1,9.571e+6,,,,9.571e+6,
476.15,8.640e+6,,,,8.640e+6,
476.2,7.900e+6,,,,7.900e+6,
476.25,7.334e+6,,,,7.334e+6,
476.3,6.916e+6,,,,6.916e+6,
476.35,6.613e+6,,,,6.613e+6,
476.4,6.388e+6,,,,6.388e+6,
476.45,6.207e+6,,,,6.207e+6,
476.5,6.039e+6,,,,6.039e+6,
476.55,5.860e+6,,,,5.860e+6,
476.6,5.651e+6,,,,5.651e+6,
476.65,5.402e+6,,,,5.402e+6,
476.7,5.108e+6,,,,5.108e+6,
476.75,4.773e+6,,,,4.773e+6,
476.8,4.400e+6,,,,4.400e+6,
476.85,4.001e+6,,,,4.001e+6,
476.9,3.585e+6,,,,3.585e+6,
476.95,3.164e+6,,,,3.164e+6,
477,2.750e+6,,,,2.750e+6,
477.05,2.352e+6,,,,2.352e+6,
477.1,1.979e+6,,,,1.979e+6,
477.15,1.637e+6,,,,1.637e+6,
477.2,1.332e+6,,,,1.332e+6,
477.25,1.064e+6,,,,1.064e+6,
477.3,8.353e+5,,,,8.353e+5,
477.35,6.437e+5,,,,6.437e+5,
477.4,4.870e+5,,,,4.870e+5,
477.45,3.618e+5,,,,3.618e+5,
477.5,2.641e+5,,,,2.641e+5,
477.55,1.900e+5,,,,1.900e+5,
477.6,1.358e+5,,,,1.358e+5,
477.65,9.819e+4,,,,9.819e+4,
