Wavelength (nm),Sum,Na I (4.5e-02),Na II (9.5e-01),Na III (3.4e-19)
216.27,5.369e-36,,,5.369e-36
216.32,5.643e-36,,,5.643e-36
216.37,5.343e-36,,,5.343e-36
216.42,4.554e-36,,,4.554e-36
216.47,3.501e-36,,,3.501e-36
216.52,2.452e-36,,,2.452e-36
216.57,1.623e-36,,,1.623e-36
216.62,1.139e-36,,,1.139e-36
216.67,1.042e-36,,,1.042e-36
216.72,1.317e-36,,,1.317e-36
216.77,1.903e-36,,,1.903e-36
216.82,2.684e-36,,,2.684e-36
216.87,3.493e-36,,,3.493e-36
216.92,4.150e-36,,,4.150e-36
216.97,4.552e-36,,,4.552e-36
217.02,4.783e-36,,,4.783e-36
217.07,5.177e-36,,,5.177e-36
217.12,6.297e-36,,,6.297e-36
217.17,8.780e-36,,,8.780e-36
217.22,1.306e-35,,,1.306e-35
217.27,1.902e-35,,,1.902e-35
217.32,2.585e-35,,,2.585e-35
217.37,3.202e-35,,,3.202e-35
217.42,3.587e-35,,,3.587e-35
217.47,3.621e-35,,,3.621e-35
217.52,3.294e-35,,,3.294e-35
217.57,2.705e-35,,,2.705e-35
217.62,2.037e-35,,,2.037e-35
217.67,1.526e-35,,,1.526e-35
217.72,1.513e-35,,,1.513e-35
217.77,2.669e-35,,,2.669e-35
217.82,6.429e-35,,,6.429e-35
217.87,1.560e-34,,,1.560e-34
217.92,3.485e-34,,,3.485e-34
217.97,7.033e-34,,,7.033e-34
218.02,1.279e-33,,,1.279e-33
218.07,2.094e-33,,,2.094e-33
218.12,3.088e-33,,,3.088e-33
218.17,4.099e-33,,,4.099e-33
218.22,4.900e-33,,,4.900e-33
218.27,5.273e-33,,,5.273e-33
218.32,5.110e-33,,,5.110e-33
218.37,4.458e-33,,,4.458e-33
218.42,3.503e-33,,,3.503e-33
218.47,2.478e-33,,,2.478e-33
218.52,1.578e-33,,,1.578e-33
218.57,9.053e-34,,,9.053e-34
218.62,4.677e-34,,,4.677e-34
218.67,2.177e-34,,,2.177e-34
218.72,9.142e-35,,,9.142e-35
218.77,3.482e-35,,,3.482e-35
218.82,1.230e-35,,,1.230e-35
218.87,4.399e-36,,,4.399e-36
218.92,2.017e-36,,,2.017e-36
218.97,1.432e-36,,,1.432e-36
219.02,1.300e-36,,,1.300e-36
219.07,1.197e-36,,,1.197e-36
219.12,1.036e-36,,,1.036e-36
219.17,8.498e-37,,,8.498e-37
219.22,7.155e-37,,,7.155e-37
219.27,7.155e-37,,,7.155e-37
219.32,9.186e-37,,,9.186e-37
219.37,1.361e-36,,,1.361e-36
219.42,2.030e-36,,,2.030e-36
219.47,2.877e-36,,,2.877e-36
219.52,3.948e-36,,,3.948e-36
219.57,5.937e-36,,,5.937e-36
219.62,1.197e-35,,,1.197e-35
219.67,3.277e-35,,,3.277e-35
219.72,9.973e-35,,,9.973e-35
219.77,2.931e-34,,,2.931e-34
219.82,7.912e-34,,,7.912e-34
219.87,1.936e-33,,,1.936e-33
219.92,4.279e-33,,,4.279e-33
219.97,8.533e-33,,,8.533e-33
220.02,1.535e-32,,,1.535e-32
220.07,2.492e-32,,,2.492e-32
220.12,3.648e-32,,,3.648e-32
220.17,4.818e-32,,,4.818e-32
220.22,5.741e-32,,,5.741e-32
220.27,6.170e-32,,,6.170e-32
220.32,5.982e-32,,,5.982e-32
220.37,5.232e-32,,,5.232e-32
