Wavelength (nm),Sum,Ca I (3.8e-02),Ca II (9.5e-01),Ca III (1.3e-02)
489.71,1.216e+1,1.216e+1,,6.913e-13
489.76,5.416e+0,5.416e+0,,7.286e-13
489.81,2.362e+0,2.362e+0,,7.588e-13
489.86,1.009e+0,1.009e+0,,7.789e-13
489.91,4.217e-1,4.217e-1,,7.864e-13
489.96,1.726e-1,1.726e-1,,7.799e-13
490.01,6.922e-2,6.922e-2,,7.590e-13
490.06,2.717e-2,2.717e-2,,7.245e-13
490.11,1.045e-2,1.045e-2,,6.779e-13
490.16,3.932e-3,3.932e-3,,6.216e-13
490.21,1.449e-3,1.449e-3,,5.585e-13
490.26,5.231e-4,5.231e-4,,4.916e-13
490.31,1.849e-4,1.849e-4,,4.239e-13
490.36,6.398e-5,6.398e-5,,3.581e-13
490.41,2.168e-5,2.168e-5,,2.963e-13
490.46,7.195e-6,7.195e-6,,2.404e-13
490.51,2.338e-6,2.338e-6,,1.913e-13
490.56,7.438e-7,7.438e-7,,1.496e-13
490.61,2.317e-7,2.317e-7,,1.155e-13
490.66,7.070e-8,7.070e-8,,8.883e-14
490.71,2.112e-8,2.112e-8,,6.947e-14
490.76,6.179e-9,6.179e-9,,5.724e-14
490.81,5.224e-14,,,5.224e-14
490.86,5.493e-14,,,5.493e-14
490.91,6.632e-14,,,6.632e-14
490.96,8.802e-14,,,8.802e-14
491.01,1.223e-13,,,1.223e-13
491.06,1.722e-13,,,1.722e-13
491.11,2.411e-13,,,2.411e-13
491.16,3.330e-13,,,3.330e-13
491.21,4.520e-13,,,4.520e-13
491.26,6.017e-13,,,6.017e-13
491.31,7.852e-13,,,7.852e-13
491.36,1.004e-12,,,1.004e-12
491.41,1.257e-12,,,1.257e-12
491.46,1.543e-12,,,1.543e-12
491.51,1.854e-12,,,1.854e-12
491.56,2.183e-12,,,2.183e-12
491.61,2.517e-12,,,2.517e-12
491.66,2.843e-12,,,2.843e-12
491.71,3.146e-12,,,3.146e-12
491.76,3.410e-12,,,3.410e-12
491.81,3.621e-12,,,3.621e-12
491.86,3.766e-12,,,3.766e-12
491.91,3.837e-12,,,3.837e-12
491.96,3.829e-12,,,3.829e-12
492.01,3.743e-12,,,3.743e-12
492.06,3.584e-12,,,3.584e-12
492.11,3.361e-12,,,3.361e-12
492.16,3.088e-12,,,3.088e-12
492.21,2.779e-12,,,2.779e-12
492.26,2.450e-12,,,2.450e-12
492.31,2.116e-12,,,2.116e-12
492.36,1.790e-12,,,1.790e-12
492.41,1.483e-12,,,1.483e-12
492.46,1.204e-12,,,1.204e-12
492.51,9.571e-13,,,9.571e-13
492.56,7.454e-13,,,7.454e-13
492.61,5.686e-13,,,5.686e-13
492.66,4.249e-13,,,4.249e-13
492.71,3.110e-13,,,3.110e-13
492.76,2.230e-13,,,2.230e-13
492.81,1.566e-13,,,1.566e-13
492.86,1.078e-13,,,1.078e-13
492.91,7.262e-14,,,7.262e-14
492.96,4.794e-14,,,4.794e-14
493.01,3.100e-14,,,3.100e-14
493.06,1.964e-14,,,1.964e-14
493.11,1.218e-14,,,1.218e-14
493.16,7.406e-15,,,7.406e-15
493.21,4.410e-15,,,4.410e-15
493.26,2.574e-15,,,2.574e-15
493.31,1.475e-15,,,1.475e-15
493.36,8.346e-16,,,8.346e-16
493.41,4.758e-16,,,4.758e-16
493.46,2.910e-16,,,2.910e-16
493.51,2.206e-16,,,2.206e-16
493.56,2.396e-16,,,2.396e-16
493.61,3.509e-16,,,3.509e-16
493.66,5.848e-16,,,5.848e-16
493.71,1.004e-15,,,1.004e-15
493.76,1.714e-15,,,1.714e-15
493.81,2.879e-15,,,2.879e-15
493.86,4.745e-15,,,4.745e-15
493.91,7.662e-15,,,7.662e-15
493.96,1.213e-14,,,1.213e-14
