Wavelength (nm),Sum,Na I (4.5e-02),Na II (9.5e-01),Na III (3.4e-19)
322.35,1.472e-13,,1.472e-13,
322.4,1.808e-13,,1.808e-13,
322.45,2.131e-13,,2.131e-13,
322.5,2.400e-13,,2.400e-13,
322.55,2.578e-13,,2.578e-13,
322.6,2.641e-13,,2.641e-13,
322.65,2.580e-13,,2.580e-13,
322.7,2.405e-13,,2.405e-13,
322.75,2.142e-13,,2.142e-13,
322.8,1.828e-13,,1.828e-13,
322.85,1.507e-13,,1.507e-13,
322.9,1.218e-13,,1.218e-13,
322.95,9.960e-14,,9.960e-14,
323,8.660e-14,,8.660e-14,
323.05,8.430e-14,,8.430e-14,
323.1,9.316e-14,,9.316e-14,
323.15,1.126e-13,,1.126e-13,
323.2,1.410e-13,,1.410e-13,
323.25,1.754e-13,,1.754e-13,
323.3,2.122e-13,,2.122e-13,
323.35,2.469e-13,,2.469e-13,
323.4,2.748e-13,,2.748e-13,
323.45,2.921e-13,,2.921e-13,
323.5,2.961e-13,,2.961e-13,
323.55,2.863e-13,,2.863e-13,
323.6,2.640e-13,,2.640e-13,
323.65,2.320e-13,,2.320e-13,
323.7,1.944e-13,,1.944e-13,
323.75,1.553e-13,,1.553e-13,
323.8,1.183e-13,,1.183e-13,
323.85,8.588e-14,,8.588e-14,
323.9,5.945e-14,,5.945e-14,
323.95,3.923e-14,,3.923e-14,
324,2.468e-14,,2.468e-14,
324.05,1.480e-14,,1.480e-14,
324.1,8.463e-15,,8.463e-15,
324.15,4.613e-15,,4.613e-15,
324.21,2.091e-15,,2.091e-15,
324.26,1.026e-15,,1.026e-15,
324.31,4.800e-16,,4.800e-16,
324.36,2.141e-16,,2.141e-16,
324.41,9.104e-17,,9.104e-17,
324.46,3.697e-17,,3.697e-17,
324.51,1.451e-17,,1.451e-17,
324.56,6.099e-18,,6.099e-18,
324.61,4.506e-18,,4.506e-18,
324.66,8.595e-18,,8.595e-18,
324.71,2.301e-17,,2.301e-17,
324.76,6.228e-17,,6.228e-17,
324.81,1.619e-16,,1.619e-16,
324.86,4.020e-16,,4.020e-16,
324.91,9.523e-16,,9.523e-16,
324.96,2.152e-15,,2.152e-15,
325.01,4.640e-15,,4.640e-15,
325.06,9.544e-15,,9.544e-15,
325.11,1.873e-14,,1.873e-14,
325.16,3.507e-14,,3.507e-14,
325.21,6.266e-14,,6.266e-14,
325.26,1.068e-13,,1.068e-13,
325.31,1.738e-13,,1.738e-13,
325.36,2.698e-13,,2.698e-13,
325.41,3.998e-13,,3.998e-13,
325.46,5.654e-13,,5.654e-13,
325.51,7.632e-13,,7.632e-13,
325.56,9.836e-13,,9.836e-13,
325.61,1.210e-12,,1.210e-12,
325.66,1.422e-12,,1.422e-12,
325.71,1.597e-12,,1.597e-12,
325.76,1.713e-12,,1.713e-12,
325.81,1.757e-12,,1.757e-12,
325.86,1.722e-12,,1.722e-12,
325.91,1.616e-12,,1.616e-12,
325.96,1.451e-12,,1.451e-12,
326.01,1.248e-12,,1.248e-12,
326.06,1.028e-12,,1.028e-12,
326.11,8.130e-13,,8.130e-13,
326.16,6.170e-13,,6.170e-13,
326.21,4.500e-13,,4.500e-13,
326.26,3.155e-13,,3.155e-13,
326.31,2.129e-13,,2.129e-13,
326.36,1.384e-13,,1.384e-13,
326.41,8.673e-14,,8.673e-14,
326.46,5.244e-14,,5.244e-14,
326.51,3.068e-14,,3.068e-14,
326.56,1.755e-14,,1.755e-14,
326.61,1.020e-14,,1.020e-14,
326.66,6.763e-15,,6.763e-15,
326.71,6.252e-15,,6.252e-15,
326.76,8.413e-15,,8.413e-15,
326.81,1.363e-14,,1.363e-14,
326.86,2.283e-14,,2.283e-14,
326.91,3.730e-14,,3.730e-14,
326.96,5.852e-14,,5.852e-14,
327.01,8.776e-14,,8.776e-14,
327.06,1.257e-13,,1.257e-13,
327.11,1.718e-13,,1.718e-13,
327.16,2.241e-13,,2.241e-13,
327.21,2.790e-13,,2.790e-13,
327.26,3.315e-13,,3.315e-13,
327.31,3.761e-13,,3.761e-13,
327.36,4.073e-13,,4.073e-13,
327.41,4.213e-13,,4.213e-13,
327.46,4.169e-13,,4.169e-13,
327.51,3.964e-13,,3.964e-13,
327.56,3.664e-13,,3.664e-13,
327.61,3.396e-13,,3.396e-13,
327.66,3.379e-13,,3.379e-13,
327.71,3.990e-13,,3.990e-13,
327.76,5.875e-13,,5.875e-13,
327.81,1.013e-12,,1.013e-12,
327.86,1.852e-12,,1.852e-12,
327.91,3.377e-12,,3.377e-12,
327.96,5.972e-12,,5.972e-12,
328.01,1.014e-11,,1.014e-11,
328.06,1.648e-11,,1.648e-11,
328.11,2.558e-11,,2.558e-11,
328.16,3.791e-11,,3.791e-11,
328.21,5.365e-11,,5.365e-11,
328.26,7.295e-11,4.555e-13,7.250e-11,
328.31,9.643e-11,2.895e-12,9.353e-11,
328.36,1.319e-10,1.666e-11,1.152e-10,
328.41,2.270e-10,9.156e-11,1.355e-10,
328.46,6.329e-10,4.808e-10,1.521e-10,
328.51,2.575e-9,2.412e-9,1.631e-10,
