Wavelength (nm),Sum,Si I (3.4e-01),Si II (6.6e-01),Si III (3.0e-05)
767.2,3.495e+5,3.495e+5,,
767.25,4.006e+5,4.006e+5,,
767.3,4.553e+5,4.553e+5,,
767.35,5.131e+5,5.131e+5,,
767.4,5.733e+5,5.733e+5,,
767.45,6.352e+5,6.352e+5,,
767.5,6.979e+5,6.979e+5,,
767.55,7.603e+5,7.603e+5,,
767.6,8.213e+5,8.213e+5,,
767.65,8.796e+5,8.796e+5,,
767.7,9.342e+5,9.342e+5,,
767.75,9.838e+5,9.838e+5,,
767.8,1.027e+6,1.027e+6,,
767.85,1.064e+6,1.064e+6,,
767.9,1.092e+6,1.092e+6,,
767.95,1.112e+6,1.112e+6,,
768,1.122e+6,1.122e+6,,
768.05,1.123e+6,1.123e+6,,
768.1,1.114e+6,1.114e+6,,
768.15,1.097e+6,1.097e+6,,
768.2,1.070e+6,1.070e+6,,
768.25,1.035e+6,1.035e+6,,
768.3,9.930e+5,9.930e+5,,
768.35,9.446e+5,9.446e+5,,
768.4,8.909e+5,8.909e+5,,
768.45,8.332e+5,8.332e+5,,
768.5,7.726e+5,7.726e+5,,
768.55,7.105e+5,7.105e+5,,
768.6,6.478e+5,6.478e+5,,
768.65,5.856e+5,5.856e+5,,
768.7,5.249e+5,5.249e+5,,
768.75,4.666e+5,4.666e+5,,
768.8,4.112e+5,4.112e+5,,
768.85,3.594e+5,3.594e+5,,
768.9,3.114e+5,3.114e+5,,
768.95,2.676e+5,2.676e+5,,
769,2.280e+5,2.280e+5,,
769.05,1.926e+5,1.926e+5,,
769.1,1.613e+5,1.613e+5,,
769.15,1.340e+5,1.340e+5,,
769.2,1.103e+5,1.103e+5,,
769.25,9.011e+4,9.011e+4,,
769.3,7.296e+4,7.296e+4,,
769.35,5.858e+4,5.858e+4,,
769.4,4.664e+4,4.664e+4,,
769.45,3.682e+4,3.682e+4,,
769.5,2.882e+4,2.882e+4,,
769.55,2.236e+4,2.236e+4,,
769.6,1.721e+4,1.721e+4,,
769.65,1.313e+4,1.313e+4,,
769.7,9.937e+3,9.937e+3,,
769.75,7.455e+3,7.455e+3,,
769.8,5.546e+3,5.546e+3,,
769.85,4.091e+3,4.091e+3,,
769.9,2.992e+3,2.992e+3,,
769.95,2.170e+3,2.170e+3,,
770,1.561e+3,1.561e+3,,
770.05,1.113e+3,1.113e+3,,
770.1,7.867e+2,7.867e+2,,
770.15,5.515e+2,5.515e+2,,
770.2,3.834e+2,3.834e+2,,
770.25,2.643e+2,2.643e+2,,
770.3,1.806e+2,1.806e+2,,
770.35,1.224e+2,1.224e+2,,
770.4,8.225e+1,8.225e+1,,
770.45,5.480e+1,5.480e+1,,
770.5,3.620e+1,3.620e+1,,
770.55,2.372e+1,2.372e+1,,
770.6,1.541e+1,1.541e+1,,
770.65,9.923e+0,9.923e+0,,
770.7,6.338e+0,6.338e+0,,
770.75,4.015e+0,4.015e+0,,
770.8,2.523e+0,2.523e+0,,
770.85,1.575e+0,1.575e+0,,
770.9,9.799e-1,9.799e-1,,
770.95,6.127e-1,6.127e-1,,
771,3.942e-1,3.942e-1,,
771.05,2.756e-1,2.756e-1,,
771.1,2.298e-1,2.298e-1,,
771.15,2.463e-1,2.463e-1,,
771.2,3.295e-1,3.295e-1,,
771.25,4.992e-1,4.992e-1,,
771.3,7.947e-1,7.947e-1,,
771.35,1.283e+0,1.283e+0,,
771.4,2.070e+0,2.070e+0,,
771.45,3.322e+0,3.322e+0,,
771.5,5.292e+0,5.292e+0,,
771.55,8.364e+0,8.364e+0,,
771.6,1.311e+1,1.311e+1,,
771.65,2.038e+1,2.038e+1,,
771.7,3.142e+1,3.142e+1,,
771.75,4.804e+1,4.804e+1,,
771.8,7.283e+1,7.283e+1,,
771.85,1.095e+2,1.095e+2,,
771.9,1.633e+2,1.633e+2,,
771.95,2.414e+2,2.414e+2,,
772,3.541e+2,3.541e+2,,
772.05,5.149e+2,5.149e+2,,
772.1,7.426e+2,7.426e+2,,
772.15,1.062e+3,1.062e+3,,
772.2,1.506e+3,1.506e+3,,
772.25,2.119e+3,2.119e+3,,
772.3,2.955e+3,2.955e+3,,
772.35,4.088e+3,4.088e+3,,
772.4,5.607e+3,5.607e+3,,
772.45,7.628e+3,7.628e+3,,
772.5,1.029e+4,1.029e+4,,
772.55,1.377e+4,1.377e+4,,
772.6,1.827e+4,1.827e+4,,
772.65,2.403e+4,2.403e+4,,
772.7,3.136e+4,3.136e+4,,
772.75,4.058e+4,4.058e+4,,
772.8,5.207e+4,5.207e+4,,
772.85,6.626e+4,6.626e+4,,
772.9,8.362e+4,8.362e+4,,
772.95,1.047e+5,1.047e+5,,
773,1.299e+5,1.299e+5,,
773.05,1.599e+5,1.599e+5,,
773.1,1.951e+5,1.951e+5,,
773.15,2.362e+5,2.362e+5,,
773.2,2.835e+5,2.835e+5,,
773.25,3.375e+5,3.375e+5,,
773.3,3.985e+5,3.985e+5,,
773.35,4.665e+5,4.665e+5,,
773.4,5.416e+5,5.416e+5,,
773.45,6.236e+5,6.236e+5,,
773.5,7.120e+5,7.120e+5,,
773.55,8.062e+5,8.062e+5,,
773.6,9.053e+5,9.053e+5,,
773.65,1.008e+6,1.008e+6,,
773.7,1.113e+6,1.113e+6,,
773.75,1.219e+6,1.219e+6,,
773.8,1.324e+6,1.324e+6,,
773.85,1.426e+6,1.426e+6,,
773.9,1.523e+6,1.523e+6,,
773.95,1.614e+6,1.614e+6,,
774,1.695e+6,1.695e+6,,
774.05,1.766e+6,1.766e+6,,
774.1,1.824e+6,1.824e+6,,
774.15,1.869e+6,1.869e+6,,
774.2,1.899e+6,1.899e+6,,
774.25,1.913e+6,1.913e+6,,
774.3,1.911e+6,1.911e+6,,
774.35,1.894e+6,1.894e+6,,
774.4,1.861e+6,1.861e+6,,
774.45,1.814e+6,1.814e+6,,
774.5,1.753e+6,1.753e+6,,
774.55,1.680e+6,1.680e+6,,
774.6,1.596e+6,1.596e+6,,
774.65,1.505e+6,1.505e+6,,
774.7,1.406e+6,1.406e+6,,
774.75,1.303e+6,1.303e+6,,
774.8,1.198e+6,1.198e+6,,
774.85,1.092e+6,1.092e+6,,
774.9,9.874e+5,9.874e+5,,
774.95,8.852e+5,8.852e+5,,
775,7.870e+5,7.870e+5,,
775.05,6.938e+5,6.938e+5,,
775.1,6.067e+5,6.067e+5,,
775.15,5.260e+5,5.260e+5,,
775.2,4.523e+5,4.523e+5,,
775.25,3.857e+5,3.857e+5,,
775.3,3.262e+5,3.262e+5,,
775.35,2.735e+5,2.735e+5,,
775.4,2.275e+5,2.275e+5,,
775.45,1.876e+5,1.876e+5,,
775.5,1.535e+5,1.535e+5,,
775.55,1.245e+5,1.245e+5,,
775.6,1.001e+5,1.001e+5,,
775.65,7.987e+4,7.987e+4,,
775.7,6.319e+4,6.319e+4,,
775.75,4.957e+4,4.957e+4,,
775.8,3.856e+4,3.856e+4,,
775.85,2.975e+4,2.975e+4,,
775.9,2.276e+4,2.276e+4,,
775.95,1.727e+4,1.727e+4,,
776,1.300e+4,1.300e+4,,
776.05,9.699e+3,9.699e+3,,
776.1,7.177e+3,7.177e+3,,
776.15,5.267e+3,5.267e+3,,
776.2,3.833e+3,3.833e+3,,
776.25,2.767e+3,2.767e+3,,
776.3,1.980e+3,1.980e+3,,
776.35,1.405e+3,1.405e+3,,
776.4,9.893e+2,9.893e+2,,
776.45,6.906e+2,6.906e+2,,
776.5,4.781e+2,4.781e+2,,
776.55,3.282e+2,3.282e+2,,
776.6,2.234e+2,2.234e+2,,
776.65,1.508e+2,1.508e+2,,
776.7,1.010e+2,1.010e+2,,
776.75,6.706e+1,6.706e+1,,
776.8,4.416e+1,4.416e+1,,
776.85,2.883e+1,2.883e+1,,
776.9,1.867e+1,1.867e+1,,
776.95,1.199e+1,1.199e+1,,
777,7.636e+0,7.636e+0,,
777.05,4.823e+0,4.823e+0,,
777.1,3.021e+0,3.021e+0,,
777.15,1.876e+0,1.876e+0,,
777.2,1.156e+0,1.156e+0,,
777.25,7.059e-1,7.059e-1,,
777.3,4.276e-1,4.276e-1,,
777.35,2.569e-1,2.569e-1,,
777.4,1.530e-1,1.530e-1,,
777.45,9.042e-2,9.042e-2,,
777.5,5.298e-2,5.298e-2,,
777.55,3.078e-2,3.078e-2,,
777.6,1.774e-2,1.774e-2,,
777.65,1.013e-2,1.013e-2,,
777.7,5.743e-3,5.743e-3,,
777.75,3.227e-3,3.227e-3,,
777.8,1.799e-3,1.799e-3,,
777.85,9.940e-4,9.940e-4,,
777.9,5.448e-4,5.448e-4,,
777.95,2.961e-4,2.961e-4,,
778,1.596e-4,1.596e-4,,
778.05,8.532e-5,8.532e-5,,
778.1,4.523e-5,4.523e-5,,
778.15,2.378e-5,2.378e-5,,
778.2,1.239e-5,1.239e-5,,
778.25,6.408e-6,6.408e-6,,
778.3,3.285e-6,3.285e-6,,
778.35,1.670e-6,1.670e-6,,
778.4,8.423e-7,8.423e-7,,
778.45,4.212e-7,4.212e-7,,
778.5,2.088e-7,2.088e-7,,
778.55,1.027e-7,1.027e-7,,
778.6,5.009e-8,5.009e-8,,
778.65,2.422e-8,2.422e-8,,
778.7,1.162e-8,1.162e-8,,
778.75,5.526e-9,5.526e-9,,
778.8,2.606e-9,2.606e-9,,
778.85,1.219e-9,1.219e-9,,
778.9,5.655e-10,5.655e-10,,
780.15,2.917e-12,,2.917e-12,
780.2,6.260e-12,,6.260e-12,
780.25,1.850e-11,,1.850e-11,
780.3,3.923e-11,,3.923e-11,
780.35,8.251e-11,,8.251e-11,
780.4,1.721e-10,,1.721e-10,
780.45,3.562e-10,,3.562e-10,
780.5,7.313e-10,,7.313e-10,
780.55,1.489e-9,,1.489e-9,
780.6,3.008e-9,,3.008e-9,
780.65,6.028e-9,,6.028e-9,
780.7,1.198e-8,,1.198e-8,
780.75,2.362e-8,,2.362e-8,
780.8,4.621e-8,,4.621e-8,
780.85,8.965e-8,,8.965e-8,
780.9,1.725e-7,,1.725e-7,
780.95,3.294e-7,,3.294e-7,
781,6.237e-7,,6.237e-7,
781.05,1.172e-6,,1.172e-6,
781.1,2.183e-6,,2.183e-6,
781.15,4.035e-6,,4.035e-6,
781.2,7.399e-6,,7.399e-6,
781.25,1.346e-5,,1.346e-5,
781.3,2.428e-5,,2.428e-5,
781.35,4.346e-5,,4.346e-5,
781.4,7.715e-5,,7.715e-5,
781.45,1.359e-4,,1.359e-4,
781.5,2.373e-4,,2.373e-4,
781.55,4.113e-4,,4.113e-4,
781.6,7.069e-4,,7.069e-4,
781.65,1.205e-3,,1.205e-3,
781.7,2.039e-3,,2.039e-3,
781.75,3.421e-3,,3.421e-3,
781.8,5.694e-3,,5.694e-3,
781.85,9.400e-3,,9.400e-3,
781.9,1.539e-2,,1.539e-2,
781.95,2.501e-2,,2.501e-2,
782,4.030e-2,,4.030e-2,
782.05,6.443e-2,,6.443e-2,
782.1,1.022e-1,,1.022e-1,
782.15,1.607e-1,,1.607e-1,
782.2,2.508e-1,,2.508e-1,
782.25,3.881e-1,,3.881e-1,
782.3,5.959e-1,,5.959e-1,
782.35,9.076e-1,,9.076e-1,
782.4,1.371e+0,,1.371e+0,
782.45,2.055e+0,,2.055e+0,
782.5,3.055e+0,,3.055e+0,
782.55,4.505e+0,,4.505e+0,
782.6,6.591e+0,,6.591e+0,
782.65,9.564e+0,,9.564e+0,
782.7,1.377e+1,,1.377e+1,
782.75,1.966e+1,,1.966e+1,
782.8,2.784e+1,,2.784e+1,
782.85,3.912e+1,,3.912e+1,
782.9,5.452e+1,,5.452e+1,
782.95,7.538e+1,,7.538e+1,
783,1.034e+2,,1.034e+2,
783.05,1.406e+2,,1.406e+2,
783.1,1.898e+2,,1.898e+2,
783.15,2.541e+2,,2.541e+2,
783.2,3.374e+2,,3.374e+2,
783.25,4.445e+2,,4.445e+2,
783.3,5.808e+2,,5.808e+2,
783.35,7.528e+2,,7.528e+2,
783.4,9.680e+2,,9.680e+2,
783.45,1.235e+3,,1.235e+3,
783.5,1.562e+3,,1.562e+3,
783.55,1.960e+3,,1.960e+3,
783.6,2.441e+3,,2.441e+3,
783.65,3.014e+3,,3.014e+3,
783.7,3.693e+3,,3.693e+3,
783.75,4.487e+3,,4.487e+3,
783.8,5.409e+3,,5.409e+3,
783.85,6.469e+3,,6.469e+3,
783.9,7.673e+3,,7.673e+3,
783.95,9.028e+3,,9.028e+3,
784,1.054e+4,,1.054e+4,
784.05,1.220e+4,,1.220e+4,
784.1,1.401e+4,,1.401e+4,
784.15,1.597e+4,,1.597e+4,
784.2,1.804e+4,,1.804e+4,
784.25,2.023e+4,,2.023e+4,
784.3,2.250e+4,,2.250e+4,
784.35,2.482e+4,,2.482e+4,
784.4,2.716e+4,,2.716e+4,
784.45,2.948e+4,,2.948e+4,
784.5,3.174e+4,,3.174e+4,
784.55,3.391e+4,,3.391e+4,
784.6,3.593e+4,,3.593e+4,
784.65,3.776e+4,,3.776e+4,
784.7,3.937e+4,,3.937e+4,
784.75,4.072e+4,,4.072e+4,
784.8,4.177e+4,,4.177e+4,
784.85,4.251e+4,,4.251e+4,
784.9,4.292e+4,,4.292e+4,
784.95,4.298e+4,,4.298e+4,
785,4.269e+4,,4.269e+4,
785.05,4.207e+4,,4.207e+4,
785.1,4.112e+4,,4.112e+4,
785.15,3.987e+4,,3.987e+4,
785.2,3.835e+4,,3.835e+4,
785.25,3.659e+4,,3.659e+4,
785.3,3.463e+4,,3.463e+4,
785.35,3.251e+4,,3.251e+4,
785.4,3.028e+4,,3.028e+4,
785.45,2.797e+4,,2.797e+4,
785.5,2.563e+4,,2.563e+4,
785.55,2.330e+4,,2.330e+4,
785.6,2.101e+4,,2.101e+4,
785.65,1.879e+4,,1.879e+4,
785.7,1.668e+4,,1.668e+4,
785.75,1.468e+4,,1.468e+4,
785.8,1.281e+4,,1.281e+4,
785.85,1.110e+4,,1.110e+4,
785.9,9.535e+3,,9.535e+3,
785.95,8.126e+3,,8.126e+3,
786,6.869e+3,,6.869e+3,
786.05,5.760e+3,,5.760e+3,
786.1,4.792e+3,,4.792e+3,
786.15,3.954e+3,,3.954e+3,
786.2,3.236e+3,,3.236e+3,
786.25,2.628e+3,,2.628e+3,
786.3,2.116e+3,,2.116e+3,
