Wavelength (nm),Sum,Mg I (1.1e-01),Mg II (8.9e-01),Mg III (5.4e-04)
527.87,7.969e+1,,7.969e+1,
527.92,4.696e+1,,4.696e+1,
527.97,2.718e+1,,2.718e+1,
528.02,1.545e+1,,1.545e+1,
528.07,8.623e+0,,8.623e+0,
528.12,4.728e+0,,4.728e+0,
528.17,2.546e+0,,2.546e+0,
528.22,1.346e+0,,1.346e+0,
528.27,6.992e-1,,6.992e-1,
528.32,3.567e-1,,3.567e-1,
528.37,1.787e-1,,1.787e-1,
528.42,8.793e-2,,8.793e-2,
528.47,4.249e-2,,4.249e-2,
528.52,2.017e-2,,2.017e-2,
528.57,9.401e-3,,9.401e-3,
528.62,4.304e-3,,4.304e-3,
528.67,1.935e-3,,1.935e-3,
528.72,8.545e-4,,8.545e-4,
528.77,3.706e-4,,3.706e-4,
528.82,1.579e-4,,1.579e-4,
528.87,6.604e-5,,6.604e-5,
528.92,2.714e-5,,2.714e-5,
528.97,1.095e-5,,1.095e-5,
529.02,4.340e-6,,4.340e-6,
529.07,1.689e-6,,1.689e-6,
529.12,6.457e-7,,6.457e-7,
529.17,2.424e-7,,2.424e-7,
529.22,8.940e-8,,8.940e-8,
529.27,3.238e-8,,3.238e-8,
529.32,1.152e-8,,1.152e-8,
529.37,4.023e-9,,4.023e-9,
529.42,1.380e-9,,1.380e-9,
529.47,4.651e-10,,4.651e-10,
529.52,1.539e-10,,1.539e-10,
529.57,5.003e-11,,5.003e-11,
529.62,8.422e-12,,8.422e-12,
549.53,1.078e-8,1.078e-8,,
549.58,3.159e-8,3.159e-8,,
549.63,9.103e-8,9.103e-8,,
549.68,2.581e-7,2.581e-7,,
549.73,7.198e-7,7.198e-7,,
549.78,1.975e-6,1.975e-6,,
549.83,5.332e-6,5.332e-6,,
549.88,1.416e-5,1.416e-5,,
549.93,3.699e-5,3.699e-5,,
549.98,9.507e-5,9.507e-5,,
550.03,2.404e-4,2.404e-4,,
550.08,5.979e-4,5.979e-4,,
550.13,1.463e-3,1.463e-3,,
550.18,3.522e-3,3.522e-3,,
550.23,8.341e-3,8.341e-3,,
550.28,1.943e-2,1.943e-2,,
550.33,4.454e-2,4.454e-2,,
550.38,1.004e-1,1.004e-1,,
550.43,2.228e-1,2.228e-1,,
550.48,4.861e-1,4.861e-1,,
550.53,1.044e+0,1.044e+0,,
550.58,2.204e+0,2.204e+0,,
550.63,4.580e+0,4.580e+0,,
550.68,9.361e+0,9.361e+0,,
550.73,1.882e+1,1.882e+1,,
550.78,3.724e+1,3.724e+1,,
550.83,7.247e+1,7.247e+1,,
550.88,1.387e+2,1.387e+2,,
550.93,2.613e+2,2.613e+2,,
550.98,4.842e+2,4.842e+2,,
551.03,8.826e+2,8.826e+2,,
551.08,1.583e+3,1.583e+3,,
551.13,2.792e+3,2.792e+3,,
551.18,4.846e+3,4.846e+3,,
551.23,8.274e+3,8.274e+3,,
551.28,1.390e+4,1.390e+4,,
551.33,2.296e+4,2.296e+4,,
551.38,3.733e+4,3.733e+4,,
551.43,5.970e+4,5.970e+4,,
551.48,9.392e+4,9.392e+4,,
551.53,1.454e+5,1.454e+5,,
551.58,2.213e+5,2.213e+5,,
551.63,3.315e+5,3.315e+5,,
551.68,4.886e+5,4.886e+5,,
551.73,7.083e+5,7.083e+5,,
551.78,1.010e+6,1.010e+6,,
551.83,1.417e+6,1.417e+6,,
551.88,1.956e+6,1.956e+6,,
551.93,2.656e+6,2.656e+6,,
551.98,3.548e+6,3.548e+6,,
552.03,4.663e+6,4.663e+6,,
552.08,6.029e+6,6.029e+6,,
552.13,7.668e+6,7.668e+6,,
552.18,9.594e+6,9.594e+6,,
552.23,1.181e+7,1.181e+7,,
552.28,1.430e+7,1.430e+7,,
552.33,1.704e+7,1.704e+7,,
552.38,1.997e+7,1.997e+7,,
552.43,2.302e+7,2.302e+7,,
552.48,2.611e+7,2.611e+7,,
552.53,2.914e+7,2.914e+7,,
552.58,3.198e+7,3.198e+7,,
552.63,3.454e+7,3.454e+7,,
552.68,3.670e+7,3.670e+7,,
552.73,3.835e+7,3.835e+7,,
552.78,3.943e+7,3.943e+7,,
552.83,3.989e+7,3.989e+7,,
552.88,3.969e+7,3.969e+7,,
552.93,3.886e+7,3.886e+7,,
552.98,3.742e+7,3.742e+7,,
553.03,3.546e+7,3.546e+7,,
553.08,3.305e+7,3.305e+7,,
553.13,3.030e+7,3.030e+7,,
553.18,2.734e+7,2.734e+7,,
553.23,2.426e+7,2.426e+7,,
553.28,2.118e+7,2.118e+7,,
553.33,1.819e+7,1.819e+7,,
553.38,1.537e+7,1.537e+7,,
553.43,1.277e+7,1.277e+7,,
553.48,1.045e+7,1.045e+7,,
553.53,8.404e+6,8.404e+6,,
553.58,6.651e+6,6.651e+6,,
553.63,5.178e+6,5.178e+6,,
553.68,3.966e+6,3.966e+6,,
553.73,2.988e+6,2.988e+6,,
553.78,2.215e+6,2.215e+6,,
553.83,1.615e+6,1.615e+6,,
553.88,1.159e+6,1.159e+6,,
553.93,8.180e+5,8.180e+5,,
553.98,5.679e+5,5.679e+5,,
554.03,3.879e+5,3.879e+5,,
554.08,2.607e+5,2.607e+5,,
554.13,1.723e+5,1.723e+5,,
554.18,1.121e+5,1.121e+5,,
554.23,7.170e+4,7.170e+4,,
554.28,4.513e+4,4.513e+4,,
554.33,2.794e+4,2.794e+4,,
554.38,1.702e+4,1.702e+4,,
554.43,1.020e+4,1.020e+4,,
554.48,6.014e+3,6.014e+3,,
554.53,3.488e+3,3.488e+3,,
554.58,1.990e+3,1.990e+3,,
554.63,1.117e+3,1.117e+3,,
554.68,6.168e+2,6.168e+2,,
554.73,3.351e+2,3.351e+2,,
554.78,1.791e+2,1.791e+2,,
554.83,9.415e+1,9.415e+1,,
554.88,4.869e+1,4.869e+1,,
554.93,2.478e+1,2.478e+1,,
554.98,1.240e+1,1.240e+1,,
555.03,6.108e+0,6.108e+0,,
555.08,2.959e+0,2.959e+0,,
555.13,1.410e+0,1.410e+0,,
555.18,6.612e-1,6.612e-1,,
555.23,3.050e-1,3.050e-1,,
555.28,1.384e-1,1.384e-1,,
555.33,6.178e-2,6.178e-2,,
555.38,2.713e-2,2.713e-2,,
555.43,1.172e-2,1.172e-2,,
555.48,4.982e-3,4.982e-3,,
555.53,2.083e-3,2.083e-3,,
555.58,8.569e-4,8.569e-4,,
555.63,3.468e-4,3.468e-4,,
555.68,1.380e-4,1.380e-4,,
555.73,5.406e-5,5.406e-5,,
555.78,2.083e-5,2.083e-5,,
555.83,7.896e-6,7.896e-6,,
555.88,2.944e-6,2.944e-6,,
555.93,1.080e-6,1.080e-6,,
555.98,3.898e-7,3.898e-7,,
556.03,1.384e-7,1.384e-7,,
556.08,4.833e-8,4.833e-8,,
556.13,1.661e-8,1.661e-8,,
556.18,5.613e-9,5.613e-9,,
630.85,2.963e-11,,2.963e-11,
630.9,1.063e-10,,1.063e-10,
630.95,2.699e-10,,2.699e-10,
631,6.769e-10,,6.769e-10,
631.05,1.677e-9,,1.677e-9,
631.1,4.102e-9,,4.102e-9,
631.15,9.911e-9,,9.911e-9,
631.2,2.365e-8,,2.365e-8,
631.25,5.575e-8,,5.575e-8,
631.3,1.298e-7,,1.298e-7,
631.35,2.984e-7,,2.984e-7,
631.4,6.777e-7,,6.777e-7,
631.45,1.520e-6,,1.520e-6,
631.5,3.368e-6,,3.368e-6,
631.55,7.369e-6,,7.369e-6,
631.6,1.592e-5,,1.592e-5,
631.65,3.399e-5,,3.399e-5,
631.7,7.166e-5,,7.166e-5,
631.75,1.492e-4,,1.492e-4,
631.8,3.068e-4,,3.068e-4,
631.85,6.232e-4,,6.232e-4,
631.9,1.250e-3,,1.250e-3,
631.95,2.477e-3,,2.477e-3,
632,4.848e-3,,4.848e-3,
632.05,9.371e-3,,9.371e-3,
632.1,1.789e-2,,1.789e-2,
632.15,3.373e-2,,3.373e-2,
632.2,6.281e-2,,6.281e-2,
632.25,1.155e-1,,1.155e-1,
632.3,2.099e-1,,2.099e-1,
632.35,3.766e-1,,3.766e-1,
632.4,6.674e-1,,6.674e-1,
632.45,1.168e+0,,1.168e+0,
632.5,2.019e+0,,2.019e+0,
632.55,3.448e+0,,3.448e+0,
632.6,5.815e+0,,5.815e+0,
632.65,9.686e+0,,9.686e+0,
632.7,1.593e+1,,1.593e+1,
632.75,2.589e+1,,2.589e+1,
632.8,4.155e+1,,4.155e+1,
632.85,6.585e+1,,6.585e+1,
632.9,1.031e+2,,1.031e+2,
632.96,1.737e+2,,1.737e+2,
633.01,2.645e+2,,2.645e+2,
633.06,3.980e+2,,3.980e+2,
633.11,5.915e+2,,5.915e+2,
633.16,8.682e+2,,8.682e+2,
633.21,1.259e+3,,1.259e+3,
633.26,1.802e+3,,1.802e+3,
633.31,2.548e+3,,2.548e+3,
633.36,3.559e+3,,3.559e+3,
633.41,4.910e+3,,4.910e+3,
633.46,6.690e+3,,6.690e+3,
633.51,9.002e+3,,9.002e+3,
633.56,1.197e+4,,1.197e+4,
633.61,1.571e+4,,1.571e+4,
633.66,2.037e+4,,2.037e+4,
633.71,2.608e+4,,2.608e+4,
633.76,3.299e+4,,3.299e+4,
633.81,4.121e+4,,4.121e+4,
633.86,5.084e+4,,5.084e+4,
633.91,6.196e+4,,6.196e+4,
633.96,7.457e+4,,7.457e+4,
634.01,8.865e+4,,8.865e+4,
634.06,1.041e+5,,1.041e+5,
634.11,1.207e+5,,1.207e+5,
634.16,1.383e+5,,1.383e+5,
