Wavelength (nm),Sum,K I (3.1e-02),K II (9.7e-01),K III (2.7e-11)
583.49,1.143e+6,1.143e+6,,
583.54,1.038e+6,1.038e+6,,
583.59,9.301e+5,9.301e+5,,
583.64,8.208e+5,8.208e+5,,
583.69,7.138e+5,7.138e+5,,
583.74,6.117e+5,6.117e+5,,
583.79,5.166e+5,5.166e+5,,
583.84,4.299e+5,4.299e+5,,
583.89,3.525e+5,3.525e+5,,
583.94,2.848e+5,2.848e+5,,
583.99,2.268e+5,2.268e+5,,
584.04,1.779e+5,1.779e+5,,
584.09,1.376e+5,1.376e+5,,
584.14,1.048e+5,1.048e+5,,
584.19,7.869e+4,7.869e+4,,
584.24,5.821e+4,5.821e+4,,
584.29,4.244e+4,4.244e+4,,
584.34,3.049e+4,3.049e+4,,
584.39,2.158e+4,2.158e+4,,
584.44,1.505e+4,1.505e+4,,
584.49,1.035e+4,1.035e+4,,
584.54,7.009e+3,7.009e+3,,
584.59,4.678e+3,4.678e+3,,
584.64,3.077e+3,3.077e+3,,
584.69,1.994e+3,1.994e+3,,
584.74,1.274e+3,1.274e+3,,
584.79,8.015e+2,8.015e+2,,
584.84,4.970e+2,4.970e+2,,
584.89,3.037e+2,3.037e+2,,
584.94,1.829e+2,1.829e+2,,
584.99,1.085e+2,1.085e+2,,
585.04,6.347e+1,6.347e+1,,
585.09,3.657e+1,3.657e+1,,
585.14,2.076e+1,2.076e+1,,
585.19,1.162e+1,1.162e+1,,
585.24,6.405e+0,6.405e+0,,
585.29,3.480e+0,3.480e+0,,
585.34,1.863e+0,1.863e+0,,
585.39,9.829e-1,9.829e-1,,
585.44,5.110e-1,5.110e-1,,
585.49,2.617e-1,2.617e-1,,
585.54,1.321e-1,1.321e-1,,
585.59,6.573e-2,6.573e-2,,
585.64,3.222e-2,3.222e-2,,
585.69,1.556e-2,1.556e-2,,
585.74,7.407e-3,7.407e-3,,
585.79,3.474e-3,3.474e-3,,
585.84,1.606e-3,1.606e-3,,
585.89,7.312e-4,7.312e-4,,
585.94,3.281e-4,3.281e-4,,
585.99,1.451e-4,1.451e-4,,
586.04,6.324e-5,6.324e-5,,
586.09,2.716e-5,2.716e-5,,
586.14,1.149e-5,1.149e-5,,
586.19,4.792e-6,4.792e-6,,
586.24,1.969e-6,1.969e-6,,
586.29,7.972e-7,7.972e-7,,
586.34,3.181e-7,3.181e-7,,
586.39,1.251e-7,1.251e-7,,
586.44,4.845e-8,4.845e-8,,
586.49,1.850e-8,1.850e-8,,
586.54,6.959e-9,6.959e-9,,
586.59,2.580e-9,2.580e-9,,
586.64,9.424e-10,9.424e-10,,
586.69,3.392e-10,3.392e-10,,
608.35,7.305e-15,,7.305e-15,
608.4,1.938e-14,,1.938e-14,
608.45,5.074e-14,,5.074e-14,
608.5,1.311e-13,,1.311e-13,
608.55,3.341e-13,,3.341e-13,
608.6,8.404e-13,,8.404e-13,
608.65,2.086e-12,,2.086e-12,
608.7,5.108e-12,,5.108e-12,
608.75,1.234e-11,,1.234e-11,
608.8,2.943e-11,,2.943e-11,
608.85,6.925e-11,,6.925e-11,
608.9,1.608e-10,,1.608e-10,
608.95,3.683e-10,,3.683e-10,
609,8.326e-10,,8.326e-10,
609.05,1.857e-9,,1.857e-9,
609.1,4.088e-9,,4.088e-9,
609.15,8.877e-9,,8.877e-9,
609.2,1.902e-8,,1.902e-8,
609.25,4.023e-8,,4.023e-8,
609.3,8.393e-8,,8.393e-8,
609.35,1.728e-7,,1.728e-7,
609.4,3.511e-7,,3.511e-7,
609.45,7.037e-7,,7.037e-7,
609.5,1.392e-6,,1.392e-6,
609.55,2.717e-6,,2.717e-6,
609.6,5.233e-6,,5.233e-6,
609.65,9.944e-6,,9.944e-6,
609.7,1.865e-5,,1.865e-5,
609.75,3.450e-5,,3.450e-5,
609.8,6.299e-5,,6.299e-5,
609.85,1.135e-4,,1.135e-4,
609.9,2.017e-4,,2.017e-4,
609.95,3.539e-4,,3.539e-4,
610,6.125e-4,,6.125e-4,
610.05,1.046e-3,,1.046e-3,
610.1,1.763e-3,,1.763e-3,
610.15,2.932e-3,,2.932e-3,
610.2,4.811e-3,,4.811e-3,
610.25,7.789e-3,,7.789e-3,
610.3,1.244e-2,,1.244e-2,
610.35,1.962e-2,,1.962e-2,
610.4,3.052e-2,,3.052e-2,
610.45,4.684e-2,,4.684e-2,
610.5,7.094e-2,,7.094e-2,
610.55,1.060e-1,,1.060e-1,
610.6,1.563e-1,,1.563e-1,
610.65,2.275e-1,,2.275e-1,
610.7,3.267e-1,,3.267e-1,
610.75,4.628e-1,,4.628e-1,
610.8,6.470e-1,,6.470e-1,
610.85,8.925e-1,,8.925e-1,
610.9,1.215e+0,,1.215e+0,
610.95,1.632e+0,,1.632e+0,
611,2.163e+0,,2.163e+0,
611.05,2.828e+0,,2.828e+0,
611.1,3.649e+0,,3.649e+0,
611.15,4.647e+0,,4.647e+0,
611.2,5.838e+0,,5.838e+0,
611.25,7.238e+0,,7.238e+0,
611.3,8.854e+0,,8.854e+0,
611.35,1.069e+1,,1.069e+1,
611.4,1.273e+1,,1.273e+1,
611.45,1.496e+1,,1.496e+1,
611.5,1.735e+1,,1.735e+1,
611.55,1.985e+1,,1.985e+1,
611.6,2.242e+1,,2.242e+1,
611.65,2.498e+1,,2.498e+1,
611.7,2.746e+1,,2.746e+1,
611.75,2.979e+1,,2.979e+1,
611.8,3.189e+1,,3.189e+1,
611.85,3.368e+1,,3.368e+1,
611.9,3.511e+1,,3.511e+1,
611.95,3.611e+1,,3.611e+1,
612,3.664e+1,,3.664e+1,
612.05,3.669e+1,,3.669e+1,
612.1,3.625e+1,,3.625e+1,
612.15,3.534e+1,,3.534e+1,
612.2,3.400e+1,,3.400e+1,
612.25,3.228e+1,,3.228e+1,
612.3,3.023e+1,,3.023e+1,
612.35,2.794e+1,,2.794e+1,
612.4,2.548e+1,,2.548e+1,
612.45,2.293e+1,,2.293e+1,
612.5,2.036e+1,,2.036e+1,
612.55,1.784e+1,,1.784e+1,
