Wavelength (nm),Sum,Fe I (1.5e-01),Fe II (8.5e-01),Fe III (1.1e-04)
536.6,1.512e+7,1.510e+7,1.965e+4,4.476e-6
536.8,1.592e+7,1.590e+7,2.030e+4,4.527e-6
537,1.652e+7,1.649e+7,2.121e+4,4.504e-6
537.1,1.674e+7,1.672e+7,2.176e+4,4.463e-6
537.3,1.703e+7,1.701e+7,2.305e+4,4.325e-6
537.5,1.712e+7,1.710e+7,2.458e+4,4.117e-6
537.7,1.704e+7,1.702e+7,2.632e+4,3.850e-6
537.9,1.682e+7,1.679e+7,2.822e+4,3.536e-6
538,1.666e+7,1.664e+7,2.920e+4,3.366e-6
538.2,1.631e+7,1.627e+7,3.121e+4,3.010e-6
538.4,1.591e+7,1.588e+7,3.320e+4,2.645e-6
538.6,1.553e+7,1.550e+7,3.507e+4,2.285e-6
538.7,1.536e+7,1.533e+7,3.594e+4,2.110e-6
538.9,1.507e+7,1.503e+7,3.748e+4,1.778e-6
539.1,1.487e+7,1.483e+7,3.868e+4,1.475e-6
539.3,1.477e+7,1.473e+7,3.950e+4,1.206e-6
539.5,1.477e+7,1.473e+7,3.988e+4,9.735e-7
539.6,1.481e+7,1.477e+7,3.990e+4,8.707e-7
539.8,1.494e+7,1.490e+7,3.960e+4,6.913e-7
540,1.512e+7,1.508e+7,3.888e+4,5.444e-7
540.2,1.531e+7,1.527e+7,3.777e+4,4.264e-7
540.4,1.546e+7,1.542e+7,3.635e+4,3.330e-7
540.5,1.551e+7,1.548e+7,3.555e+4,2.941e-7
540.7,1.554e+7,1.551e+7,3.382e+4,2.298e-7
540.9,1.545e+7,1.541e+7,3.201e+4,1.799e-7
541.1,1.520e+7,1.517e+7,3.021e+4,1.413e-7
541.2,1.502e+7,1.499e+7,2.934e+4,1.254e-7
541.4,1.453e+7,1.450e+7,2.772e+4,9.891e-8
541.6,1.389e+7,1.386e+7,2.629e+4,7.804e-8
541.8,1.311e+7,1.308e+7,2.510e+4,6.144e-8
542,1.222e+7,1.219e+7,2.417e+4,4.814e-8
542.1,1.174e+7,1.172e+7,2.380e+4,4.250e-8
542.3,1.076e+7,1.073e+7,2.325e+4,3.288e-8
542.5,9.747e+6,9.724e+6,2.291e+4,2.515e-8
542.7,8.755e+6,8.733e+6,2.276e+4,1.897e-8
542.9,7.811e+6,7.788e+6,2.275e+4,1.409e-8
543,7.365e+6,7.342e+6,2.278e+4,1.206e-8
543.2,6.537e+6,6.514e+6,2.290e+4,8.730e-9
543.4,5.806e+6,5.783e+6,2.307e+4,6.202e-9
543.6,5.179e+6,5.156e+6,2.326e+4,4.322e-9
543.7,4.906e+6,4.883e+6,2.336e+4,3.582e-9
543.9,4.437e+6,4.413e+6,2.356e+4,2.422e-9
544.1,4.065e+6,4.042e+6,2.376e+4,1.605e-9
544.3,3.781e+6,3.757e+6,2.398e+4,1.042e-9
544.5,3.571e+6,3.547e+6,2.422e+4,6.624e-10
544.6,3.490e+6,3.466e+6,2.436e+4,5.240e-10
544.8,3.367e+6,3.342e+6,2.469e+4,3.227e-10
545,3.283e+6,3.258e+6,2.510e+4,1.946e-10
545.2,3.226e+6,3.201e+6,2.561e+4,1.149e-10
545.4,3.183e+6,3.157e+6,2.626e+4,6.637e-11
545.5,3.164e+6,3.137e+6,2.664e+4,5.005e-11
545.7,3.123e+6,3.095e+6,2.752e+4,2.801e-11
545.9,3.073e+6,3.044e+6,2.860e+4,1.534e-11
546.1,3.007e+6,2.977e+6,2.988e+4,8.224e-12
546.2,2.968e+6,2.937e+6,3.061e+4,5.973e-12
546.4,2.873e+6,2.841e+6,3.226e+4,3.101e-12
546.6,2.757e+6,2.723e+6,3.416e+4,1.575e-12
546.8,2.620e+6,2.584e+6,3.633e+4,7.835e-13
547,2.465e+6,2.426e+6,3.877e+4,3.813e-13
547.1,2.381e+6,2.341e+6,4.009e+4,2.639e-13
547.3,2.205e+6,2.162e+6,4.293e+4,1.244e-13
547.5,2.019e+6,1.973e+6,4.602e+4,5.737e-14
547.7,1.828e+6,1.779e+6,4.933e+4,2.590e-14
547.9,1.637e+6,1.584e+6,5.283e+4,1.145e-14
548,1.543e+6,1.488e+6,5.462e+4,7.547e-15
548.2,1.359e+6,1.301e+6,5.829e+4,3.229e-15
548.4,1.184e+6,1.122e+6,6.198e+4,1.352e-15
548.6,1.021e+6,9.554e+5,6.561e+4,5.542e-16
548.7,9.444e+5,8.771e+5,6.738e+4,3.520e-16
548.9,8.022e+5,7.314e+5,7.075e+4,1.397e-16
549.1,6.751e+5,6.013e+5,7.379e+4,5.425e-17
549.3,5.636e+5,4.872e+5,7.640e+4,2.062e-17
549.5,4.672e+5,3.887e+5,7.844e+4,7.674e-18
549.6,4.245e+5,3.453e+5,7.922e+4,4.643e-18
549.8,3.493e+5,2.691e+5,8.021e+4,1.673e-18
550,2.867e+5,2.064e+5,8.038e+4,5.899e-19
550.2,2.353e+5,1.556e+5,7.966e+4,2.036e-19
550.4,1.934e+5,1.154e+5,7.803e+4,6.876e-20
550.5,1.756e+5,9.873e+4,7.688e+4,3.964e-20
550.7,1.453e+5,7.134e+4,7.392e+4,1.297e-20
550.9,1.209e+5,5.070e+4,7.017e+4,4.150e-21
551.1,1.013e+5,3.550e+4,6.575e+4,1.300e-21
551.3,8.546e+4,2.463e+4,6.083e+4,3.987e-22
551.4,7.876e+4,2.053e+4,5.823e+4,2.190e-22
551.6,6.743e+4,1.452e+4,5.291e+4,6.502e-23
551.8,5.855e+4,1.100e+4,4.755e+4,1.890e-23
552,5.200e+4,9.639e+3,4.236e+4,
552.1,4.962e+4,9.742e+3,3.987e+4,
552.3,4.683e+4,1.161e+4,3.521e+4,
552.5,4.711e+4,1.607e+4,3.104e+4,
552.7,5.129e+4,2.386e+4,2.743e+4,
552.9,6.055e+4,3.615e+4,2.440e+4,
553,6.756e+4,4.446e+4,2.310e+4,
553.2,8.760e+4,6.670e+4,2.090e+4,
553.4,1.177e+5,9.851e+4,1.917e+4,
553.6,1.608e+5,1.429e+5,1.784e+4,
553.8,2.203e+5,2.035e+5,1.682e+4,
553.9,2.574e+5,2.410e+5,1.639e+4,2.215e-22
554.1,3.492e+5,3.335e+5,1.566e+4,7.237e-22
554.3,4.679e+5,4.529e+5,1.502e+4,2.319e-21
554.5,6.179e+5,6.035e+5,1.441e+4,7.284e-21
554.6,7.058e+5,6.917e+5,1.411e+4,1.282e-20
554.8,9.098e+5,8.963e+5,1.348e+4,3.910e-20
555,1.153e+6,1.140e+6,1.281e+4,1.170e-19
555.2,1.437e+6,1.425e+6,1.212e+4,3.434e-19
555.4,1.760e+6,1.748e+6,1.142e+4,9.880e-19
555.5,1.935e+6,1.924e+6,1.107e+4,1.664e-18
555.7,2.310e+6,2.299e+6,1.040e+4,4.648e-18
555.9,2.711e+6,2.702e+6,9.804e+3,1.274e-17
556.1,3.130e+6,3.121e+6,9.305e+3,3.422e-17
556.3,3.556e+6,3.547e+6,8.929e+3,9.015e-17
556.4,3.767e+6,3.758e+6,8.792e+3,1.453e-16
556.6,4.178e+6,4.169e+6,8.626e+3,3.717e-16
556.8,4.564e+6,4.555e+6,8.600e+3,9.325e-16
557,4.912e+6,4.903e+6,8.699e+3,2.294e-15
557.1,5.068e+6,5.059e+6,8.787e+3,3.573e-15
557.3,5.339e+6,5.330e+6,9.023e+3,8.537e-15
557.5,5.550e+6,5.540e+6,9.306e+3,2.000e-14
557.7,5.696e+6,5.686e+6,9.596e+3,4.596e-14
557.9,5.778e+6,5.768e+6,9.849e+3,1.036e-13
558,5.795e+6,5.785e+6,9.951e+3,1.543e-13
558.2,5.787e+6,5.777e+6,1.008e+4,3.378e-13
558.4,5.730e+6,5.720e+6,1.010e+4,7.248e-13
558.6,5.634e+6,5.624e+6,9.973e+3,1.525e-12
558.8,5.515e+6,5.505e+6,9.705e+3,3.148e-12
558.9,5.451e+6,5.442e+6,9.518e+3,4.490e-12
559.1,5.324e+6,5.315e+6,9.043e+3,9.000e-12
559.3,5.209e+6,5.201e+6,8.450e+3,1.769e-11
559.5,5.120e+6,5.113e+6,7.763e+3,3.411e-11
559.6,5.088e+6,5.081e+6,7.394e+3,4.701e-11
559.8,5.053e+6,5.047e+6,6.623e+3,8.803e-11
560,5.058e+6,5.053e+6,5.838e+3,1.616e-10
560.2,5.101e+6,5.096e+6,5.071e+3,2.911e-10
560.4,5.173e+6,5.169e+6,4.351e+3,5.142e-10
560.5,5.217e+6,5.213e+6,4.017e+3,6.785e-10
560.7,5.310e+6,5.307e+6,3.417e+3,1.164e-9
560.9,5.397e+6,5.394e+6,2.921e+3,1.959e-9
561.1,5.461e+6,5.458e+6,2.545e+3,3.233e-9
561.3,5.484e+6,5.482e+6,2.301e+3,5.235e-9
561.4,5.476e+6,5.474e+6,2.231e+3,6.613e-9
561.6,5.415e+6,5.413e+6,2.197e+3,1.040e-8
561.8,5.287e+6,5.284e+6,2.307e+3,1.605e-8
562,5.090e+6,5.087e+6,2.561e+3,2.429e-8
562.1,4.966e+6,4.963e+6,2.741e+3,2.967e-8
562.3,4.673e+6,4.670e+6,3.202e+3,4.364e-8
562.5,4.328e+6,4.324e+6,3.788e+3,6.297e-8
562.7,3.943e+6,3.939e+6,4.483e+3,8.916e-8
562.9,3.534e+6,3.529e+6,5.265e+3,1.239e-7
563,3.326e+6,3.320e+6,5.680e+3,1.450e-7
563.2,2.909e+6,2.902e+6,6.538e+3,1.958e-7
563.4,2.503e+6,2.496e+6,7.403e+3,2.596e-7
563.6,2.121e+6,2.113e+6,8.234e+3,3.377e-7
563.8,1.770e+6,1.761e+6,8.991e+3,4.313e-7
563.9,1.608e+6,1.598e+6,9.329e+3,4.841e-7
564.1,1.313e+6,1.303e+6,9.901e+3,6.016e-7
564.3,1.058e+6,1.048e+6,1.031e+4,7.342e-7
564.5,8.425e+5,8.320e+5,1.053e+4,8.800e-7
564.6,7.488e+5,7.383e+5,1.057e+4,9.570e-7
564.8,5.879e+5,5.774e+5,1.048e+4,1.117e-6
565,4.590e+5,4.488e+5,1.020e+4,1.282e-6
565.2,3.583e+5,3.486e+5,9.742e+3,1.445e-6
565.4,2.821e+5,2.730e+5,9.122e+3,1.603e-6
565.5,2.520e+5,2.432e+5,8.764e+3,1.678e-6
565.7,2.058e+5,1.979e+5,7.972e+3,1.817e-6
565.9,1.759e+5,1.688e+5,7.113e+3,1.938e-6
566.1,1.597e+5,1.535e+5,6.225e+3,2.036e-6
566.3,1.550e+5,1.496e+5,5.344e+3,2.111e-6
566.4,1.563e+5,1.514e+5,4.916e+3,2.138e-6
566.6,1.653e+5,1.612e+5,4.100e+3,2.175e-6
566.8,1.813e+5,1.780e+5,3.354e+3,2.189e-6
567,2.027e+5,2.000e+5,2.692e+3,2.182e-6
567.1,2.150e+5,2.126e+5,2.395e+3,2.172e-6
567.3,2.414e+5,2.395e+5,1.868e+3,2.144e-6
567.5,2.690e+5,2.676e+5,1.432e+3,2.108e-6
567.7,2.962e+5,2.951e+5,1.079e+3,2.069e-6
567.9,3.212e+5,3.204e+5,8.014e+2,2.034e-6
568,3.324e+5,3.317e+5,6.883e+2,2.020e-6
568.2,3.513e+5,3.508e+5,5.072e+2,2.001e-6
568.4,3.646e+5,3.642e+5,3.788e+2,1.999e-6
568.6,3.713e+5,3.710e+5,2.952e+2,2.018e-6
568.8,3.711e+5,3.709e+5,2.501e+2,2.062e-6
568.9,3.684e+5,3.681e+5,2.404e+2,2.094e-6
569.1,3.577e+5,3.575e+5,2.448e+2,2.181e-6
569.3,3.408e+5,3.405e+5,2.793e+2,2.300e-6
569.5,3.185e+5,3.182e+5,3.433e+2,2.452e-6
569.6,3.057e+5,3.053e+5,3.865e+2,2.542e-6
569.8,2.776e+5,2.771e+5,4.958e+2,2.747e-6
570,2.473e+5,2.467e+5,6.365e+2,2.990e-6
570.2,2.162e+5,2.154e+5,8.094e+2,3.268e-6
570.4,1.855e+5,1.845e+5,1.014e+3,3.583e-6
570.5,1.707e+5,1.696e+5,1.128e+3,3.753e-6
570.7,1.426e+5,1.412e+5,1.378e+3,4.119e-6
570.9,1.171e+5,1.154e+5,1.651e+3,4.516e-6
571.1,9.473e+4,9.279e+4,1.942e+3,4.941e-6
571.3,7.577e+4,7.353e+4,2.242e+3,5.392e-6
571.4,6.758e+4,6.519e+4,2.391e+3,5.625e-6
571.6,5.379e+4,5.111e+4,2.682e+3,6.105e-6
571.8,4.335e+4,4.039e+4,2.952e+3,6.601e-6
572,3.612e+4,3.293e+4,3.188e+3,7.107e-6
572.1,3.368e+4,3.039e+4,3.290e+3,7.363e-6
572.3,3.107e+4,2.762e+4,3.454e+3,7.877e-6
572.5,3.149e+4,2.793e+4,3.559e+3,8.390e-6
572.7,3.500e+4,3.140e+4,3.602e+3,8.897e-6
572.9,4.175e+4,3.817e+4,3.582e+3,9.390e-6
573,4.641e+4,4.286e+4,3.550e+3,9.630e-6
573.2,5.849e+4,5.505e+4,3.445e+3,1.009e-5
573.4,7.449e+4,7.119e+4,3.299e+3,1.052e-5
573.6,9.467e+4,9.155e+4,3.127e+3,1.090e-5
573.8,1.192e+5,1.163e+5,2.949e+3,1.123e-5
573.9,1.332e+5,1.303e+5,2.865e+3,1.137e-5
574.1,1.643e+5,1.616e+5,2.724e+3,1.159e-5
574.3,1.995e+5,1.968e+5,2.642e+3,1.174e-5
574.5,2.380e+5,2.354e+5,2.647e+3,1.179e-5
574.7,2.791e+5,2.763e+5,2.768e+3,1.174e-5
574.8,3.002e+5,2.973e+5,2.881e+3,1.168e-5
575,3.425e+5,3.393e+5,3.230e+3,1.147e-5
575.2,3.837e+5,3.799e+5,3.763e+3,1.115e-5
575.4,4.221e+5,4.176e+5,4.502e+3,1.073e-5
575.5,4.396e+5,4.347e+5,4.954e+3,1.049e-5
575.7,4.704e+5,4.644e+5,6.027e+3,9.931e-6
575.9,4.941e+5,4.868e+5,7.326e+3,9.300e-6
576.1,5.096e+5,5.008e+5,8.840e+3,8.614e-6
576.3,5.161e+5,5.055e+5,1.054e+4,7.891e-6
576.4,5.158e+5,5.043e+5,1.146e+4,7.523e-6
576.6,5.083e+5,4.949e+5,1.337e+4,6.787e-6
576.8,4.919e+5,4.766e+5,1.534e+4,6.072e-6
577,4.676e+5,4.503e+5,1.731e+4,5.400e-6
577.2,4.367e+5,4.176e+5,1.919e+4,4.795e-6
577.3,4.193e+5,3.992e+5,2.006e+4,4.525e-6
577.5,3.815e+5,3.599e+5,2.164e+4,4.067e-6
577.7,3.412e+5,3.183e+5,2.293e+4,3.743e-6
577.9,3.001e+5,2.763e+5,2.384e+4,3.592e-6
578,2.797e+5,2.555e+5,2.415e+4,3.596e-6
578.2,2.400e+5,2.156e+5,2.444e+4,3.805e-6
578.4,2.028e+5,1.785e+5,2.428e+4,4.353e-6
578.6,1.687e+5,1.450e+5,2.368e+4,5.352e-6
578.8,1.383e+5,1.156e+5,2.267e+4,6.958e-6
578.9,1.245e+5,1.025e+5,2.203e+4,8.050e-6
579.1,9.995e+4,7.943e+4,2.052e+4,1.097e-5
579.3,7.917e+4,6.041e+4,1.876e+4,1.512e-5
579.5,6.192e+4,4.508e+4,1.685e+4,2.086e-5
579.7,4.786e+4,3.301e+4,1.485e+4,2.863e-5
579.8,4.189e+4,2.805e+4,1.384e+4,3.343e-5
580,3.183e+4,1.997e+4,1.187e+4,4.517e-5
580.2,2.394e+4,1.395e+4,9.993e+3,6.022e-5
580.4,1.782e+4,9.559e+3,8.262e+3,7.911e-5
580.5,1.532e+4,7.858e+3,7.461e+3,9.015e-5
580.7,1.124e+4,5.236e+3,6.006e+3,1.156e-4
580.9,8.175e+3,3.423e+3,4.752e+3,1.459e-4
581.1,5.897e+3,2.196e+3,3.701e+3,1.810e-4
581.3,4.227e+3,1.383e+3,2.844e+3,2.207e-4
581.4,3.573e+3,1.090e+3,2.483e+3,2.421e-4
581.6,2.554e+3,6.668e+2,1.887e+3,2.874e-4
581.8,1.842e+3,4.005e+2,1.441e+3,3.353e-4
582,1.361e+3,2.360e+2,1.125e+3,3.843e-4
582.2,1.056e+3,1.365e+2,9.192e+2,4.326e-4
582.3,9.555e+2,1.031e+2,8.524e+2,4.559e-4
582.5,8.393e+2,5.793e+1,7.814e+2,4.995e-4
582.7,8.145e+2,3.196e+1,7.826e+2,5.375e-4
582.9,8.620e+2,1.730e+1,8.447e+2,5.681e-4
583,9.082e+2,1.264e+1,8.955e+2,5.802e-4
583.2,1.038e+3,6.650e+0,1.032e+3,5.968e-4
583.4,1.210e+3,3.434e+0,1.207e+3,6.031e-4
583.6,1.416e+3,1.740e+0,1.414e+3,5.987e-4
583.8,1.647e+3,8.651e-1,1.646e+3,5.838e-4
583.9,1.770e+3,6.057e-1,1.769e+3,5.727e-4
584.1,2.026e+3,2.928e-1,2.026e+3,5.441e-4
584.3,2.289e+3,1.388e-1,2.289e+3,5.083e-4
584.5,2.554e+3,6.462e-2,2.554e+3,4.671e-4
584.7,2.816e+3,2.951e-2,2.816e+3,4.227e-4
584.8,2.945e+3,1.980e-2,2.945e+3,4.000e-4
585,3.197e+3,8.792e-3,3.197e+3,3.548e-4
585.2,3.444e+3,3.830e-3,3.444e+3,3.115e-4
585.4,3.690e+3,1.637e-3,3.690e+3,2.720e-4
585.5,3.814e+3,1.063e-3,3.814e+3,2.541e-4
585.7,4.071e+3,4.417e-4,4.071e+3,2.228e-4
585.9,4.348e+3,1.801e-4,4.348e+3,1.982e-4
586.1,4.656e+3,7.208e-5,4.656e+3,1.810e-4
586.3,5.008e+3,2.830e-5,5.008e+3,1.715e-4
586.4,5.204e+3,1.761e-5,5.204e+3,1.696e-4
586.6,5.639e+3,6.722e-6,5.639e+3,1.717e-4
586.8,6.140e+3,2.518e-6,6.140e+3,1.810e-4
587,6.707e+3,9.255e-7,6.707e+3,1.972e-4
587.2,7.339e+3,3.338e-7,7.339e+3,2.192e-4
587.3,7.678e+3,1.990e-7,7.678e+3,2.322e-4
587.5,8.392e+3,6.979e-8,8.392e+3,2.612e-4
587.7,9.145e+3,2.401e-8,9.145e+3,2.933e-4
587.9,9.918e+3,8.106e-9,9.918e+3,3.269e-4
588,1.031e+4,4.677e-9,1.031e+4,3.438e-4
588.2,1.107e+4,1.535e-9,1.107e+4,3.769e-4
588.4,1.180e+4,4.943e-10,1.180e+4,4.076e-4
588.6,1.247e+4,1.562e-10,1.247e+4,4.347e-4
588.8,1.305e+4,,1.305e+4,4.570e-4
588.9,1.331e+4,,1.331e+4,4.661e-4
589.1,1.373e+4,,1.373e+4,4.798e-4
589.3,1.402e+4,,1.402e+4,4.875e-4
589.5,1.417e+4,,1.417e+4,4.893e-4
589.7,1.416e+4,,1.416e+4,4.861e-4
589.8,1.409e+4,,1.409e+4,4.828e-4
590,1.384e+4,,1.384e+4,4.739e-4
590.2,1.344e+4,,1.344e+4,4.630e-4
590.4,1.288e+4,,1.288e+4,4.513e-4
590.5,1.256e+4,,1.256e+4,4.457e-4
590.7,1.182e+4,,1.182e+4,4.355e-4
590.9,1.099e+4,,1.099e+4,4.277e-4
591.1,1.010e+4,,1.010e+4,4.229e-4
591.3,9.175e+3,,9.175e+3,4.213e-4
591.4,8.716e+3,,8.716e+3,4.216e-4
591.6,7.826e+3,,7.826e+3,4.245e-4
591.8,7.005e+3,,7.005e+3,4.295e-4
592,6.291e+3,,6.291e+3,4.359e-4
592.2,5.722e+3,,5.722e+3,4.425e-4
592.3,5.503e+3,,5.503e+3,4.456e-4
592.5,5.215e+3,,5.215e+3,4.507e-4
592.7,5.152e+3,,5.152e+3,4.536e-4
592.9,5.340e+3,,5.340e+3,4.536e-4
593,5.533e+3,,5.533e+3,4.524e-4
593.2,6.130e+3,,6.130e+3,4.474e-4
593.4,7.011e+3,,7.011e+3,4.391e-4
593.6,8.176e+3,,8.176e+3,4.277e-4
593.8,9.612e+3,,9.612e+3,4.137e-4
593.9,1.043e+4,,1.043e+4,4.059e-4
594.1,1.222e+4,,1.222e+4,3.892e-4
594.3,1.420e+4,,1.420e+4,3.714e-4
594.5,1.631e+4,,1.631e+4,3.534e-4
594.7,1.847e+4,,1.847e+4,3.357e-4
594.8,1.955e+4,,1.955e+4,3.271e-4
595,2.165e+4,,2.165e+4,3.108e-4
595.2,2.359e+4,,2.359e+4,2.958e-4
595.4,2.529e+4,,2.529e+4,2.825e-4
595.6,2.667e+4,,2.667e+4,2.709e-4
595.7,2.721e+4,,2.721e+4,2.658e-4
595.9,2.798e+4,,2.798e+4,2.571e-4
596.1,2.829e+4,,2.829e+4,2.504e-4
596.3,2.813e+4,,2.813e+4,2.457e-4
596.4,2.787e+4,,2.787e+4,2.440e-4
596.6,2.702e+4,,2.702e+4,2.421e-4
596.8,2.575e+4,,2.575e+4,2.421e-4
597,2.413e+4,,2.413e+4,2.437e-4
597.2,2.224e+4,,2.224e+4,2.470e-4
597.3,2.121e+4,,2.121e+4,2.491e-4
597.5,1.905e+4,,1.905e+4,2.543e-4
597.7,1.682e+4,,1.682e+4,2.605e-4
597.9,1.461e+4,,1.461e+4,2.675e-4
598.1,1.247e+4,,1.247e+4,2.748e-4
598.2,1.145e+4,,1.145e+4,2.785e-4
598.4,9.525e+3,,9.525e+3,2.858e-4
598.6,7.792e+3,,7.792e+3,2.927e-4
598.8,6.266e+3,,6.266e+3,2.988e-4
598.9,5.584e+3,,5.584e+3,3.014e-4
599.1,4.378e+3,,4.378e+3,3.058e-4
599.3,3.374e+3,,3.374e+3,3.088e-4
599.5,2.556e+3,,2.556e+3,3.103e-4
599.7,1.904e+3,,1.904e+3,3.104e-4
599.8,1.633e+3,,1.633e+3,3.099e-4
600,1.185e+3,,1.185e+3,3.080e-4
600.2,8.459e+2,,8.459e+2,3.053e-4
600.4,5.934e+2,,5.934e+2,3.021e-4
600.6,4.093e+2,,4.093e+2,2.990e-4
600.7,3.377e+2,,3.377e+2,2.976e-4
600.9,2.270e+2,,2.270e+2,2.955e-4
601.1,1.500e+2,,1.500e+2,2.947e-4
601.3,9.743e+1,,9.743e+1,2.956e-4
601.4,7.802e+1,,7.802e+1,2.968e-4
601.6,4.939e+1,,4.939e+1,3.004e-4
601.8,3.074e+1,,3.074e+1,3.058e-4
602,1.880e+1,,1.880e+1,3.124e-4
602.2,1.131e+1,,1.131e+1,3.198e-4
602.3,8.710e+0,,8.710e+0,3.235e-4
602.5,5.104e+0,,5.104e+0,3.305e-4
602.7,2.940e+0,,2.940e+0,3.363e-4
602.9,1.665e+0,,1.665e+0,3.399e-4
603.1,9.269e-1,,9.265e-1,3.405e-4
603.2,6.871e-1,,6.868e-1,3.396e-4
603.4,3.728e-1,,3.725e-1,3.350e-4
603.6,1.989e-1,,1.986e-1,3.264e-4
603.8,1.044e-1,,1.041e-1,3.139e-4
603.9,7.516e-2,,7.486e-2,3.063e-4
604.1,3.852e-2,,3.823e-2,2.885e-4
604.3,1.946e-2,,1.919e-2,2.680e-4
604.5,9.714e-3,,9.469e-3,2.453e-4
604.7,4.813e-3,,4.592e-3,2.212e-4
604.8,3.386e-3,,3.177e-3,2.090e-4
605,1.686e-3,,1.502e-3,1.845e-4
605.2,8.581e-4,,6.976e-4,1.605e-4
605.4,4.562e-4,,3.185e-4,1.377e-4
605.6,2.595e-4,,1.429e-4,1.165e-4
605.7,2.018e-4,,9.514e-5,1.067e-4
605.9,1.301e-4,,4.161e-5,8.851e-5
606.1,9.041e-5,,1.788e-5,7.253e-5
606.3,6.627e-5,,7.556e-6,5.872e-5
606.4,5.749e-5,,4.879e-6,5.261e-5
606.6,4.388e-5,,2.009e-6,4.188e-5
606.8,3.380e-5,,8.128e-7,3.298e-5
607,2.604e-5,,3.232e-7,2.572e-5
607.2,1.999e-5,,1.264e-7,1.987e-5
607.3,1.748e-5,,7.849e-8,1.740e-5
607.5,1.329e-5,,2.989e-8,1.326e-5
607.7,1.003e-5,,1.119e-8,1.002e-5
607.9,7.509e-6,,4.117e-9,7.505e-6
608.1,5.576e-6,,1.489e-9,5.574e-6
608.2,4.790e-6,,8.895e-10,4.789e-6
608.4,3.512e-6,,3.134e-10,3.511e-6
608.6,2.552e-6,,1.082e-10,2.552e-6
608.8,1.837e-6,,3.682e-11,1.837e-6
608.9,1.554e-6,,2.135e-11,1.554e-6
609.1,1.103e-6,,5.014e-12,1.103e-6
609.3,7.763e-7,,1.652e-12,7.763e-7
609.5,5.427e-7,,,5.427e-7
609.7,3.789e-7,,,3.789e-7
609.8,3.176e-7,,,3.176e-7
610,2.273e-7,,,2.273e-7
610.2,1.718e-7,,,1.718e-7
610.4,1.439e-7,,,1.439e-7
610.6,1.394e-7,,,1.394e-7
610.7,1.453e-7,,,1.453e-7
610.9,1.729e-7,,,1.729e-7
611.1,2.231e-7,,,2.231e-7
611.3,2.984e-7,,,2.984e-7
611.4,3.469e-7,,,3.469e-7
611.6,4.685e-7,,,4.685e-7
611.8,6.282e-7,,,6.282e-7
612,8.328e-7,,,8.328e-7
612.2,1.090e-6,,,1.090e-6
612.3,1.240e-6,,,1.240e-6
612.5,1.590e-6,,,1.590e-6
612.7,2.011e-6,,,2.011e-6
612.9,2.508e-6,,,2.508e-6
613.1,3.087e-6,,,3.087e-6
613.2,3.408e-6,,,3.408e-6
613.4,4.114e-6,,,4.114e-6
613.6,4.903e-6,,,4.903e-6
613.8,5.771e-6,,,5.771e-6
613.9,6.234e-6,,,6.234e-6
614.1,7.209e-6,,,7.209e-6
614.3,8.240e-6,,,8.240e-6
614.5,9.315e-6,,,9.315e-6
614.7,1.042e-5,,,1.042e-5
614.8,1.097e-5,,,1.097e-5
615,1.207e-5,,,1.207e-5
615.2,1.315e-5,,,1.315e-5
615.4,1.418e-5,,,1.418e-5
615.6,1.515e-5,,7.223e-13,1.515e-5
615.7,1.560e-5,,1.235e-12,1.560e-5
615.9,1.642e-5,,3.571e-12,1.642e-5
616.1,1.712e-5,,1.016e-11,1.712e-5
616.3,1.768e-5,,2.846e-11,1.768e-5
616.4,1.791e-5,,4.734e-11,1.791e-5
616.6,1.825e-5,,1.295e-10,1.825e-5
616.8,1.842e-5,,3.485e-10,1.842e-5
617,1.844e-5,,9.234e-10,1.844e-5
617.2,1.831e-5,,2.408e-9,1.830e-5
617.3,1.818e-5,,3.866e-9,1.818e-5
617.5,1.783e-5,,9.844e-9,1.782e-5
617.7,1.737e-5,,2.468e-8,1.734e-5
617.9,1.681e-5,,6.088e-8,1.675e-5
618.1,1.621e-5,,1.478e-7,1.606e-5
618.2,1.592e-5,,2.290e-7,1.569e-5
618.4,1.545e-5,,5.431e-7,1.491e-5
618.6,1.535e-5,,1.268e-6,1.408e-5
618.8,1.613e-5,,2.912e-6,1.322e-5
619,1.894e-5,,6.586e-6,1.235e-5
619.1,2.176e-5,,9.845e-6,1.191e-5
619.3,3.278e-5,,2.174e-5,1.104e-5
619.5,5.743e-5,,4.725e-5,1.018e-5
619.7,1.104e-4,,1.011e-4,9.341e-6
619.8,1.559e-4,,1.470e-4,8.927e-6
620,3.152e-4,,3.070e-4,8.116e-6
620.2,6.387e-4,,6.313e-4,7.332e-6
620.4,1.284e-3,,1.278e-3,6.577e-6
620.6,2.551e-3,,2.546e-3,5.854e-6
620.7,3.577e-3,,3.572e-3,5.506e-6
620.9,6.953e-3,,6.948e-3,4.838e-6
621.1,1.331e-2,,1.330e-2,4.211e-6
621.3,2.508e-2,,2.507e-2,3.629e-6
621.5,4.651e-2,,4.651e-2,3.093e-6
621.6,6.297e-2,,6.297e-2,2.843e-6
621.8,1.141e-1,,1.141e-1,2.382e-6
622,2.034e-1,,2.034e-1,1.971e-6
622.2,3.569e-1,,3.569e-1,1.611e-6
622.3,4.700e-1,,4.700e-1,1.449e-6
622.5,8.055e-1,,8.055e-1,1.161e-6
622.7,1.359e+0,,1.359e+0,9.173e-7
