Wavelength (nm),Sum,Fe I (1.5e-01),Fe II (8.5e-01),Fe III (1.1e-04)
366.9,3.663e+7,3.663e+7,5.363e+3,
367.1,3.915e+7,3.915e+7,5.001e+3,
367.3,4.353e+7,4.352e+7,4.450e+3,
367.4,4.624e+7,4.624e+7,4.125e+3,
367.6,5.234e+7,5.233e+7,3.423e+3,
367.8,5.885e+7,5.884e+7,2.711e+3,
368,6.520e+7,6.520e+7,2.049e+3,
368.2,7.092e+7,7.092e+7,1.479e+3,
368.3,7.342e+7,7.342e+7,1.234e+3,
368.5,7.758e+7,7.758e+7,8.301e+2,
368.7,8.057e+7,8.057e+7,5.330e+2,
368.9,8.251e+7,8.251e+7,3.266e+2,
369,8.318e+7,8.318e+7,2.512e+2,
369.2,8.421e+7,8.421e+7,1.436e+2,
369.4,8.525e+7,8.525e+7,7.828e+1,
369.6,8.685e+7,8.685e+7,4.075e+1,
369.8,8.953e+7,8.953e+7,2.024e+1,
369.9,9.143e+7,9.143e+7,1.402e+1,
370.1,9.658e+7,9.658e+7,6.494e+0,
370.3,1.038e+8,1.038e+8,2.871e+0,
370.5,1.134e+8,1.134e+8,1.211e+0,
370.7,1.254e+8,1.254e+8,4.878e-1,
370.8,1.324e+8,1.324e+8,3.042e-1,
371,1.484e+8,1.484e+8,1.142e-1,
371.2,1.671e+8,1.671e+8,4.094e-2,
371.4,1.884e+8,1.884e+8,1.400e-2,
371.5,2.001e+8,2.001e+8,8.048e-3,
371.7,2.254e+8,2.254e+8,2.567e-3,
371.9,2.534e+8,2.534e+8,7.814e-4,
372.1,2.840e+8,2.840e+8,2.270e-4,
372.3,3.170e+8,3.170e+8,6.295e-5,
372.4,3.342e+8,3.342e+8,3.258e-5,
372.6,3.694e+8,3.694e+8,8.423e-6,
372.8,4.048e+8,4.048e+8,2.079e-6,
373,4.385e+8,4.385e+8,4.896e-7,
373.2,4.686e+8,4.686e+8,1.101e-7,
373.3,4.818e+8,4.818e+8,5.128e-8,
373.5,5.033e+8,5.033e+8,1.075e-8,
373.7,5.175e+8,5.175e+8,2.150e-9,
373.9,5.239e+8,5.239e+8,4.106e-10,
374,5.243e+8,5.243e+8,1.763e-10,
374.2,5.197e+8,5.197e+8,3.139e-11,
374.4,5.089e+8,5.089e+8,5.333e-12,
374.6,4.931e+8,4.931e+8,8.650e-13,
374.8,4.733e+8,4.733e+8,,
374.9,4.623e+8,4.623e+8,,
375.1,4.385e+8,4.385e+8,,
375.3,4.129e+8,4.129e+8,,
375.5,3.860e+8,3.860e+8,,
375.7,3.581e+8,3.581e+8,,
375.8,3.439e+8,3.439e+8,,
376,3.148e+8,3.148e+8,,
376.2,2.849e+8,2.849e+8,,
376.4,2.545e+8,2.545e+8,,
376.6,2.237e+8,2.237e+8,,
376.7,2.083e+8,2.083e+8,,
376.9,1.782e+8,1.782e+8,,
377.1,1.495e+8,1.495e+8,,
377.3,1.234e+8,1.234e+8,,
377.4,1.115e+8,1.115e+8,,
377.6,9.074e+7,9.074e+7,,
377.8,7.437e+7,7.437e+7,,
378,6.264e+7,6.264e+7,,
378.2,5.542e+7,5.542e+7,,
378.3,5.339e+7,5.339e+7,,
378.5,5.214e+7,5.214e+7,,
378.7,5.406e+7,5.406e+7,,
378.9,5.849e+7,5.849e+7,,
379.1,6.487e+7,6.487e+7,,
379.2,6.868e+7,6.868e+7,,
379.4,7.744e+7,7.744e+7,,
379.6,8.786e+7,8.786e+7,,
379.8,1.003e+8,1.003e+8,,
379.9,1.076e+8,1.076e+8,,
380.1,1.244e+8,1.244e+8,,
380.3,1.452e+8,1.452e+8,,
380.5,1.704e+8,1.704e+8,,
380.7,2.001e+8,2.001e+8,,
380.8,2.166e+8,2.166e+8,,
381,2.518e+8,2.518e+8,,
381.2,2.888e+8,2.888e+8,,
381.4,3.253e+8,3.253e+8,,
381.6,3.585e+8,3.585e+8,,
381.7,3.731e+8,3.731e+8,,
381.9,3.967e+8,3.967e+8,,
382.1,4.116e+8,4.116e+8,,
382.3,4.167e+8,4.167e+8,,
382.4,4.156e+8,4.156e+8,,
382.6,4.065e+8,4.065e+8,,
382.8,3.895e+8,3.895e+8,,
383,3.665e+8,3.665e+8,,
383.2,3.395e+8,3.395e+8,,
383.3,3.252e+8,3.252e+8,,
383.5,2.960e+8,2.960e+8,,
383.7,2.674e+8,2.674e+8,,
383.9,2.404e+8,2.404e+8,,
384.1,2.159e+8,2.159e+8,,
384.2,2.048e+8,2.048e+8,,
384.4,1.848e+8,1.848e+8,,
384.6,1.680e+8,1.680e+8,,
384.8,1.545e+8,1.545e+8,,
384.9,1.489e+8,1.489e+8,,
385.1,1.397e+8,1.397e+8,,
385.3,1.328e+8,1.328e+8,,
385.5,1.276e+8,1.276e+8,,
385.7,1.234e+8,1.234e+8,,
385.8,1.214e+8,1.214e+8,,
386,1.176e+8,1.176e+8,,
386.2,1.136e+8,1.136e+8,,
386.4,1.093e+8,1.093e+8,,
386.6,1.048e+8,1.048e+8,,
386.7,1.026e+8,1.026e+8,,
386.9,9.851e+7,9.851e+7,,1.207e-20
387.1,9.506e+7,9.506e+7,,6.505e-20
387.3,9.247e+7,9.247e+7,,3.369e-19
387.4,9.153e+7,9.153e+7,,7.552e-19
387.6,9.026e+7,9.026e+7,,3.683e-18
387.8,8.965e+7,8.965e+7,,1.725e-17
388,8.936e+7,8.936e+7,,7.764e-17
388.2,8.904e+7,8.904e+7,,3.356e-16
388.3,8.875e+7,8.875e+7,,6.875e-16
388.5,8.776e+7,8.776e+7,,2.799e-15
388.7,8.604e+7,8.604e+7,,1.095e-14
388.9,8.353e+7,8.353e+7,,4.112e-14
389.1,8.023e+7,8.023e+7,,1.484e-13
389.2,7.833e+7,7.833e+7,,2.778e-13
389.4,7.408e+7,7.408e+7,,9.441e-13
389.6,6.938e+7,6.938e+7,,3.083e-12
389.8,6.439e+7,6.439e+7,,9.669e-12
389.9,6.183e+7,6.183e+7,,1.687e-11
390.1,5.670e+7,5.670e+7,,4.982e-11
390.3,5.167e+7,5.167e+7,,1.414e-10
390.5,4.689e+7,4.689e+7,,3.854e-10
390.7,4.254e+7,4.254e+7,,1.009e-9
390.8,4.059e+7,4.059e+7,,1.609e-9
391,3.719e+7,3.719e+7,,3.967e-9
391.2,3.456e+7,3.456e+7,,9.398e-9
391.4,3.274e+7,3.274e+7,,2.139e-8
391.6,3.167e+7,3.167e+7,,4.677e-8
391.7,3.137e+7,3.137e+7,,6.813e-8
391.9,3.111e+7,3.111e+7,,1.403e-7
392.1,3.110e+7,3.110e+7,,2.776e-7
392.3,3.108e+7,3.108e+7,,5.276e-7
392.4,3.099e+7,3.099e+7,,7.166e-7
392.6,3.055e+7,3.055e+7,,1.283e-6
392.8,2.968e+7,2.968e+7,,2.208e-6
393,2.836e+7,2.836e+7,,3.651e-6
393.2,2.669e+7,2.669e+7,,5.803e-6
393.3,2.578e+7,2.578e+7,,7.208e-6
