Wavelength (nm),Sum(calc),Li I (4.0e-2),Li II (9.6e-1),Li III (5.9e-34)
235.887,3.918e-33,,3.918e-33,1.206e-114
235.892,1.123e-33,,1.123e-33,1.207e-114
235.897,2.941e-34,,2.941e-34,1.207e-114
235.902,7.041e-35,,7.041e-35,1.207e-114
235.907,1.541e-35,,1.541e-35,1.207e-114
235.912,3.082e-36,,3.082e-36,1.207e-114
235.917,5.634e-37,,5.634e-37,1.208e-114
235.923,6.511e-38,,6.511e-38,1.208e-114
235.928,9.766e-39,,9.766e-39,1.208e-114
235.933,1.339e-39,,1.339e-39,1.208e-114
235.938,1.678e-40,,1.678e-40,1.209e-114
235.943,1.922e-41,,1.922e-41,1.209e-114
235.948,2.012e-42,,2.012e-42,1.209e-114
235.954,1.191e-43,,1.191e-43,1.209e-114
235.959,1.023e-44,,1.023e-44,1.210e-114
235.964,8.035e-46,,8.035e-46,1.210e-114
235.969,5.766e-47,,5.766e-47,1.210e-114
235.974,3.782e-48,,3.782e-48,1.210e-114
235.979,2.267e-49,,2.267e-49,1.210e-114
235.985,6.877e-51,,6.877e-51,1.211e-114
235.99,3.383e-52,,3.383e-52,1.211e-114
235.995,1.521e-53,,1.521e-53,1.211e-114
236,6.251e-55,,6.251e-55,1.211e-114
236.005,2.348e-56,,2.348e-56,1.212e-114
236.01,8.062e-58,,8.062e-58,1.212e-114
236.016,1.252e-59,,1.252e-59,1.212e-114
236.021,3.528e-61,,3.528e-61,1.212e-114
240.02,2.504e-62,,2.504e-62,1.388e-114
240.025,1.398e-60,,1.398e-60,1.388e-114
240.03,4.729e-59,,4.729e-59,1.388e-114
240.036,2.887e-57,,2.887e-57,1.388e-114
240.041,8.077e-56,,8.077e-56,1.389e-114
240.046,2.073e-54,,2.073e-54,1.389e-114
240.051,4.879e-53,,4.879e-53,1.389e-114
240.056,1.053e-51,,1.053e-51,1.389e-114
240.061,2.087e-50,,2.087e-50,1.390e-114
240.067,6.701e-49,,6.701e-49,1.390e-114
240.072,1.098e-47,,1.098e-47,1.390e-114
240.077,1.650e-46,,1.650e-46,1.390e-114
240.082,2.274e-45,,2.274e-45,1.390e-114
240.087,2.876e-44,,2.876e-44,1.391e-114
240.092,3.337e-43,,3.337e-43,1.391e-114
240.098,5.639e-42,,5.639e-42,1.391e-114
240.103,5.411e-41,,5.411e-41,1.391e-114
240.108,4.764e-40,,4.764e-40,1.392e-114
240.113,3.847e-39,,3.847e-39,1.392e-114
240.118,2.850e-38,,2.850e-38,1.392e-114
240.123,1.937e-37,,1.937e-37,1.392e-114
240.128,1.208e-36,,1.208e-36,1.392e-114
240.134,9.693e-36,,9.693e-36,1.393e-114
240.139,5.000e-35,,5.000e-35,1.393e-114
240.144,2.367e-34,,2.367e-34,1.393e-114
240.149,1.028e-33,,1.028e-33,1.393e-114
240.154,4.096e-33,,4.096e-33,1.394e-114
240.159,1.498e-32,,1.498e-32,1.394e-114
240.165,6.336e-32,,6.336e-32,1.394e-114
240.17,1.918e-31,,1.918e-31,1.394e-114
240.175,5.327e-31,,5.327e-31,1.395e-114
240.18,1.358e-30,,1.358e-30,1.395e-114
240.185,3.179e-30,,3.179e-30,1.395e-114
240.19,6.831e-30,,6.831e-30,1.395e-114
240.196,1.528e-29,,1.528e-29,1.395e-114
240.201,2.723e-29,,2.723e-29,1.396e-114
240.206,4.456e-29,,4.456e-29,1.396e-114
240.211,6.700e-29,,6.700e-29,1.396e-114
240.216,9.261e-29,,9.261e-29,1.396e-114
240.221,1.177e-28,,1.177e-28,1.397e-114
240.227,1.406e-28,,1.406e-28,1.397e-114
240.232,1.488e-28,,1.488e-28,1.397e-114
240.237,1.451e-28,,1.451e-28,1.397e-114
240.242,1.303e-28,,1.303e-28,1.397e-114
240.247,1.080e-28,,1.080e-28,1.398e-114
240.252,8.257e-29,,8.257e-29,1.398e-114
240.257,5.833e-29,,5.833e-29,1.398e-114
240.263,3.465e-29,,3.465e-29,1.398e-114
240.268,2.061e-29,,2.061e-29,1.399e-114
240.273,1.135e-29,,1.135e-29,1.399e-114
240.278,5.791e-30,,5.791e-30,1.399e-114
240.283,2.738e-30,,2.738e-30,1.399e-114
240.288,1.200e-30,,1.200e-30,1.399e-114
240.294,4.031e-31,,4.031e-31,1.400e-114
240.299,1.494e-31,,1.494e-31,1.400e-114
240.304,5.128e-32,,5.128e-32,1.400e-114
240.309,1.629e-32,,1.629e-32,1.400e-114
240.314,4.785e-33,,4.785e-33,1.401e-114
240.319,1.299e-33,,1.299e-33,1.401e-114
240.325,2.445e-34,,2.445e-34,1.401e-114
240.33,5.564e-35,,5.564e-35,1.401e-114
240.335,1.167e-35,,1.167e-35,1.402e-114
240.34,2.255e-36,,2.255e-36,1.402e-114
240.345,4.010e-37,,4.010e-37,1.402e-114
240.35,6.561e-38,,6.561e-38,1.402e-114
240.356,6.691e-39,,6.691e-39,1.402e-114
240.361,9.097e-40,,9.097e-40,1.403e-114
240.366,1.136e-40,,1.136e-40,1.403e-114
240.371,1.304e-41,,1.304e-41,1.403e-114
240.376,1.374e-42,,1.374e-42,1.403e-114
240.381,1.329e-43,,1.329e-43,1.404e-114
240.386,1.180e-44,,1.180e-44,1.404e-114
240.392,5.761e-46,,5.761e-46,1.404e-114
240.397,4.233e-47,,4.233e-47,1.404e-114
240.402,2.854e-48,,2.854e-48,1.404e-114
240.407,1.765e-49,,1.765e-49,1.405e-114
240.412,1.001e-50,,1.001e-50,1.405e-114
240.417,5.212e-52,,5.212e-52,1.405e-114
240.423,1.340e-53,,1.340e-53,1.405e-114
