Wavelength (nm),Sum,Cu I (2.9e-01),Cu II (7.1e-01)
250.08,5.133e+4,1.103e+3,5.023e+4
250.13,1.161e+5,2.610e+2,1.159e+5
250.18,2.469e+5,5.700e+1,2.468e+5
250.23,4.855e+5,1.149e+1,4.855e+5
250.28,8.820e+5,2.135e+0,8.820e+5
250.33,1.480e+6,3.662e-1,1.480e+6
250.38,2.293e+6,5.795e-2,2.293e+6
250.43,3.280e+6,8.462e-3,3.280e+6
250.48,4.334e+6,1.140e-3,4.334e+6
250.53,5.288e+6,1.417e-4,5.288e+6
250.58,5.959e+6,1.625e-5,5.959e+6
250.63,6.201e+6,1.719e-6,6.201e+6
250.68,5.959e+6,1.679e-7,5.959e+6
250.73,5.288e+6,1.512e-8,5.288e+6
250.78,4.334e+6,,4.334e+6
250.83,3.280e+6,,3.280e+6
250.88,2.293e+6,,2.293e+6
250.93,1.480e+6,,1.480e+6
250.98,8.820e+5,,8.820e+5
251.03,4.855e+5,,4.855e+5
251.08,2.468e+5,,2.468e+5
251.13,1.159e+5,,1.159e+5
251.18,5.023e+4,,5.023e+4
251.23,2.011e+4,,2.011e+4
251.28,7.435e+3,,7.435e+3
251.33,2.539e+3,,2.539e+3
251.38,8.005e+2,,8.005e+2
251.43,2.331e+2,,2.331e+2
251.48,6.268e+1,,6.268e+1
251.53,1.557e+1,,1.557e+1
251.58,3.583e+0,,3.583e+0
251.63,8.291e-1,,8.291e-1
251.68,5.012e-1,,5.012e-1
251.73,1.604e+0,,1.604e+0
251.78,6.517e+0,,6.517e+0
251.83,2.486e+1,,2.486e+1
251.88,8.776e+1,,8.776e+1
251.93,2.865e+2,,2.865e+2
251.98,8.651e+2,,8.651e+2
252.03,2.416e+3,,2.416e+3
252.08,6.244e+3,,6.244e+3
252.13,1.493e+4,,1.493e+4
252.18,3.306e+4,,3.306e+4
252.23,6.783e+4,,6.783e+4
252.28,1.290e+5,,1.290e+5
252.33,2.280e+5,,2.280e+5
252.38,3.750e+5,,3.750e+5
252.43,5.757e+5,,5.757e+5
252.48,8.287e+5,,8.287e+5
252.53,1.124e+6,,1.124e+6
252.58,1.447e+6,,1.447e+6
252.63,1.781e+6,,1.781e+6
252.68,2.107e+6,,2.107e+6
252.73,2.407e+6,,2.407e+6
252.78,2.658e+6,,2.658e+6
252.83,2.828e+6,,2.828e+6
252.88,2.882e+6,,2.882e+6
252.93,2.793e+6,,2.793e+6
252.98,2.559e+6,,2.559e+6
253.03,2.201e+6,,2.201e+6
253.08,1.770e+6,,1.770e+6
253.13,1.326e+6,,1.326e+6
253.18,9.240e+5,,9.240e+5
253.23,5.972e+5,,5.972e+5
253.28,3.578e+5,,3.578e+5
253.33,1.985e+5,,1.985e+5
253.38,1.020e+5,,1.020e+5
253.43,4.847e+4,,4.847e+4
253.48,2.132e+4,,2.132e+4
253.53,8.681e+3,,8.681e+3
253.58,3.295e+3,,3.295e+3
253.63,1.258e+3,,1.258e+3
253.68,8.025e+2,,8.025e+2
253.73,1.554e+3,,1.554e+3
253.78,4.457e+3,,4.457e+3
253.83,1.256e+4,,1.256e+4
253.88,3.296e+4,,3.296e+4
253.93,8.009e+4,,8.009e+4
253.98,1.802e+5,,1.802e+5
254.03,3.751e+5,,3.751e+5
254.08,7.231e+5,,7.231e+5
254.13,1.290e+6,,1.290e+6
254.18,2.131e+6,,2.131e+6
254.23,3.259e+6,,3.259e+6
254.28,4.612e+6,,4.612e+6
254.33,6.044e+6,,6.044e+6
254.38,7.330e+6,,7.330e+6
254.43,8.230e+6,,8.230e+6
254.48,8.554e+6,,8.554e+6
254.53,8.230e+6,,8.230e+6
254.58,7.330e+6,,7.330e+6
254.63,6.044e+6,,6.044e+6
254.68,4.612e+6,,4.612e+6
254.73,3.259e+6,,3.259e+6
254.78,2.131e+6,,2.131e+6
254.83,1.290e+6,,1.290e+6
254.88,7.231e+5,,7.231e+5
254.93,3.751e+5,,3.751e+5
254.98,1.802e+5,,1.802e+5
255.03,8.009e+4,,8.009e+4
255.08,3.296e+4,,3.296e+4
255.13,1.256e+4,,1.256e+4
255.18,4.427e+3,,4.427e+3
255.23,1.445e+3,,1.445e+3
255.28,4.367e+2,,4.367e+2
255.33,1.222e+2,,1.222e+2
255.38,3.164e+1,,3.164e+1
255.43,7.583e+0,,7.583e+0
255.48,1.683e+0,,1.683e+0
255.53,3.456e-1,,3.456e-1
255.58,6.572e-2,,6.572e-2
255.63,1.157e-2,,1.157e-2
255.68,1.885e-3,,1.885e-3
255.73,2.843e-4,,2.843e-4
255.78,3.969e-5,,3.969e-5
255.83,5.131e-6,,5.131e-6
255.88,6.139e-7,,6.139e-7
255.93,6.799e-8,,6.799e-8
255.98,6.971e-9,,6.971e-9
256.03,6.616e-10,,6.616e-10
257.48,9.074e-11,,9.074e-11
257.53,9.071e-10,,9.071e-10
257.58,8.417e-9,,8.417e-9
257.63,7.249e-8,,7.249e-8
257.68,5.795e-7,,5.795e-7
257.73,4.300e-6,,4.300e-6
257.78,2.962e-5,,2.962e-5
257.83,1.893e-4,,1.893e-4
257.88,1.124e-3,,1.124e-3
257.93,6.189e-3,,6.189e-3
257.98,3.164e-2,,3.164e-2
258.03,1.501e-1,,1.501e-1
258.08,6.614e-1,,6.614e-1
258.13,2.704e+0,,2.704e+0
258.18,1.026e+1,,1.026e+1
258.23,3.614e+1,,3.614e+1
258.28,1.182e+2,,1.182e+2
258.33,3.586e+2,,3.586e+2
258.38,1.010e+3,,1.010e+3
258.43,2.641e+3,,2.641e+3
258.48,6.411e+3,,6.411e+3
258.53,1.444e+4,,1.444e+4
258.58,3.020e+4,,3.020e+4
258.63,5.860e+4,,5.860e+4
258.68,1.056e+5,,1.056e+5
258.73,1.765e+5,,1.765e+5
258.78,2.740e+5,,2.740e+5
258.83,3.947e+5,,3.947e+5
258.88,5.278e+5,,5.278e+5
258.93,6.551e+5,,6.551e+5
258.98,7.547e+5,,7.547e+5
259.03,8.071e+5,,8.071e+5
259.08,8.012e+5,,8.012e+5
259.13,7.384e+5,,7.384e+5
259.18,6.321e+5,,6.321e+5
259.23,5.035e+5,,5.035e+5
259.28,3.755e+5,,3.755e+5
259.33,2.677e+5,,2.677e+5
259.38,1.943e+5,,1.943e+5
259.43,1.654e+5,,1.654e+5
259.48,1.897e+5,,1.897e+5
259.53,2.775e+5,,2.775e+5
259.58,4.405e+5,,4.405e+5
259.63,6.891e+5,,6.891e+5
259.68,1.027e+6,,1.027e+6
259.73,1.442e+6,,1.442e+6
259.78,1.906e+6,,1.906e+6
259.83,2.369e+6,,2.369e+6
259.88,2.767e+6,,2.767e+6
259.93,3.039e+6,,3.039e+6
259.98,3.136e+6,,3.136e+6
260.03,3.039e+6,,3.039e+6
260.08,2.762e+6,,2.762e+6
260.13,2.352e+6,,2.352e+6
260.18,1.876e+6,,1.876e+6
260.23,1.399e+6,,1.399e+6
260.28,9.747e+5,2.175e-7,9.747e+5
260.33,6.339e+5,2.041e-6,6.339e+5
260.38,3.845e+5,1.781e-5,3.845e+5
260.43,2.174e+5,1.444e-4,2.174e+5
260.48,1.145e+5,1.089e-3,1.145e+5
260.53,5.613e+4,7.632e-3,5.613e+4
260.58,2.561e+4,4.973e-2,2.561e+4
260.63,1.087e+4,3.013e-1,1.087e+4
260.68,4.291e+3,1.697e+0,4.289e+3
260.73,1.583e+3,8.884e+0,1.574e+3
260.78,5.799e+2,4.324e+1,5.367e+2
260.83,3.658e+2,1.957e+2,1.701e+2
260.88,8.733e+2,8.232e+2,5.010e+1
260.93,3.233e+3,3.220e+3,1.371e+1
260.98,1.171e+4,1.171e+4,3.485e+0
261.03,3.957e+4,3.957e+4,8.232e-1
261.08,1.243e+5,1.243e+5,1.806e-1
261.13,3.633e+5,3.633e+5,3.681e-2
261.18,9.866e+5,9.866e+5,6.967e-3
261.23,2.491e+6,2.491e+6,1.225e-3
