Wavelength (nm),Sum,Cr I (8.9e-02),Cr II (9.1e-01)
  430.94,4.75E+06,4.75E+06,
  430.99,4.05E+06,4.05E+06,
  431.04,3.46E+06,3.46E+06,
  431.09,2.96E+06,2.96E+06,
  431.14,2.56E+06,2.56E+06,
  431.19,2.26E+06,2.26E+06,
  431.24,2.06E+06,2.06E+06,
  431.29,1.97E+06,1.97E+06,
  431.34,2.00E+06,2.00E+06,
  431.39,2.15E+06,2.15E+06,
  431.44,2.42E+06,2.42E+06,
  431.49,2.80E+06,2.80E+06,
  431.54,3.28E+06,3.28E+06,
  431.59,3.84E+06,3.84E+06,
  431.64,4.46E+06,4.46E+06,
  431.69,5.12E+06,5.12E+06,
  431.74,5.78E+06,5.78E+06,
  431.79,6.42E+06,6.42E+06,
  431.84,7.02E+06,7.02E+06,
  431.89,7.56E+06,7.56E+06,
  431.94,8.04E+06,8.04E+06,
  431.99,8.46E+06,8.46E+06,
  432.04,8.84E+06,8.84E+06,
  432.09,9.17E+06,9.17E+06,
  432.14,9.48E+06,9.48E+06,
  432.19,9.77E+06,9.77E+06,
  432.24,1.00E+07,1.00E+07,
  432.29,1.03E+07,1.03E+07,
  432.34,1.04E+07,1.04E+07,
  432.39,1.05E+07,1.05E+07,
  432.44,1.05E+07,1.05E+07,
  432.49,1.03E+07,1.03E+07,
  432.54,9.90E+06,9.90E+06,
  432.59,9.38E+06,9.38E+06,
  432.64,8.73E+06,8.73E+06,
  432.69,7.96E+06,7.96E+06,
  432.74,7.13E+06,7.13E+06,
  432.79,6.30E+06,6.30E+06,
  432.84,5.53E+06,5.53E+06,
  432.89,4.90E+06,4.90E+06,
  432.94,4.48E+06,4.48E+06,
  432.99,4.36E+06,4.36E+06,
  433.04,4.64E+06,4.64E+06,
  433.09,5.39E+06,5.39E+06,
  433.14,6.72E+06,6.72E+06,
  433.19,8.74E+06,8.74E+06,
  433.24,1.15E+07,1.15E+07,
  433.29,1.52E+07,1.52E+07,
  433.34,1.98E+07,1.98E+07,
  433.39,2.53E+07,2.53E+07,
  433.44,3.17E+07,3.17E+07,
  433.49,3.88E+07,3.88E+07,
  433.54,4.66E+07,4.66E+07,
  433.59,5.48E+07,5.48E+07,
  433.64,6.31E+07,6.31E+07,
  433.69,7.13E+07,7.13E+07,
  433.74,7.90E+07,7.90E+07,
  433.79,8.60E+07,8.60E+07,
  433.84,9.23E+07,9.23E+07,
  433.89,9.77E+07,9.77E+07,
  433.94,1.02E+08,1.02E+08,
  433.99,1.06E+08,1.06E+08,
  434.04,1.10E+08,1.10E+08,
  434.09,1.13E+08,1.13E+08,
  434.14,1.15E+08,1.15E+08,
  434.19,1.18E+08,1.18E+08,
  434.24,1.20E+08,1.20E+08,
  434.29,1.21E+08,1.21E+08,
  434.34,1.22E+08,1.22E+08,
  434.39,1.22E+08,1.22E+08,
  434.44,1.22E+08,1.22E+08,
  434.49,1.20E+08,1.20E+08,
  434.54,1.18E+08,1.18E+08,
  434.59,1.16E+08,1.16E+08,
  434.64,1.14E+08,1.14E+08,
  434.69,1.12E+08,1.12E+08,
  434.74,1.11E+08,1.11E+08,
  434.79,1.11E+08,1.11E+08,
  434.84,1.13E+08,1.13E+08,
  434.89,1.15E+08,1.15E+08,
  434.94,1.19E+08,1.19E+08,
  434.99,1.22E+08,1.22E+08,
  435.04,1.26E+08,1.26E+08,
  435.09,1.28E+08,1.28E+08,
  435.14,1.28E+08,1.28E+08,
  435.19,1.27E+08,1.27E+08,
  435.24,1.24E+08,1.24E+08,
  435.29,1.18E+08,1.18E+08,
  435.34,1.11E+08,1.11E+08,
  435.39,1.02E+08,1.02E+08,
  435.44,9.20E+07,9.20E+07,
  435.49,8.21E+07,8.21E+07,
  435.54,7.26E+07,7.26E+07,
  435.59,6.39E+07,6.39E+07,
  435.64,5.64E+07,5.64E+07,
  435.69,5.03E+07,5.03E+07,
  435.74,4.55E+07,4.55E+07,
  435.79,4.20E+07,4.20E+07,
  435.84,3.95E+07,3.95E+07,
  435.89,3.77E+07,3.77E+07,
  435.94,3.64E+07,3.64E+07,
  435.99,3.53E+07,3.53E+07,
  436.04,3.42E+07,3.42E+07,
  436.09,3.29E+07,3.29E+07,
  436.14,3.14E+07,3.14E+07,
  436.19,2.96E+07,2.96E+07,
  436.24,2.76E+07,2.76E+07,
  436.29,2.55E+07,2.55E+07,
  436.34,2.34E+07,2.34E+07,
  436.39,2.14E+07,2.14E+07,
  436.44,1.96E+07,1.96E+07,
  436.49,1.82E+07,1.82E+07,
  436.54,1.73E+07,1.73E+07,
  436.59,1.69E+07,1.69E+07,
  436.64,1.72E+07,1.72E+07,
  436.69,1.82E+07,1.82E+07,
  436.74,1.99E+07,1.99E+07,
  436.79,2.22E+07,2.22E+07,
  436.84,2.50E+07,2.50E+07,
  436.89,2.81E+07,2.81E+07,
  436.94,3.15E+07,3.15E+07,
  436.99,3.48E+07,3.48E+07,
  437.04,3.80E+07,3.80E+07,
  437.09,4.08E+07,4.08E+07,
  437.14,4.31E+07,4.31E+07,
  437.19,4.48E+07,4.48E+07,
  437.24,4.57E+07,4.57E+07,
  437.29,4.59E+07,4.59E+07,
  437.34,4.53E+07,4.53E+07,
  437.39,4.40E+07,4.40E+07,
  437.44,4.22E+07,4.22E+07,
  437.49,3.98E+07,3.98E+07,
  437.54,3.70E+07,3.70E+07,
  437.59,3.39E+07,3.39E+07,
  437.64,3.07E+07,3.07E+07,
  437.69,2.75E+07,2.75E+07,
  437.74,2.44E+07,2.44E+07,
  437.79,2.16E+07,2.16E+07,
  437.84,1.91E+07,1.91E+07,
  437.89,1.71E+07,1.71E+07,
  437.94,1.56E+07,1.56E+07,
  437.99,1.47E+07,1.47E+07,
  438.04,1.43E+07,1.43E+07,
  438.09,1.45E+07,1.45E+07,
  438.14,1.51E+07,1.51E+07,
  438.19,1.61E+07,1.61E+07,
  438.24,1.74E+07,1.74E+07,
  438.29,1.87E+07,1.87E+07,
  438.34,1.99E+07,1.99E+07,
  438.39,2.10E+07,2.10E+07,
  438.44,2.16E+07,2.16E+07,
  438.49,2.19E+07,2.19E+07,
  438.54,2.16E+07,2.16E+07,
  438.59,2.08E+07,2.08E+07,
  438.64,1.96E+07,1.96E+07,
  438.69,1.79E+07,1.79E+07,
  438.74,1.60E+07,1.60E+07,
  438.79,1.39E+07,1.39E+07,
  438.84,1.18E+07,1.18E+07,
  438.89,9.78E+06,9.78E+06,
  438.94,7.88E+06,7.88E+06,
  438.99,6.19E+06,6.19E+06,
  439.04,4.73E+06,4.73E+06,
  439.09,3.53E+06,3.53E+06,
  439.14,2.56E+06,2.56E+06,
  439.19,1.81E+06,1.81E+06,
  439.24,1.25E+06,1.25E+06,
  439.29,8.40E+05,8.40E+05,
  439.34,5.50E+05,5.50E+05,
  439.39,3.51E+05,3.51E+05,
  439.44,2.18E+05,2.18E+05,
  439.49,1.32E+05,1.32E+05,
  439.54,7.78E+04,7.78E+04,
  439.59,4.47E+04,4.47E+04,
  439.64,2.51E+04,2.51E+04,
  439.69,1.38E+04,1.38E+04,
  439.74,7.65E+03,7.65E+03,
  439.79,4.53E+03,4.53E+03,
  439.84,3.41E+03,3.41E+03,
  439.89,3.81E+03,3.81E+03,
  439.94,5.79E+03,5.79E+03,
  439.99,9.88E+03,9.88E+03,
  440.04,1.72E+04,1.72E+04,
  440.09,2.95E+04,2.95E+04,
  440.14,4.96E+04,4.96E+04,
  440.19,8.13E+04,8.13E+04,
  440.24,1.30E+05,1.30E+05,
  440.29,2.03E+05,2.03E+05,
  440.34,3.10E+05,3.10E+05,
  440.39,4.62E+05,4.62E+05,
  440.44,6.72E+05,6.72E+05,
  440.49,9.54E+05,9.54E+05,
  440.54,1.32E+06,1.32E+06,
  440.59,1.79E+06,1.79E+06,
  440.64,2.38E+06,2.38E+06,
  440.69,3.08E+06,3.08E+06,
  440.74,3.89E+06,3.89E+06,
  440.79,4.82E+06,4.82E+06,
  440.84,5.83E+06,5.83E+06,
  440.89,6.91E+06,6.91E+06,
  440.94,8.02E+06,8.02E+06,
  440.99,9.10E+06,9.10E+06,
  441.04,1.01E+07,1.01E+07,
  441.09,1.10E+07,1.10E+07,
  441.14,1.17E+07,1.17E+07,
  441.19,1.22E+07,1.22E+07,
  441.24,1.25E+07,1.25E+07,
  441.29,1.25E+07,1.25E+07,
  441.34,1.23E+07,1.23E+07,
  441.39,1.19E+07,1.19E+07,
  441.44,1.13E+07,1.13E+07,
  441.49,1.05E+07,1.05E+07,
  441.54,9.71E+06,9.71E+06,
  441.59,8.92E+06,8.92E+06,
  441.64,8.23E+06,8.23E+06,
  441.69,7.71E+06,7.71E+06,
  441.74,7.42E+06,7.42E+06,
  441.79,7.41E+06,7.41E+06,
  441.84,7.72E+06,7.72E+06,
  441.89,8.36E+06,8.36E+06,
  441.94,9.32E+06,9.32E+06,
  441.99,1.06E+07,1.06E+07,
  442.04,1.20E+07,1.20E+07,
  442.09,1.36E+07,1.36E+07,
  442.14,1.53E+07,1.53E+07,
  442.19,1.69E+07,1.69E+07,
  442.24,1.83E+07,1.83E+07,
  442.29,1.95E+07,1.95E+07,
  442.34,2.05E+07,2.05E+07,
  442.39,2.11E+07,2.11E+07,
  442.44,2.13E+07,2.13E+07,
  442.49,2.13E+07,2.13E+07,
  442.54,2.10E+07,2.10E+07,
  442.59,2.05E+07,2.05E+07,
  442.64,2.00E+07,2.00E+07,
  442.69,1.93E+07,1.93E+07,
  442.74,1.88E+07,1.88E+07,
  442.79,1.83E+07,1.83E+07,
  442.84,1.79E+07,1.79E+07,
  442.89,1.76E+07,1.76E+07,
  442.94,1.74E+07,1.74E+07,
  442.99,1.72E+07,1.72E+07,
  443.04,1.70E+07,1.70E+07,
  443.09,1.68E+07,1.68E+07,
  443.14,1.64E+07,1.64E+07,
  443.19,1.58E+07,1.58E+07,
  443.24,1.51E+07,1.51E+07,
  443.29,1.42E+07,1.42E+07,
  443.34,1.32E+07,1.32E+07,
  443.39,1.19E+07,1.19E+07,
  443.44,1.06E+07,1.06E+07,
  443.49,9.30E+06,9.30E+06,
  443.54,7.97E+06,7.97E+06,
  443.59,6.70E+06,6.70E+06,
  443.64,5.53E+06,5.53E+06,
  443.69,4.51E+06,4.51E+06,
  443.74,3.64E+06,3.64E+06,
  443.79,2.95E+06,2.95E+06,
  443.84,2.42E+06,2.42E+06,
  443.89,2.05E+06,2.05E+06,
  443.94,1.82E+06,1.82E+06,
  443.99,1.72E+06,1.72E+06,
  444.04,1.70E+06,1.70E+06,
  444.09,1.75E+06,1.75E+06,
  444.14,1.84E+06,1.84E+06,
  444.19,1.95E+06,1.95E+06,
  444.24,2.05E+06,2.05E+06,
  444.29,2.13E+06,2.13E+06,
  444.34,2.17E+06,2.17E+06,
  444.39,2.16E+06,2.16E+06,
  444.44,2.11E+06,2.11E+06,
  444.49,2.01E+06,2.01E+06,
  444.54,1.86E+06,1.86E+06,
  444.59,1.69E+06,1.69E+06,
  444.64,1.49E+06,1.49E+06,
  444.69,1.28E+06,1.28E+06,
  444.74,1.08E+06,1.08E+06,
  444.79,8.88E+05,8.88E+05,
  444.84,7.15E+05,7.15E+05,
  444.89,5.67E+05,5.67E+05,
  444.94,4.49E+05,4.49E+05,
  444.99,3.62E+05,3.62E+05,
  445.04,3.10E+05,3.10E+05,
  445.09,2.95E+05,2.95E+05,
  445.14,3.21E+05,3.21E+05,
  445.19,3.93E+05,3.93E+05,
  445.24,5.16E+05,5.16E+05,
  445.29,6.99E+05,6.99E+05,
  445.34,9.50E+05,9.50E+05,
  445.39,1.28E+06,1.28E+06,
  445.44,1.68E+06,1.68E+06,
  445.49,2.17E+06,2.17E+06,
  445.54,2.73E+06,2.73E+06,
  445.59,3.35E+06,3.35E+06,
  445.64,4.02E+06,4.02E+06,
  445.69,4.71E+06,4.71E+06,
  445.74,5.40E+06,5.40E+06,
  445.79,6.04E+06,6.04E+06,
  445.84,6.62E+06,6.62E+06,
  445.89,7.09E+06,7.09E+06,
  445.94,7.45E+06,7.45E+06,
  445.99,7.68E+06,7.68E+06,
  446.04,7.79E+06,7.79E+06,
  446.09,7.77E+06,7.77E+06,
  446.14,7.65E+06,7.65E+06,
  446.19,7.45E+06,7.45E+06,
  446.24,7.19E+06,7.19E+06,
  446.29,6.88E+06,6.88E+06,
  446.34,6.55E+06,6.55E+06,
  446.39,6.20E+06,6.20E+06,
  446.44,5.84E+06,5.84E+06,
  446.49,5.46E+06,5.46E+06,
  446.54,5.07E+06,5.07E+06,
  446.59,4.66E+06,4.66E+06,
  446.64,4.23E+06,4.23E+06,
  446.69,3.79E+06,3.79E+06,
  446.74,3.34E+06,3.34E+06,
  446.79,2.90E+06,2.90E+06,
  446.84,2.46E+06,2.46E+06,
  446.89,2.05E+06,2.05E+06,
  446.94,1.67E+06,1.67E+06,
  446.99,1.33E+06,1.33E+06,
  447.04,1.04E+06,1.04E+06,
  447.09,7.92E+05,7.92E+05,
  447.14,5.93E+05,5.93E+05,
  447.19,4.38E+05,4.38E+05,
  447.24,3.23E+05,3.23E+05,
  447.29,2.45E+05,2.45E+05,
  447.34,2.00E+05,2.00E+05,
  447.39,1.88E+05,1.88E+05,
  447.44,2.07E+05,2.07E+05,
  447.49,2.61E+05,2.61E+05,
  447.54,3.52E+05,3.52E+05,
  447.59,4.86E+05,4.86E+05,
  447.64,6.69E+05,6.69E+05,
  447.7,9.62E+05,9.62E+05,
  447.75,1.27E+06,1.27E+06,
  447.8,1.64E+06,1.64E+06,
  447.85,2.07E+06,2.07E+06,
  447.9,2.55E+06,2.55E+06,
  447.95,3.07E+06,3.07E+06,
  448,3.60E+06,3.60E+06,
  448.05,4.13E+06,4.13E+06,
  448.1,4.64E+06,4.64E+06,
  448.15,5.09E+06,5.09E+06,
  448.2,5.49E+06,5.49E+06,
  448.25,5.81E+06,5.81E+06,
  448.3,6.07E+06,6.07E+06,
  448.35,6.28E+06,6.28E+06,
  448.4,6.47E+06,6.47E+06,
  448.45,6.68E+06,6.68E+06,
  448.5,6.96E+06,6.96E+06,
  448.55,7.34E+06,7.34E+06,
  448.6,7.88E+06,7.88E+06,
  448.65,8.60E+06,8.60E+06,
  448.7,9.53E+06,9.53E+06,
  448.75,1.07E+07,1.07E+07,
  448.8,1.20E+07,1.20E+07,
  448.85,1.35E+07,1.35E+07,
  448.9,1.52E+07,1.52E+07,
  448.95,1.69E+07,1.69E+07,
  449,1.88E+07,1.88E+07,
  449.05,2.06E+07,2.06E+07,
  449.1,2.25E+07,2.25E+07,
  449.15,2.43E+07,2.43E+07,
  449.2,2.62E+07,2.62E+07,
  449.25,2.81E+07,2.81E+07,
  449.3,3.00E+07,3.00E+07,
  449.35,3.19E+07,3.19E+07,
  449.4,3.37E+07,3.37E+07,
  449.45,3.56E+07,3.56E+07,
  449.5,3.72E+07,3.72E+07,
  449.55,3.87E+07,3.87E+07,
  449.6,3.99E+07,3.99E+07,
  449.65,4.08E+07,4.08E+07,
  449.7,4.12E+07,4.12E+07,
  449.75,4.11E+07,4.11E+07,
  449.8,4.04E+07,4.04E+07,
  449.85,3.93E+07,3.93E+07,
  449.9,3.76E+07,3.76E+07,
  449.95,3.55E+07,3.55E+07,
  450,3.31E+07,3.31E+07,
  450.05,3.05E+07,3.05E+07,
  450.1,2.78E+07,2.78E+07,
  450.15,2.51E+07,2.51E+07,
  450.2,2.24E+07,2.24E+07,
  450.25,2.00E+07,2.00E+07,
  450.3,1.79E+07,1.79E+07,
  450.35,1.61E+07,1.61E+07,
  450.4,1.47E+07,1.47E+07,
  450.45,1.36E+07,1.36E+07,
  450.5,1.29E+07,1.29E+07,
  450.55,1.25E+07,1.25E+07,
  450.6,1.23E+07,1.23E+07,
  450.65,1.24E+07,1.24E+07,
  450.7,1.27E+07,1.27E+07,
  450.75,1.31E+07,1.31E+07,
  450.8,1.36E+07,1.36E+07,
  450.85,1.42E+07,1.42E+07,
  450.9,1.49E+07,1.49E+07,
  450.95,1.55E+07,1.55E+07,
  451,1.61E+07,1.61E+07,
  451.05,1.66E+07,1.66E+07,
  451.1,1.69E+07,1.69E+07,
  451.15,1.70E+07,1.70E+07,
  451.2,1.69E+07,1.69E+07,
  451.25,1.65E+07,1.65E+07,
  451.3,1.59E+07,1.59E+07,
  451.35,1.50E+07,1.50E+07,
  451.4,1.40E+07,1.40E+07,
  451.45,1.27E+07,1.27E+07,
  451.5,1.14E+07,1.14E+07,
  451.55,1.01E+07,1.01E+07,
  451.6,8.77E+06,8.77E+06,
  451.65,7.56E+06,7.56E+06,
  451.7,6.52E+06,6.52E+06,
  451.75,5.71E+06,5.71E+06,
  451.8,5.19E+06,5.19E+06,
  451.85,5.01E+06,5.01E+06,
  451.9,5.22E+06,5.22E+06,
  451.95,5.88E+06,5.88E+06,
  452,7.03E+06,7.03E+06,
  452.05,8.73E+06,8.73E+06,
  452.1,1.10E+07,1.10E+07,
  452.15,1.38E+07,1.38E+07,
  452.2,1.73E+07,1.73E+07,
  452.25,2.12E+07,2.12E+07,
  452.3,2.56E+07,2.56E+07,
  452.35,3.03E+07,3.03E+07,
  452.4,3.53E+07,3.53E+07,
  452.45,4.02E+07,4.02E+07,
  452.5,4.50E+07,4.50E+07,
  452.55,4.96E+07,4.96E+07,
  452.6,5.36E+07,5.36E+07,
  452.65,5.71E+07,5.71E+07,
  452.7,5.99E+07,5.99E+07,
  452.75,6.20E+07,6.20E+07,
  452.8,6.34E+07,6.34E+07,
  452.85,6.41E+07,6.41E+07,
  452.9,6.42E+07,6.42E+07,
  452.95,6.37E+07,6.37E+07,
  453,6.28E+07,6.28E+07,
  453.05,6.15E+07,6.15E+07,
  453.1,6.00E+07,6.00E+07,4.23E-09
  453.15,5.84E+07,5.84E+07,1.58E-08
  453.2,5.68E+07,5.68E+07,5.74E-08
  453.25,5.53E+07,5.53E+07,2.04E-07
  453.3,5.39E+07,5.39E+07,7.07E-07
  453.35,5.28E+07,5.28E+07,2.40E-06
  453.4,5.19E+07,5.19E+07,7.92E-06
  453.45,5.15E+07,5.15E+07,2.56E-05
  453.5,5.13E+07,5.13E+07,8.05E-05
  453.55,5.15E+07,5.15E+07,2.48E-04
  453.6,5.21E+07,5.21E+07,7.44E-04
  453.65,5.30E+07,5.30E+07,2.18E-03
  453.7,5.41E+07,5.41E+07,6.24E-03
  453.75,5.55E+07,5.55E+07,1.74E-02
  453.8,5.68E+07,5.68E+07,4.75E-02
  453.85,5.81E+07,5.81E+07,1.27E-01
  453.9,5.92E+07,5.92E+07,3.29E-01
  453.95,6.00E+07,6.00E+07,8.35E-01
  454,6.03E+07,6.03E+07,2.07E+00
  454.05,5.99E+07,5.99E+07,5.00E+00
  454.1,5.89E+07,5.89E+07,1.18E+01
  454.15,5.72E+07,5.72E+07,2.72E+01
  454.2,5.48E+07,5.48E+07,6.12E+01
  454.25,5.19E+07,5.19E+07,1.34E+02
  454.3,4.83E+07,4.83E+07,2.88E+02
  454.35,4.44E+07,4.44E+07,6.03E+02
  454.4,4.03E+07,4.03E+07,1.23E+03
  454.45,3.60E+07,3.60E+07,2.46E+03
  454.5,3.18E+07,3.18E+07,4.79E+03
  454.55,2.76E+07,2.76E+07,9.10E+03
  454.6,2.37E+07,2.37E+07,1.69E+04
  454.65,2.01E+07,2.01E+07,3.06E+04
  454.7,1.69E+07,1.68E+07,5.41E+04
  454.75,1.40E+07,1.39E+07,9.35E+04
  454.8,1.16E+07,1.14E+07,1.58E+05
  454.85,9.61E+06,9.36E+06,2.59E+05
  454.9,8.08E+06,7.66E+06,4.16E+05
  454.95,7.00E+06,6.35E+06,6.53E+05
  455,6.39E+06,5.39E+06,1.00E+06
  455.05,6.23E+06,4.74E+06,1.49E+06
  455.1,6.55E+06,4.37E+06,2.18E+06
  455.15,7.33E+06,4.23E+06,3.10E+06
  455.2,8.60E+06,4.28E+06,4.32E+06
  455.25,1.03E+07,4.47E+06,5.86E+06
  455.3,1.25E+07,4.75E+06,7.76E+06
  455.35,1.51E+07,5.07E+06,1.00E+07
  455.4,1.81E+07,5.40E+06,1.27E+07
  455.45,2.14E+07,5.71E+06,1.56E+07
  455.5,2.48E+07,5.98E+06,1.88E+07
  455.55,2.83E+07,6.18E+06,2.21E+07
  455.6,3.17E+07,6.32E+06,2.54E+07
  455.65,3.48E+07,6.41E+06,2.84E+07
  455.7,3.75E+07,6.47E+06,3.10E+07
  455.75,3.97E+07,6.54E+06,3.31E+07
  455.8,4.11E+07,6.63E+06,3.45E+07
  455.85,4.19E+07,6.79E+06,3.51E+07
  455.9,4.19E+07,7.05E+06,3.48E+07
  455.95,4.12E+07,7.41E+06,3.38E+07
  456,3.98E+07,7.89E+06,3.20E+07
  456.05,3.80E+07,8.48E+06,2.95E+07
  456.1,3.58E+07,9.16E+06,2.66E+07
  456.15,3.33E+07,9.89E+06,2.34E+07
  456.2,3.08E+07,1.06E+07,2.01E+07
  456.25,2.83E+07,1.14E+07,1.69E+07
  456.3,2.59E+07,1.20E+07,1.38E+07
  456.35,2.37E+07,1.26E+07,1.11E+07
  456.4,2.17E+07,1.31E+07,8.63E+06
  456.45,2.00E+07,1.34E+07,6.58E+06
  456.5,1.86E+07,1.37E+07,4.89E+06
  456.55,1.75E+07,1.39E+07,3.55E+06
  456.6,1.66E+07,1.41E+07,2.52E+06
  456.65,1.60E+07,1.42E+07,1.74E+06
  456.7,1.56E+07,1.44E+07,1.18E+06
  456.75,1.54E+07,1.46E+07,7.76E+05
  456.8,1.54E+07,1.49E+07,5.00E+05
  456.85,1.54E+07,1.51E+07,3.14E+05
  456.9,1.55E+07,1.53E+07,1.93E+05
  456.95,1.56E+07,1.55E+07,1.16E+05
  457,1.56E+07,1.55E+07,6.75E+04
  457.05,1.55E+07,1.54E+07,3.86E+04
  457.1,1.52E+07,1.51E+07,2.15E+04
  457.15,1.47E+07,1.46E+07,1.18E+04
  457.2,1.40E+07,1.40E+07,6.35E+03
  457.25,1.31E+07,1.31E+07,3.52E+03
  457.3,1.21E+07,1.21E+07,2.25E+03
  457.35,1.10E+07,1.10E+07,2.07E+03
  457.4,9.86E+06,9.86E+06,2.90E+03
  457.45,8.71E+06,8.71E+06,5.05E+03
  457.5,7.61E+06,7.60E+06,9.31E+03
  457.55,6.59E+06,6.57E+06,1.71E+04
  457.6,5.68E+06,5.65E+06,3.09E+04
  457.65,4.89E+06,4.83E+06,5.44E+04
  457.7,4.23E+06,4.14E+06,9.37E+04
  457.75,3.70E+06,3.55E+06,1.58E+05
  457.8,3.31E+06,3.05E+06,2.59E+05
  457.85,3.05E+06,2.63E+06,4.15E+05
  457.9,2.93E+06,2.28E+06,6.51E+05
  457.95,2.97E+06,1.98E+06,9.96E+05
  458,3.20E+06,1.71E+06,1.49E+06
  458.05,3.64E+06,1.47E+06,2.17E+06
  458.1,4.34E+06,1.25E+06,3.09E+06
  458.15,5.36E+06,1.06E+06,4.30E+06
  458.2,6.72E+06,8.81E+05,5.84E+06
  458.25,8.48E+06,7.29E+05,7.75E+06
  458.3,1.06E+07,6.04E+05,1.00E+07
  458.35,1.32E+07,5.07E+05,1.27E+07
  458.4,1.61E+07,4.42E+05,1.57E+07
  458.45,1.93E+07,4.15E+05,1.89E+07
  458.5,2.27E+07,4.30E+05,2.23E+07
  458.55,2.62E+07,4.94E+05,2.57E+07
  458.6,2.94E+07,6.16E+05,2.88E+07
  458.65,3.24E+07,8.08E+05,3.16E+07
  458.7,3.50E+07,1.08E+06,3.39E+07
  458.75,3.69E+07,1.45E+06,3.54E+07
  458.8,3.81E+07,1.93E+06,3.62E+07
  458.85,3.87E+07,2.54E+06,3.61E+07
  458.9,3.85E+07,3.29E+06,3.52E+07
  458.95,3.77E+07,4.19E+06,3.35E+07
  459,3.64E+07,5.25E+06,3.11E+07
  459.05,3.47E+07,6.46E+06,2.82E+07
  459.1,3.28E+07,7.82E+06,2.50E+07
  459.15,3.09E+07,9.30E+06,2.16E+07
  459.2,2.91E+07,1.09E+07,1.83E+07
  459.25,2.76E+07,1.25E+07,1.51E+07
  459.3,2.63E+07,1.41E+07,1.21E+07
  459.35,2.53E+07,1.57E+07,9.55E+06
  459.4,2.46E+07,1.72E+07,7.34E+06
  459.45,2.42E+07,1.86E+07,5.51E+06
  459.5,2.39E+07,1.99E+07,4.03E+06
  459.55,2.39E+07,2.10E+07,2.89E+06
  459.6,2.39E+07,2.19E+07,2.02E+06
  459.65,2.40E+07,2.26E+07,1.38E+06
  459.7,2.41E+07,2.32E+07,9.16E+05
  459.75,2.42E+07,2.36E+07,5.96E+05
  459.8,2.42E+07,2.38E+07,3.79E+05
  459.85,2.41E+07,2.39E+07,2.35E+05
  459.9,2.39E+07,2.38E+07,1.42E+05
  459.95,2.35E+07,2.34E+07,8.42E+04
  460,2.29E+07,2.29E+07,4.86E+04
  460.05,2.22E+07,2.21E+07,2.74E+04
  460.1,2.12E+07,2.11E+07,1.51E+04
  460.15,2.00E+07,2.00E+07,8.13E+03
  460.2,1.86E+07,1.86E+07,4.27E+03
  460.25,1.71E+07,1.71E+07,2.19E+03
  460.3,1.55E+07,1.54E+07,1.10E+03
  460.35,1.38E+07,1.38E+07,5.37E+02
  460.4,1.22E+07,1.22E+07,2.57E+02
  460.45,1.06E+07,1.06E+07,1.20E+02
  460.5,9.14E+06,9.14E+06,5.46E+01
  460.55,7.84E+06,7.84E+06,2.43E+01
  460.6,6.72E+06,6.72E+06,1.06E+01
  460.65,5.79E+06,5.79E+06,4.48E+00
  460.7,5.07E+06,5.07E+06,1.85E+00
  460.75,4.56E+06,4.56E+06,7.50E-01
  460.8,4.28E+06,4.28E+06,2.96E-01
  460.85,4.24E+06,4.24E+06,1.14E-01
  460.9,4.45E+06,4.45E+06,4.31E-02
  460.95,4.94E+06,4.94E+06,1.59E-02
  461,5.72E+06,5.72E+06,5.69E-03
  461.05,6.79E+06,6.79E+06,2.00E-03
  461.1,8.17E+06,8.17E+06,6.84E-04
  461.15,9.84E+06,9.84E+06,2.29E-04
  461.2,1.18E+07,1.18E+07,7.48E-05
  461.25,1.39E+07,1.39E+07,2.39E-05
  461.3,1.62E+07,1.62E+07,7.44E-06
  461.35,1.86E+07,1.86E+07,2.26E-06
  461.4,2.10E+07,2.10E+07,6.72E-07
  461.45,2.32E+07,2.32E+07,1.95E-07
  461.5,2.53E+07,2.53E+07,5.52E-08
  461.55,2.72E+07,2.72E+07,1.53E-08
  461.6,2.87E+07,2.87E+07,4.13E-09
  461.65,2.98E+07,2.98E+07,
  461.7,3.07E+07,3.07E+07,
  461.75,3.12E+07,3.12E+07,
  461.8,3.14E+07,3.14E+07,
  461.85,3.14E+07,3.14E+07,
  461.9,3.12E+07,3.12E+07,
  461.95,3.08E+07,3.08E+07,
  462,3.03E+07,3.03E+07,
  462.05,2.96E+07,2.96E+07,
  462.1,2.89E+07,2.89E+07,
  462.15,2.80E+07,2.80E+07,
  462.2,2.70E+07,2.70E+07,
  462.25,2.59E+07,2.59E+07,
  462.3,2.46E+07,2.46E+07,
  462.35,2.32E+07,2.32E+07,
  462.4,2.17E+07,2.17E+07,
  462.45,2.00E+07,2.00E+07,
  462.5,1.83E+07,1.83E+07,
  462.55,1.65E+07,1.65E+07,
  462.6,1.47E+07,1.47E+07,
  462.65,1.30E+07,1.30E+07,
  462.7,1.13E+07,1.13E+07,
  462.75,9.67E+06,9.67E+06,
  462.8,8.17E+06,8.17E+06,
  462.85,6.81E+06,6.81E+06,
  462.9,5.60E+06,5.60E+06,
  462.95,4.55E+06,4.55E+06,
  463,3.67E+06,3.67E+06,
  463.05,2.94E+06,2.94E+06,
  463.1,2.38E+06,2.38E+06,
  463.15,1.99E+06,1.99E+06,
  463.2,1.74E+06,1.74E+06,
  463.25,1.65E+06,1.65E+06,
  463.3,1.71E+06,1.71E+06,
