Wavelength (nm),Sum,Cr I (8.9e-02),Cr II (9.1e-01)
  253.03,2.29E+07,2.29E+07,
  253.08,1.33E+07,1.33E+07,
  253.13,7.19E+06,7.19E+06,
  253.18,3.59E+06,3.59E+06,
  253.23,1.67E+06,1.67E+06,
  253.28,7.48E+05,7.48E+05,
  253.33,3.91E+05,3.91E+05,
  253.38,3.62E+05,3.62E+05,
  253.43,5.89E+05,5.89E+05,
  253.48,1.10E+06,1.10E+06,
  253.53,1.98E+06,1.98E+06,
  253.58,3.33E+06,3.33E+06,
  253.63,5.18E+06,5.18E+06,
  253.68,7.47E+06,7.47E+06,
  253.73,9.95E+06,9.95E+06,
  253.78,1.23E+07,1.23E+07,
  253.83,1.40E+07,1.40E+07,
  253.88,1.49E+07,1.49E+07,
  253.93,1.47E+07,1.47E+07,
  253.98,1.36E+07,1.36E+07,
  254.03,1.20E+07,1.20E+07,
  254.08,1.04E+07,1.04E+07,
  254.13,9.56E+06,9.56E+06,
  254.18,9.72E+06,9.72E+06,
  254.23,1.11E+07,1.11E+07,
  254.28,1.34E+07,1.34E+07,
  254.33,1.63E+07,1.63E+07,
  254.38,1.90E+07,1.90E+07,
  254.43,2.11E+07,2.11E+07,
  254.48,2.22E+07,2.22E+07,
  254.53,2.23E+07,2.23E+07,
  254.58,2.20E+07,2.20E+07,
  254.63,2.20E+07,2.20E+07,
  254.68,2.30E+07,2.30E+07,
  254.73,2.55E+07,2.55E+07,
  254.78,2.92E+07,2.92E+07,
  254.83,3.34E+07,3.34E+07,
  254.88,3.69E+07,3.69E+07,
  254.93,3.87E+07,3.87E+07,
  254.98,3.80E+07,3.80E+07,
  255.03,3.47E+07,3.47E+07,
  255.08,2.95E+07,2.95E+07,
  255.13,2.32E+07,2.32E+07,
  255.18,1.69E+07,1.69E+07,
  255.23,1.14E+07,1.14E+07,
  255.28,7.14E+06,7.14E+06,
  255.33,4.15E+06,4.15E+06,
  255.38,2.26E+06,2.26E+06,
  255.43,1.21E+06,1.21E+06,
  255.48,7.88E+05,7.88E+05,
  255.53,8.81E+05,8.81E+05,
  255.58,1.55E+06,1.55E+06,
  255.63,3.00E+06,3.00E+06,
  255.68,5.60E+06,5.60E+06,
  255.73,9.76E+06,9.76E+06,
  255.78,1.58E+07,1.58E+07,
  255.83,2.36E+07,2.36E+07,
  255.88,3.28E+07,3.28E+07,
  255.93,4.22E+07,4.22E+07,
  255.98,5.03E+07,5.03E+07,
  256.03,5.55E+07,5.55E+07,
  256.08,5.68E+07,5.68E+07,
  256.13,5.38E+07,5.38E+07,
  256.18,4.73E+07,4.73E+07,
  256.23,3.85E+07,3.85E+07,
  256.28,2.90E+07,2.90E+07,
  256.33,2.03E+07,2.03E+07,
  256.38,1.31E+07,1.31E+07,
  256.43,7.90E+06,7.90E+06,
  256.48,4.44E+06,4.44E+06,
  256.53,2.43E+06,2.43E+06,
  256.58,1.51E+06,1.51E+06,
  256.63,1.50E+06,1.50E+06,
  256.68,2.42E+06,2.42E+06,
  256.73,4.57E+06,4.57E+06,
  256.78,8.44E+06,8.44E+06,
  256.83,1.46E+07,1.46E+07,
  256.88,2.35E+07,2.35E+07,
  256.93,3.51E+07,3.51E+07,
  256.98,4.86E+07,4.86E+07,
  257.03,6.24E+07,6.24E+07,
  257.08,7.43E+07,7.43E+07,
  257.13,8.20E+07,8.20E+07,
  257.18,8.40E+07,8.40E+07,
  257.23,8.01E+07,8.01E+07,
  257.28,7.12E+07,7.12E+07,
  257.33,5.97E+07,5.97E+07,
  257.38,4.82E+07,4.82E+07,
  257.43,3.92E+07,3.92E+07,
  257.48,3.43E+07,3.43E+07,
  257.53,3.42E+07,3.42E+07,
  257.58,3.82E+07,3.82E+07,
  257.63,4.51E+07,4.51E+07,
  257.68,5.30E+07,5.30E+07,
  257.73,5.99E+07,5.99E+07,
  257.78,6.39E+07,6.39E+07,
  257.83,6.42E+07,6.42E+07,
