Wavelength (nm),Sum,Pb I (1.4e-01),Pb II (8.6e-01)
402.98,6.755e+4,6.755e+4,
403.03,3.538e+4,3.538e+4,
403.08,1.796e+4,1.796e+4,
403.13,8.844e+3,8.844e+3,
403.18,4.221e+3,4.221e+3,
403.23,1.953e+3,1.953e+3,
403.28,8.764e+2,8.764e+2,
403.33,3.812e+2,3.812e+2,
403.38,1.608e+2,1.608e+2,
403.43,6.574e+1,6.574e+1,
403.48,2.606e+1,2.606e+1,
403.53,1.002e+1,1.002e+1,
403.58,3.733e+0,3.733e+0,
403.63,1.350e+0,1.350e+0,
403.68,4.776e-1,4.776e-1,
403.73,1.789e-1,1.789e-1,
403.78,1.161e-1,1.161e-1,
403.83,2.268e-1,2.268e-1,
403.88,6.810e-1,6.810e-1,
403.93,2.112e+0,2.112e+0,
403.98,6.394e+0,6.394e+0,
404.03,1.879e+1,1.879e+1,
404.08,5.356e+1,5.356e+1,
404.13,1.481e+2,1.481e+2,
404.18,3.974e+2,3.974e+2,
404.23,1.034e+3,1.034e+3,
404.28,2.612e+3,2.612e+3,
404.33,6.397e+3,6.397e+3,
404.38,1.520e+4,1.520e+4,
404.43,3.503e+4,3.503e+4,
404.48,7.833e+4,7.833e+4,
404.53,1.699e+5,1.699e+5,
404.58,3.576e+5,3.576e+5,
404.63,7.300e+5,7.300e+5,
404.68,1.446e+6,1.446e+6,
404.73,2.777e+6,2.777e+6,
404.78,5.176e+6,5.176e+6,
404.83,9.359e+6,9.359e+6,
404.88,1.642e+7,1.642e+7,
404.93,2.793e+7,2.793e+7,
404.98,4.611e+7,4.611e+7,
405.03,7.385e+7,7.385e+7,
405.08,1.148e+8,1.148e+8,
405.13,1.730e+8,1.730e+8,
405.18,2.531e+8,2.531e+8,
405.23,3.591e+8,3.591e+8,
405.28,4.946e+8,4.946e+8,
405.33,6.610e+8,6.610e+8,
405.38,8.574e+8,8.574e+8,
405.43,1.079e+9,1.079e+9,
405.48,1.319e+9,1.319e+9,
405.53,1.566e+9,1.566e+9,
405.58,1.805e+9,1.805e+9,
405.63,2.022e+9,2.022e+9,
405.68,2.202e+9,2.202e+9,
405.73,2.332e+9,2.332e+9,
405.78,2.404e+9,2.404e+9,
405.83,2.414e+9,2.414e+9,
405.88,2.364e+9,2.364e+9,
405.93,2.260e+9,2.260e+9,
405.98,2.113e+9,2.113e+9,
406.03,1.934e+9,1.934e+9,
406.08,1.737e+9,1.737e+9,
406.13,1.533e+9,1.533e+9,
406.18,1.331e+9,1.331e+9,
406.23,1.140e+9,1.140e+9,
406.28,9.620e+8,9.620e+8,
406.33,8.014e+8,8.014e+8,
406.38,6.586e+8,6.586e+8,
406.43,5.337e+8,5.337e+8,
406.48,4.258e+8,4.258e+8,
406.53,3.340e+8,3.340e+8,
406.58,2.573e+8,2.573e+8,
406.63,1.941e+8,1.941e+8,
406.68,1.433e+8,1.433e+8,
406.73,1.034e+8,1.034e+8,
406.78,7.276e+7,7.276e+7,
406.83,4.990e+7,4.990e+7,
406.88,3.332e+7,3.332e+7,
406.93,2.165e+7,2.165e+7,
406.98,1.368e+7,1.368e+7,
407.03,8.397e+6,8.397e+6,
407.08,5.009e+6,5.009e+6,
407.13,2.901e+6,2.901e+6,
407.18,1.632e+6,1.632e+6,
407.23,8.909e+5,8.909e+5,
407.28,4.722e+5,4.722e+5,
407.33,2.428e+5,2.428e+5,
407.38,1.212e+5,1.212e+5,
407.43,5.871e+4,5.871e+4,
407.48,2.759e+4,2.759e+4,
407.53,1.258e+4,1.258e+4,
407.58,5.567e+3,5.567e+3,
407.63,2.390e+3,2.390e+3,
407.68,9.952e+2,9.952e+2,
407.73,4.021e+2,4.021e+2,
407.78,1.577e+2,1.577e+2,
407.83,5.996e+1,5.996e+1,
407.88,2.212e+1,2.212e+1,
407.93,7.920e+0,7.920e+0,
407.98,2.751e+0,2.751e+0,
408.03,9.268e-1,9.268e-1,
408.08,3.030e-1,3.030e-1,
408.13,9.608e-2,9.608e-2,
408.18,2.956e-2,2.956e-2,
408.23,8.824e-3,8.824e-3,
408.28,2.555e-3,2.555e-3,
408.33,7.178e-4,7.178e-4,
408.38,1.956e-4,1.956e-4,
408.43,5.173e-5,5.173e-5,
408.48,1.327e-5,1.327e-5,
408.53,3.303e-6,3.303e-6,
408.58,7.974e-7,7.974e-7,
408.63,1.868e-7,1.868e-7,
408.68,4.244e-8,4.244e-8,
497.51,7.011e-9,7.011e-9,
497.56,2.326e-8,2.326e-8,
497.61,7.566e-8,7.566e-8,
497.66,2.412e-7,2.412e-7,
497.71,7.539e-7,7.539e-7,
497.76,2.310e-6,2.310e-6,
497.81,6.936e-6,6.936e-6,
497.86,2.042e-5,2.042e-5,
497.91,5.891e-5,5.891e-5,
497.96,1.666e-4,1.666e-4,
498.01,4.620e-4,4.620e-4,
498.06,1.256e-3,1.256e-3,
498.11,3.345e-3,3.345e-3,
498.16,8.736e-3,8.736e-3,
498.21,2.236e-2,2.236e-2,
498.26,5.612e-2,5.612e-2,
498.31,1.380e-1,1.380e-1,
498.36,3.328e-1,3.328e-1,
498.41,7.866e-1,7.866e-1,
498.46,1.822e+0,1.822e+0,
498.51,4.139e+0,4.139e+0,
498.56,9.213e+0,9.213e+0,
498.61,2.010e+1,2.010e+1,
498.66,4.300e+1,4.300e+1,
498.71,9.017e+1,9.017e+1,
498.76,1.853e+2,1.853e+2,
498.81,3.734e+2,3.734e+2,
498.86,7.374e+2,7.374e+2,
498.91,1.428e+3,1.428e+3,
498.96,2.709e+3,2.709e+3,
499.01,5.039e+3,5.039e+3,
499.06,9.188e+3,9.188e+3,
499.11,1.642e+4,1.642e+4,
499.16,2.877e+4,2.877e+4,
499.21,4.942e+4,4.942e+4,
499.26,8.319e+4,8.319e+4,
499.31,1.373e+5,1.373e+5,
499.36,2.221e+5,2.221e+5,
499.41,3.521e+5,3.521e+5,
499.46,5.473e+5,5.473e+5,
499.51,8.339e+5,8.339e+5,
499.56,1.245e+6,1.245e+6,
499.61,1.823e+6,1.823e+6,
499.66,2.617e+6,2.617e+6,
499.71,3.681e+6,3.681e+6,
499.76,5.076e+6,5.076e+6,
499.81,6.861e+6,6.861e+6,
499.86,9.090e+6,9.090e+6,
499.91,1.181e+7,1.181e+7,
499.96,1.503e+7,1.503e+7,
500.01,1.876e+7,1.876e+7,
500.06,2.295e+7,2.295e+7,
500.11,2.752e+7,2.752e+7,
500.16,3.235e+7,3.235e+7,
500.21,3.727e+7,3.727e+7,
500.26,4.209e+7,4.209e+7,
500.31,4.660e+7,4.660e+7,
500.36,5.058e+7,5.058e+7,
500.41,5.380e+7,5.380e+7,
500.46,5.611e+7,5.611e+7,
500.51,5.735e+7,5.735e+7,
500.56,5.747e+7,5.747e+7,
500.61,5.644e+7,5.644e+7,
500.66,5.434e+7,5.434e+7,
500.71,5.129e+7,5.129e+7,
500.76,4.745e+7,4.745e+7,
500.81,4.303e+7,4.303e+7,
500.86,3.825e+7,3.825e+7,
500.91,3.333e+7,3.333e+7,
500.96,2.847e+7,2.847e+7,
501.01,2.383e+7,2.383e+7,
501.06,1.956e+7,1.956e+7,
