Wavelength (nm),Sum,Cu I (2.9e-01),Cu II (7.1e-01)
214.22,5.408e+1,,5.408e+1
214.27,2.394e+1,,2.394e+1
214.32,3.641e+1,,3.641e+1
214.37,9.667e+1,,9.667e+1
214.42,2.635e+2,,2.635e+2
214.47,6.742e+2,,6.742e+2
214.52,1.583e+3,,1.583e+3
214.57,3.372e+3,,3.372e+3
214.62,6.486e+3,,6.486e+3
214.67,1.123e+4,,1.123e+4
214.72,1.747e+4,,1.747e+4
214.77,2.441e+4,,2.441e+4
214.82,3.063e+4,,3.063e+4
214.87,3.449e+4,,3.449e+4
214.92,3.487e+4,,3.487e+4
214.97,3.165e+4,,3.165e+4
215.02,2.579e+4,,2.579e+4
215.07,1.887e+4,,1.887e+4
215.12,1.242e+4,,1.242e+4
215.17,7.351e+3,,7.351e+3
215.22,3.927e+3,1.955e-11,3.927e+3
215.27,1.900e+3,2.904e-10,1.900e+3
215.32,8.386e+2,3.879e-9,8.386e+2
215.37,3.416e+2,4.656e-8,3.416e+2
215.42,1.306e+2,5.024e-7,1.306e+2
215.47,4.781e+1,4.872e-6,4.781e+1
215.52,1.711e+1,4.247e-5,1.711e+1
215.57,6.117e+0,3.328e-4,6.116e+0
215.62,2.440e+0,2.344e-3,2.438e+0
215.67,1.775e+0,1.483e-2,1.760e+0
215.72,3.048e+0,8.440e-2,2.964e+0
215.77,6.774e+0,4.316e-1,6.342e+0
215.82,1.487e+1,1.984e+0,1.289e+1
215.87,3.189e+1,8.196e+0,2.370e+1
215.92,6.962e+1,3.044e+1,3.918e+1
215.97,1.598e+2,1.016e+2,5.822e+1
216.02,3.825e+2,3.048e+2,7.773e+1
216.07,9.151e+2,8.219e+2,9.325e+1
216.12,2.092e+3,1.992e+3,1.005e+2
216.17,4.437e+3,4.340e+3,9.732e+1
216.22,8.582e+3,8.497e+3,8.468e+1
216.27,1.502e+4,1.496e+4,6.620e+1
216.32,2.370e+4,2.366e+4,4.650e+1
216.37,3.367e+4,3.364e+4,2.935e+1
216.42,4.301e+4,4.299e+4,1.664e+1
216.47,4.940e+4,4.939e+4,8.479e+0
