Wavelength (nm),Sum,Zn I (3.9e-01),Zn II (6.1e-01)
635.11,6.342e+6,6.342e+6,
635.16,8.312e+6,8.312e+6,
635.21,1.076e+7,1.076e+7,
635.26,1.376e+7,1.376e+7,
635.31,1.738e+7,1.738e+7,
635.36,2.168e+7,2.168e+7,
635.41,2.671e+7,2.671e+7,
635.46,3.250e+7,3.250e+7,
635.51,3.907e+7,3.907e+7,
635.56,4.639e+7,4.639e+7,
635.61,5.440e+7,5.440e+7,
635.66,6.302e+7,6.302e+7,
635.71,7.210e+7,7.210e+7,
635.76,8.148e+7,8.148e+7,
635.81,9.095e+7,9.095e+7,
635.86,1.003e+8,1.003e+8,
635.91,1.092e+8,1.092e+8,
635.96,1.174e+8,1.174e+8,
636.01,1.248e+8,1.248e+8,
636.06,1.309e+8,1.309e+8,
636.11,1.357e+8,1.357e+8,
636.16,1.389e+8,1.389e+8,
636.21,1.405e+8,1.405e+8,
636.26,1.403e+8,1.403e+8,
636.31,1.384e+8,1.384e+8,
636.36,1.349e+8,1.349e+8,
636.41,1.298e+8,1.298e+8,
636.46,1.234e+8,1.234e+8,
636.51,1.159e+8,1.159e+8,
636.56,1.075e+8,1.075e+8,
636.61,9.843e+7,9.843e+7,
636.66,8.906e+7,8.906e+7,
636.71,7.959e+7,7.959e+7,
636.76,7.026e+7,7.026e+7,
636.81,6.125e+7,6.125e+7,
636.86,5.275e+7,5.275e+7,
636.91,4.487e+7,4.487e+7,
636.96,3.770e+7,3.770e+7,
637.01,3.128e+7,3.128e+7,
637.06,2.564e+7,2.564e+7,
637.11,2.076e+7,2.076e+7,
637.16,1.660e+7,1.660e+7,
637.21,1.311e+7,1.311e+7,
637.26,1.023e+7,1.023e+7,
637.31,7.882e+6,7.882e+6,
637.36,5.999e+6,5.999e+6,
637.41,4.510e+6,4.510e+6,
637.46,3.349e+6,3.349e+6,
637.51,2.456e+6,2.456e+6,
637.56,1.779e+6,1.779e+6,
637.61,1.273e+6,1.273e+6,
637.66,8.998e+5,8.998e+5,
637.71,6.281e+5,6.281e+5,
637.76,4.331e+5,4.331e+5,
637.81,2.949e+5,2.949e+5,
637.86,1.984e+5,1.984e+5,
637.91,1.318e+5,1.318e+5,
637.96,8.650e+4,8.650e+4,
638.01,5.607e+4,5.607e+4,
638.06,3.590e+4,3.590e+4,
638.11,2.270e+4,2.270e+4,
638.16,1.418e+4,1.418e+4,
638.21,8.749e+3,8.749e+3,
638.26,5.331e+3,5.331e+3,
638.31,3.209e+3,3.209e+3,
638.36,1.908e+3,1.908e+3,
638.41,1.120e+3,1.120e+3,
638.46,6.497e+2,6.497e+2,
638.51,3.722e+2,3.722e+2,
638.56,2.106e+2,2.106e+2,
638.61,1.177e+2,1.177e+2,
638.66,6.499e+1,6.499e+1,
638.71,3.543e+1,3.543e+1,
638.76,1.908e+1,1.908e+1,
638.81,1.015e+1,1.015e+1,
638.86,5.334e+0,5.334e+0,
638.91,2.768e+0,2.768e+0,
638.96,1.419e+0,1.419e+0,
639.01,7.185e-1,7.185e-1,
639.06,3.593e-1,3.593e-1,
639.11,1.775e-1,1.775e-1,
639.16,8.660e-2,8.660e-2,
639.21,4.173e-2,4.173e-2,
639.26,1.986e-2,1.986e-2,
639.31,9.339e-3,9.339e-3,
639.36,4.337e-3,4.337e-3,
639.41,1.989e-3,1.989e-3,
639.46,9.012e-4,9.012e-4,
639.51,4.033e-4,4.033e-4,
639.56,1.782e-4,1.782e-4,
639.61,7.782e-5,7.782e-5,
639.66,3.356e-5,3.356e-5,
639.71,1.429e-5,1.429e-5,
639.76,6.012e-6,6.012e-6,
639.81,2.498e-6,2.498e-6,
639.86,1.025e-6,1.025e-6,
639.91,4.156e-7,4.156e-7,
639.96,1.664e-7,1.664e-7,
640.01,6.582e-8,6.582e-8,
640.06,2.571e-8,2.571e-8,
754.29,5.807e-11,,5.807e-11
754.34,1.276e-10,,1.276e-10
754.39,2.781e-10,,2.781e-10
754.44,6.007e-10,,6.007e-10
754.49,1.286e-9,,1.286e-9
754.54,2.731e-9,,2.731e-9
754.59,5.747e-9,,5.747e-9
754.64,1.199e-8,,1.199e-8
754.69,2.480e-8,,2.480e-8
754.74,5.085e-8,,5.085e-8
754.79,1.034e-7,,1.034e-7
754.84,2.083e-7,,2.083e-7
754.89,4.162e-7,,4.162e-7
754.94,8.242e-7,,8.242e-7
754.99,1.618e-6,,1.618e-6
755.04,3.150e-6,,3.150e-6
755.09,6.077e-6,,6.077e-6
755.14,1.163e-5,,1.163e-5
755.19,2.204e-5,,2.204e-5
755.24,4.144e-5,,4.144e-5
755.29,7.724e-5,,7.724e-5
755.34,1.427e-4,,1.427e-4
755.39,2.614e-4,,2.614e-4
755.44,4.746e-4,,4.746e-4
755.49,8.543e-4,,8.543e-4
755.54,1.524e-3,,1.524e-3
755.59,2.697e-3,,2.697e-3
755.64,4.730e-3,,4.730e-3
755.69,8.223e-3,,8.223e-3
755.74,1.417e-2,,1.417e-2
755.79,2.422e-2,,2.422e-2
755.84,4.102e-2,,4.102e-2
755.89,6.889e-2,,6.889e-2
755.94,1.147e-1,,1.147e-1
755.99,1.893e-1,,1.893e-1
756.04,3.097e-1,,3.097e-1
756.09,5.023e-1,,5.023e-1
756.14,8.076e-1,,8.076e-1
756.19,1.287e+0,,1.287e+0
756.24,2.034e+0,,2.034e+0
756.29,3.187e+0,,3.187e+0
756.34,4.949e+0,,4.949e+0
756.39,7.620e+0,,7.620e+0
756.45,1.264e+1,,1.264e+1
756.5,1.910e+1,,1.910e+1
756.55,2.860e+1,,2.860e+1
756.6,4.245e+1,,4.245e+1
756.65,6.248e+1,,6.248e+1
756.7,9.115e+1,,9.115e+1
756.75,1.318e+2,,1.318e+2
756.8,1.890e+2,,1.890e+2
756.85,2.687e+2,,2.687e+2
756.9,3.786e+2,,3.786e+2
756.95,5.289e+2,,5.289e+2
757,7.324e+2,,7.324e+2
757.05,1.006e+3,,1.006e+3
757.1,1.369e+3,,1.369e+3
757.15,1.847e+3,,1.847e+3
757.2,2.470e+3,,2.470e+3
757.25,3.275e+3,,3.275e+3
757.3,4.306e+3,,4.306e+3
757.35,5.611e+3,,5.611e+3
757.4,7.249e+3,,7.249e+3
757.45,9.284e+3,,9.284e+3
757.5,1.179e+4,,1.179e+4
757.55,1.484e+4,,1.484e+4
757.6,1.852e+4,,1.852e+4
757.65,2.290e+4,,2.290e+4
757.7,2.809e+4,,2.809e+4
757.75,3.415e+4,,3.415e+4
757.8,4.116e+4,,4.116e+4
757.85,4.918e+4,,4.918e+4
757.9,5.825e+4,,5.825e+4
757.95,6.840e+4,,6.840e+4
758,7.962e+4,,7.962e+4
758.05,9.189e+4,,9.189e+4
758.1,1.051e+5,,1.051e+5
758.15,1.192e+5,,1.192e+5
758.2,1.341e+5,,1.341e+5
758.25,1.494e+5,,1.494e+5
758.3,1.651e+5,,1.651e+5
758.35,1.809e+5,,1.809e+5
758.4,1.964e+5,,1.964e+5
758.45,2.115e+5,,2.115e+5
758.5,2.257e+5,,2.257e+5
758.55,2.388e+5,,2.388e+5
758.6,2.505e+5,,2.505e+5
758.65,2.605e+5,,2.605e+5
758.7,2.685e+5,,2.685e+5
758.75,2.744e+5,,2.744e+5
758.8,2.780e+5,,2.780e+5
758.85,2.792e+5,,2.792e+5
758.9,2.780e+5,,2.780e+5
758.95,2.744e+5,,2.744e+5
759,2.685e+5,,2.685e+5
759.05,2.605e+5,,2.605e+5
759.1,2.505e+5,,2.505e+5
759.15,2.388e+5,,2.388e+5
