Wavelength (nm),Sum(calc),Cr I (1.8e-2),Cr II (1.8e-1),Fe I (7.5e-2),Fe II (4.1e-1),Fe III (5.6e-5),Ni I (6.1e-2),Ni II (1.9e-1),Ni III (6.3e-6),Cu I (4.4e-3),Cu II (1.1e-2),Mo I (4.3e-3)
202.14,4.101e+2,,,,4.100e+2,5.919e-6,1.053e-4,,,7.509e-2,2.318e-5,
202.16,3.114e+2,,,,3.112e+2,8.137e-6,4.821e-4,,,2.241e-1,1.103e-4,
202.19,1.789e+2,,,,1.779e+2,1.258e-5,4.079e-3,,,9.976e-1,9.892e-4,
202.21,1.136e+2,,,,1.111e+2,1.651e-5,1.537e-2,,,2.449e+0,3.874e-3,
202.24,5.565e+1,,,,4.739e+1,2.399e-5,9.705e-2,,,8.135e+0,2.593e-2,
202.26,4.116e+1,,,,2.434e+1,2.968e-5,3.008e-1,,,1.643e+1,8.354e-2,
202.29,5.030e+1,,,,7.738e+0,3.757e-5,1.419e+0,,,4.072e+1,4.174e-1,
202.31,7.565e+1,,,,3.268e+0,4.103e-5,3.621e+0,,,6.765e+1,1.107e+0,
202.34,1.428e+2,,,,7.743e-1,4.183e-5,1.276e+1,,,1.251e+2,4.127e+0,
202.36,2.071e+2,,,,2.688e-1,3.962e-5,2.685e+1,,,1.710e+2,9.003e+0,
202.38,2.867e+2,,,,8.629e-2,3.645e-5,5.230e+1,,,2.161e+2,1.817e+1,
202.41,4.338e+2,,,,1.355e-2,3.401e-5,1.234e+2,,,2.653e+2,4.498e+1,
202.43,5.501e+2,,,,3.575e-3,3.699e-5,1.995e+2,,,2.759e+2,7.469e+1,
202.46,7.500e+2,,,,4.185e-4,5.232e-5,3.593e+2,,,2.527e+2,1.380e+2,
202.48,8.945e+2,,,,9.078e-5,7.024e-5,4.898e+2,,,2.161e+2,1.886e+2,
202.51,1.108e+3,,,,7.920e-6,1.050e-4,7.002e+2,,,1.477e+2,2.602e+2,
202.53,1.234e+3,,,,1.412e-6,1.286e-4,8.373e+2,,,1.039e+2,2.925e+2,
202.56,1.380e+3,,,,9.184e-8,1.544e-4,1.026e+3,,,5.300e+1,3.012e+2,
202.58,1.445e+3,,,,1.347e-8,1.601e-4,1.136e+3,,,3.068e+1,2.787e+2,
202.61,1.490e+3,,,,6.526e-10,1.483e-4,1.264e+3,,,1.167e+1,2.143e+2,
