Wavelength (nm),Sum(calc),Fe I (1.5e-1),Fe II (8.0e-1),Fe III (1.1e-4),Ni I (1.2e-2),Ni II (3.8e-2),Ni III (1.3e-6)
204.48,3.183e-1,,2.599e-4,7.398e-4,3.173e-1,,
204.51,1.219e+0,,2.244e-5,6.876e-4,1.218e+0,,
204.53,2.717e+0,,3.983e-6,6.183e-4,2.716e+0,,
204.56,7.834e+0,,2.593e-7,4.845e-4,7.834e+0,,
204.58,1.443e+1,,4.898e-8,3.898e-4,1.443e+1,,
204.6,2.462e+1,,8.315e-8,3.005e-4,2.462e+1,,
204.63,4.756e+1,,1.242e-6,1.885e-4,4.756e+1,,
204.65,6.706e+1,,7.141e-6,1.317e-4,6.706e+1,,
204.68,9.730e+1,,8.542e-5,7.266e-5,9.730e+1,,
204.7,1.133e+2,,4.063e-4,4.802e-5,1.133e+2,,
204.73,1.235e+2,,3.654e-3,2.795e-5,1.235e+2,,
204.75,1.189e+2,,1.437e-2,2.380e-5,1.189e+2,,
204.78,9.740e+1,,9.714e-2,3.095e-5,9.730e+1,,
204.8,7.770e+1,,3.158e-1,4.596e-5,7.738e+1,,
204.83,4.917e+1,,1.605e+0,8.625e-5,4.756e+1,,
204.85,3.557e+1,,4.316e+0,1.242e-4,3.126e+1,,
204.88,3.093e+1,,1.649e+1,1.891e-4,1.443e+1,,
204.9,4.451e+1,,3.666e+1,2.284e-4,7.848e+0,,
204.93,1.081e+2,,1.053e+2,2.633e-4,2.789e+0,,
204.95,1.950e+2,,1.936e+2,2.632e-4,1.422e+0,,
204.97,3.307e+2,,3.297e+2,2.439e-4,1.033e+0,,
205,6.374e+2,,6.354e+2,1.886e-4,2.015e+0,,
205.02,8.989e+2,,8.948e+2,1.444e-4,4.097e+0,,
205.05,1.308e+3,,1.297e+3,8.393e-5,1.100e+1,,
205.07,1.529e+3,,1.510e+3,5.314e-5,1.945e+1,,
205.1,1.684e+3,,1.644e+3,2.320e-5,3.965e+1,,
205.12,1.641e+3,,1.583e+3,1.214e-5,5.797e+1,,
205.15,1.385e+3,,1.297e+3,3.988e-6,8.889e+1,,
205.17,1.139e+3,,1.032e+3,1.733e-6,1.075e+2,,
205.2,7.594e+2,,6.355e+2,4.679e-7,1.239e+2,,
205.22,5.422e+2,,4.183e+2,2.587e-7,1.239e+2,,
205.25,3.016e+2,,1.941e+2,3.935e-7,1.075e+2,,
205.27,1.956e+2,,1.066e+2,7.668e-7,8.895e+1,,
205.3,1.002e+2,,4.190e+1,2.002e-6,5.825e+1,,
205.32,6.890e+1,,2.855e+1,3.547e-6,4.034e+1,,
205.35,6.264e+1,,4.083e+1,7.714e-6,2.180e+1,,
205.37,8.697e+1,,7.113e+1,1.258e-5,1.584e+1,,
205.39,1.383e+2,,1.233e+2,2.053e-5,1.499e+1,,
205.42,2.727e+2,,2.498e+2,4.384e-5,2.292e+1,,
205.44,3.986e+2,,3.646e+2,7.350e-5,3.394e+1,,
205.47,6.154e+2,,5.584e+2,1.556e-4,5.701e+1,,
205.49,7.489e+2,,6.748e+2,2.456e-4,7.412e+1,,
205.52,8.734e+2,,7.778e+2,4.428e-4,9.563e+1,,
205.54,8.809e+2,,7.778e+2,6.096e-4,1.031e+2,,
205.57,7.750e+2,,6.748e+2,8.770e-4,1.003e+2,,
205.59,6.478e+2,,5.583e+2,1.036e-3,8.949e+1,,
205.62,4.301e+2,,3.646e+2,1.195e-3,6.547e+1,,
205.64,2.980e+2,,2.497e+2,1.232e-3,4.836e+1,,
205.67,1.494e+2,,1.227e+2,1.191e-3,2.665e+1,,
205.69,8.584e+1,,6.953e+1,1.120e-3,1.631e+1,,
205.72,3.263e+1,,2.572e+1,9.981e-4,6.905e+0,,
205.74,1.589e+1,,1.206e+1,9.365e-4,3.827e+0,,
205.76,7.864e+0,,5.241e+0,9.085e-4,2.621e+0,,
205.79,5.193e+0,,1.303e+0,9.418e-4,3.890e+0,,
205.81,7.692e+0,,4.685e-1,1.007e-3,7.223e+0,,
205.84,1.805e+1,,8.767e-2,1.135e-3,1.796e+1,,
205.86,3.043e+1,,2.609e-2,1.221e-3,3.040e+1,,
205.89,5.825e+1,,3.674e-3,1.358e-3,5.824e+1,,
205.91,8.178e+1,,9.069e-4,1.506e-3,8.178e+1,,
205.94,1.181e+2,,1.230e-4,2.075e-3,1.181e+2,,
205.96,1.373e+2,,1.509e-4,3.016e-3,1.373e+2,,
205.99,1.495e+2,,1.219e-3,6.276e-3,1.495e+2,,
206.01,1.440e+2,,4.887e-3,1.051e-2,1.440e+2,,
206.04,1.182e+2,,3.415e-2,2.138e-2,1.181e+2,,
206.06,9.434e+1,,1.136e-1,3.193e-2,9.420e+1,,
206.09,5.889e+1,,5.990e-1,5.124e-2,5.824e+1,,
206.11,4.018e+1,,1.652e+0,6.414e-2,3.847e+1,,
206.13,2.786e+1,,4.226e+0,7.456e-2,2.356e+1,,
206.16,2.490e+1,,1.502e+1,8.122e-2,9.805e+0,,
206.18,3.689e+1,,3.184e+1,7.830e-2,4.974e+0,,
206.21,8.698e+1,,8.535e+1,6.438e-2,1.560e+0,,
206.23,1.507e+2,,1.500e+2,5.143e-2,6.554e-1,,
206.26,3.035e+2,,3.033e+2,3.190e-2,1.549e-1,,
206.28,4.417e+2,,4.416e+2,2.112e-2,5.390e-2,,
206.31,6.741e+2,,6.741e+2,9.882e-3,9.602e-3,,
206.33,8.136e+2,,8.136e+2,5.423e-3,2.767e-3,,
206.36,9.379e+2,,9.379e+2,1.915e-3,3.715e-4,,
206.38,9.402e+2,,9.402e+2,8.719e-4,8.864e-5,,
206.41,8.258e+2,,8.258e+2,2.347e-4,8.969e-6,,
206.43,6.987e+2,,6.987e+2,9.160e-5,1.773e-6,,
206.46,5.008e+2,,5.008e+2,2.458e-5,1.352e-7,,
206.48,3.997e+2,,3.997e+2,1.527e-5,2.212e-8,,
206.5,3.390e+2,,3.390e+2,1.651e-5,3.358e-9,,
206.53,3.213e+2,,3.213e+2,4.096e-5,1.724e-10,,
206.55,3.421e+2,,3.421e+2,9.820e-5,2.166e-11,,
206.58,3.842e+2,,3.842e+2,3.902e-4,8.381e-13,,
206.6,4.021e+2,,4.021e+2,9.354e-4,8.724e-14,,
206.63,4.074e+2,,4.074e+2,3.080e-3,2.544e-15,,
206.65,4.073e+2,,4.073e+2,6.239e-3,2.193e-16,,
206.68,4.317e+2,,4.317e+2,1.568e-2,4.819e-18,,
206.7,4.766e+2,,4.766e+2,2.644e-2,3.440e-19,,
206.73,5.807e+2,,5.806e+2,5.032e-2,4.002e-19,,
206.75,6.535e+2,,6.534e+2,7.042e-2,4.376e-19,,
206.78,7.183e+2,,7.182e+2,1.014e-1,4.938e-19,,
206.8,7.099e+2,,7.098e+2,1.177e-1,5.313e-19,,
206.83,6.147e+2,,6.146e+2,1.280e-1,5.874e-19,,
206.85,5.130e+2,,5.129e+2,1.233e-1,6.249e-19,,
206.87,4.024e+2,,4.022e+2,1.102e-1,6.623e-19,,
206.9,2.582e+2,,2.581e+2,8.097e-2,7.185e-19,,
206.92,1.927e+2,,1.926e+2,6.007e-2,7.559e-19,,
206.95,1.446e+2,,1.446e+2,3.343e-2,8.121e-19,,
206.97,1.382e+2,,1.382e+2,2.068e-2,8.495e-19,,
207,1.453e+2,,1.452e+2,8.898e-3,9.057e-19,,
207.02,1.492e+2,,1.492e+2,4.758e-3,9.431e-19,,
207.05,1.415e+2,,1.415e+2,1.823e-3,9.993e-19,,
207.07,1.258e+2,,1.258e+2,1.023e-3,1.037e-18,,
207.1,9.221e+1,,9.221e+1,5.187e-4,1.093e-18,,
207.12,6.837e+1,,6.837e+1,3.629e-4,1.130e-18,,
207.15,3.797e+1,,3.797e+1,2.148e-4,1.187e-18,,
207.17,2.337e+1,,2.337e+1,1.443e-4,1.224e-18,,
207.2,9.811e+0,,9.811e+0,7.085e-5,1.280e-18,,
207.22,5.011e+0,,5.011e+0,4.057e-5,1.318e-18,,
