Wavelength (nm),Sum(calc),Fe I (1.5e-1),Fe II (8.0e-1),Fe III (1.1e-4),Ni I (1.2e-2),Ni II (3.8e-2),Ni III (1.3e-6)
573.64,1.138e-5,9.225e-16,1.138e-5,6.396e-10,1.217e-15,,1.669e-26
573.67,5.493e-6,9.229e-16,5.492e-6,5.374e-10,1.217e-15,,1.668e-26
573.69,3.339e-6,9.232e-16,3.339e-6,4.739e-10,1.218e-15,,1.667e-26
573.72,1.554e-6,9.236e-16,1.554e-6,3.870e-10,1.218e-15,,1.667e-26
573.74,9.224e-7,9.239e-16,9.220e-7,3.355e-10,1.218e-15,,1.666e-26
573.77,4.140e-7,9.243e-16,4.137e-7,2.684e-10,1.218e-15,,1.665e-26
573.79,2.398e-7,9.246e-16,2.395e-7,2.306e-10,1.218e-15,,1.665e-26
573.82,1.038e-7,9.250e-16,1.036e-7,1.847e-10,1.218e-15,,1.664e-26
573.84,5.871e-8,9.253e-16,5.855e-8,1.612e-10,1.218e-15,,1.663e-26
573.87,2.456e-8,9.257e-16,2.442e-8,1.365e-10,1.219e-15,,1.663e-26
573.89,1.359e-8,9.260e-16,1.347e-8,1.272e-10,1.219e-15,,1.662e-26
573.91,7.477e-9,9.262e-16,7.353e-9,1.235e-10,1.219e-15,,1.662e-26
573.94,3.042e-9,9.267e-16,2.913e-9,1.287e-10,1.219e-15,,1.661e-26
573.96,1.692e-9,9.269e-16,1.553e-9,1.395e-10,1.219e-15,,1.660e-26
573.99,7.602e-10,9.273e-16,5.931e-10,1.672e-10,1.219e-15,,1.659e-26
574.01,5.018e-10,9.276e-16,3.084e-10,1.934e-10,1.219e-15,,1.659e-26
574.04,3.584e-10,9.280e-16,1.136e-10,2.448e-10,1.219e-15,,1.658e-26
574.06,3.449e-10,9.283e-16,5.765e-11,2.872e-10,1.220e-15,,1.658e-26
574.09,3.834e-10,9.287e-16,2.047e-11,3.630e-10,1.220e-15,,1.657e-26
574.11,4.314e-10,9.290e-16,1.014e-11,4.212e-10,1.220e-15,,1.656e-26
574.14,5.227e-10,9.294e-16,3.470e-12,5.193e-10,1.220e-15,,1.656e-26
574.16,5.924e-10,9.297e-16,1.677e-12,5.908e-10,1.220e-15,,1.655e-26
574.19,7.054e-10,9.301e-16,5.534e-13,7.049e-10,1.220e-15,,1.654e-26
574.21,7.841e-10,9.304e-16,2.610e-13,7.838e-10,1.220e-15,,1.654e-26
574.24,9.031e-10,9.308e-16,8.304e-14,9.030e-10,1.221e-15,,1.653e-26
574.26,9.806e-10,9.311e-16,3.823e-14,9.806e-10,1.221e-15,,1.652e-26
574.29,1.090e-9,9.315e-16,1.172e-14,1.090e-9,1.221e-15,,1.652e-26
574.31,1.156e-9,9.318e-16,5.267e-15,1.156e-9,1.221e-15,,1.651e-26
574.33,1.214e-9,9.321e-16,2.343e-15,1.214e-9,1.221e-15,,1.650e-26
574.36,1.283e-9,9.325e-16,6.827e-16,1.283e-9,1.221e-15,,1.650e-26
574.38,1.316e-9,9.327e-16,2.964e-16,1.316e-9,1.221e-15,,1.649e-26
574.41,1.343e-9,9.332e-16,8.326e-17,1.343e-9,1.221e-15,,1.648e-26
574.43,1.346e-9,9.334e-16,3.528e-17,1.346e-9,1.222e-15,,1.648e-26
574.46,1.327e-9,9.339e-16,9.554e-18,1.327e-9,1.222e-15,,1.647e-26
574.48,1.300e-9,9.341e-16,9.731e-18,1.300e-9,1.222e-15,,1.647e-26
574.51,1.241e-9,3.443e-15,9.997e-18,1.241e-9,1.222e-15,,1.646e-26
574.53,1.192e-9,8.115e-15,1.017e-17,1.192e-9,1.222e-15,,1.645e-26
574.56,1.105e-9,2.885e-14,1.044e-17,1.105e-9,1.222e-15,,1.644e-26
574.58,1.043e-9,6.638e-14,1.062e-17,1.043e-9,1.222e-15,,1.644e-26
574.61,9.465e-10,2.276e-13,1.088e-17,9.462e-10,1.222e-15,,1.643e-26
574.63,8.830e-10,5.112e-13,1.106e-17,8.825e-10,1.223e-15,,1.643e-26
574.66,7.935e-10,1.690e-12,1.132e-17,7.919e-10,1.223e-15,,1.642e-26
574.68,7.403e-10,3.707e-12,1.150e-17,7.366e-10,1.223e-15,,1.641e-26
574.7,6.947e-10,8.052e-12,1.168e-17,6.867e-10,1.223e-15,,1.641e-26
574.73,6.484e-10,2.531e-11,1.194e-17,6.231e-10,1.223e-15,,1.640e-26
574.75,6.424e-10,5.367e-11,1.212e-17,5.887e-10,1.223e-15,,1.639e-26
574.78,7.116e-10,1.627e-10,1.239e-17,5.488e-10,1.223e-15,,1.639e-26
574.8,8.663e-10,3.368e-10,1.256e-17,5.295e-10,1.223e-15,,1.638e-26
574.83,1.495e-9,9.849e-10,1.283e-17,5.098e-10,1.224e-15,,1.637e-26
574.85,2.492e-9,1.990e-9,1.301e-17,5.016e-10,1.224e-15,,1.637e-26
574.88,6.108e-9,5.613e-9,1.327e-17,4.945e-10,1.224e-15,,1.636e-26
574.9,1.156e-8,1.107e-8,1.345e-17,4.919e-10,1.224e-15,,1.635e-26
574.93,3.061e-8,3.012e-8,1.371e-17,4.890e-10,1.224e-15,,1.635e-26
574.95,5.849e-8,5.800e-8,1.389e-17,4.867e-10,1.224e-15,,1.634e-26
574.98,1.527e-7,1.522e-7,1.416e-17,4.816e-10,1.224e-15,,1.633e-26
575,2.865e-7,2.861e-7,1.433e-17,4.767e-10,1.225e-15,,1.633e-26
575.03,7.245e-7,7.240e-7,1.460e-17,4.671e-10,1.225e-15,,1.632e-26
575.05,1.329e-6,1.329e-6,1.478e-17,4.596e-10,1.225e-15,,1.631e-26
575.07,2.415e-6,2.414e-6,1.495e-17,4.518e-10,1.225e-15,,1.631e-26
575.1,5.810e-6,5.809e-6,1.522e-17,4.413e-10,1.225e-15,,1.630e-26
575.12,1.031e-5,1.031e-5,1.540e-17,4.364e-10,1.225e-15,,1.630e-26
575.15,2.392e-5,2.392e-5,1.566e-17,4.350e-10,1.225e-15,,1.629e-26
575.17,4.142e-5,4.142e-5,1.584e-17,4.398e-10,1.225e-15,,1.628e-26
575.2,9.271e-5,9.271e-5,1.610e-17,4.584e-10,1.226e-15,,1.627e-26
575.22,1.567e-4,1.567e-4,1.628e-17,4.801e-10,1.226e-15,,1.627e-26
575.25,3.384e-4,3.384e-4,1.655e-17,5.290e-10,1.226e-15,,1.626e-26
575.27,5.585e-4,5.585e-4,1.672e-17,5.736e-10,1.226e-15,,1.626e-26
575.3,1.163e-3,1.163e-3,1.699e-17,6.596e-10,1.226e-15,,1.625e-26
575.32,1.874e-3,1.874e-3,1.717e-17,7.298e-10,1.226e-15,,1.624e-26
575.35,3.763e-3,3.763e-3,1.743e-17,8.536e-10,1.226e-15,,1.624e-26
575.37,5.918e-3,5.918e-3,1.761e-17,9.471e-10,1.227e-15,,1.623e-26
575.4,1.146e-2,1.146e-2,1.787e-17,1.101e-9,1.227e-15,,1.622e-26
575.42,1.760e-2,1.760e-2,1.805e-17,1.210e-9,1.227e-15,,1.622e-26
575.44,2.677e-2,2.677e-2,1.823e-17,1.321e-9,1.227e-15,,1.621e-26
575.47,4.929e-2,4.929e-2,1.849e-17,1.487e-9,1.227e-15,,1.620e-26
575.49,7.317e-2,7.317e-2,1.867e-17,1.594e-9,1.227e-15,,1.620e-26
575.52,1.300e-1,1.300e-1,1.894e-17,1.741e-9,1.227e-15,,1.619e-26
575.54,1.883e-1,1.883e-1,1.911e-17,1.826e-9,1.227e-15,,1.618e-26
575.57,3.227e-1,3.227e-1,1.938e-17,1.929e-9,1.228e-15,,1.618e-26
575.59,4.564e-1,4.564e-1,1.955e-17,1.978e-9,1.228e-15,,1.617e-26
575.62,7.542e-1,7.542e-1,1.982e-17,2.018e-9,1.228e-15,,1.616e-26
575.64,1.042e+0,1.042e+0,2.000e-17,2.021e-9,1.228e-15,,1.616e-26
575.67,1.660e+0,1.660e+0,2.026e-17,1.990e-9,1.228e-15,,1.615e-26
575.69,2.238e+0,2.238e+0,2.044e-17,1.946e-9,1.228e-15,,1.615e-26
575.72,3.440e+0,3.440e+0,2.071e-17,1.850e-9,1.228e-15,,1.614e-26
575.74,4.527e+0,4.527e+0,2.088e-17,1.766e-9,1.228e-15,,1.613e-26
575.77,6.712e+0,6.712e+0,2.115e-17,1.619e-9,1.229e-15,,1.612e-26
575.79,8.623e+0,8.623e+0,2.133e-17,1.510e-9,1.229e-15,,1.612e-26
575.81,1.097e+1,1.097e+1,2.150e-17,1.395e-9,1.229e-15,,1.611e-26
575.84,1.546e+1,1.546e+1,2.177e-17,1.216e-9,1.229e-15,,1.611e-26
575.86,1.921e+1,1.921e+1,2.194e-17,1.097e-9,1.229e-15,,1.610e-26
575.89,2.611e+1,2.611e+1,2.221e-17,9.222e-10,1.229e-15,,1.609e-26
575.91,3.166e+1,3.166e+1,2.239e-17,8.119e-10,1.229e-15,,1.609e-26
575.94,4.152e+1,4.152e+1,2.265e-17,6.587e-10,1.230e-15,,1.608e-26
575.96,4.914e+1,4.914e+1,2.283e-17,5.661e-10,1.230e-15,,1.607e-26
575.99,6.215e+1,6.215e+1,2.310e-17,4.431e-10,1.230e-15,,1.607e-26
576.01,7.182e+1,7.182e+1,2.327e-17,3.718e-10,1.230e-15,,1.606e-26
576.04,8.761e+1,8.761e+1,2.354e-17,2.807e-10,1.230e-15,,1.605e-26
576.06,9.882e+1,9.882e+1,2.371e-17,2.299e-10,1.230e-15,,1.605e-26
576.09,1.163e+2,1.163e+2,2.398e-17,1.674e-10,1.230e-15,,1.604e-26
576.11,1.280e+2,1.280e+2,2.416e-17,1.339e-10,1.230e-15,,1.603e-26
576.14,1.453e+2,1.453e+2,2.442e-17,9.406e-11,1.231e-15,,1.603e-26
576.16,1.562e+2,1.562e+2,2.460e-17,7.344e-11,1.231e-15,,1.602e-26
576.19,1.709e+2,1.709e+2,2.487e-17,4.976e-11,1.231e-15,,1.601e-26
576.21,1.794e+2,1.794e+2,5.916e-17,3.792e-11,1.231e-15,,1.601e-26
576.23,1.864e+2,1.864e+2,1.394e-16,2.863e-11,1.231e-15,,1.600e-26
576.26,1.940e+2,1.940e+2,4.954e-16,1.844e-11,1.231e-15,,1.599e-26
576.28,1.968e+2,1.968e+2,1.140e-15,1.359e-11,1.231e-15,,1.599e-26
576.31,1.975e+2,1.975e+2,3.908e-15,8.446e-12,1.231e-15,,1.598e-26
576.33,1.956e+2,1.956e+2,8.778e-15,6.077e-12,1.232e-15,,1.598e-26
576.36,1.894e+2,1.894e+2,2.903e-14,3.644e-12,1.232e-15,,1.597e-26
576.38,1.831e+2,1.831e+2,6.367e-14,2.562e-12,1.232e-15,,1.596e-26
576.41,1.709e+2,1.709e+2,2.031e-13,1.488e-12,1.232e-15,,1.595e-26
576.43,1.613e+2,1.613e+2,4.350e-13,1.028e-12,1.232e-15,,1.595e-26
576.46,1.453e+2,1.453e+2,1.339e-12,5.927e-13,1.232e-15,,1.594e-26
576.48,1.339e+2,1.339e+2,2.799e-12,4.200e-13,1.232e-15,,1.594e-26
576.51,1.163e+2,1.163e+2,8.311e-12,2.796e-13,1.233e-15,,1.593e-26
576.53,1.046e+2,1.046e+2,1.696e-11,2.453e-13,1.233e-15,,1.592e-26
576.56,8.761e+1,8.761e+1,4.859e-11,2.668e-13,1.233e-15,,1.592e-26
576.58,7.692e+1,7.692e+1,9.685e-11,3.289e-13,1.233e-15,,1.591e-26
576.6,6.689e+1,6.689e+1,1.912e-10,4.342e-13,1.233e-15,,1.590e-26
576.63,5.327e+1,5.327e+1,5.207e-10,6.939e-13,1.233e-15,,1.590e-26
576.65,4.522e+1,4.522e+1,1.004e-9,9.557e-13,1.233e-15,,1.589e-26
576.68,3.474e+1,3.474e+1,2.637e-9,1.533e-12,1.233e-15,,1.588e-26
576.7,2.879e+1,2.879e+1,4.963e-9,2.081e-12,1.234e-15,,1.588e-26
576.73,2.133e+1,2.133e+1,1.258e-8,3.238e-12,1.234e-15,,1.587e-26
576.75,1.726e+1,1.726e+1,2.311e-8,4.298e-12,1.234e-15,,1.586e-26
576.78,1.233e+1,1.233e+1,5.653e-8,6.455e-12,1.234e-15,,1.586e-26
576.8,9.738e+0,9.738e+0,1.014e-7,8.365e-12,1.234e-15,,1.585e-26
576.83,6.712e+0,6.712e+0,2.392e-7,1.212e-11,1.234e-15,,1.584e-26
576.85,5.175e+0,5.175e+0,4.189e-7,1.533e-11,1.234e-15,,1.584e-26
576.88,3.440e+0,3.440e+0,9.536e-7,2.143e-11,1.234e-15,,1.583e-26
576.9,2.589e+0,2.589e+0,1.630e-6,2.647e-11,1.235e-15,,1.583e-26
576.93,1.660e+0,1.660e+0,3.580e-6,3.569e-11,1.235e-15,,1.582e-26
576.95,1.220e+0,1.220e+0,5.977e-6,4.304e-11,1.235e-15,,1.581e-26
576.97,8.874e-1,8.874e-1,9.882e-6,5.140e-11,1.235e-15,,1.581e-26
577,5.410e-1,5.409e-1,2.064e-5,6.590e-11,1.235e-15,,1.580e-26
577.02,3.843e-1,3.842e-1,3.331e-5,7.684e-11,1.235e-15,,1.579e-26
577.05,2.260e-1,2.259e-1,6.711e-5,9.503e-11,1.235e-15,,1.579e-26
577.07,1.568e-1,1.566e-1,1.058e-4,1.082e-10,1.236e-15,,1.578e-26
577.1,8.904e-2,8.883e-2,2.056e-4,1.290e-10,1.236e-15,,1.577e-26
577.12,6.045e-2,6.013e-2,3.164e-4,1.434e-10,1.236e-15,,1.577e-26
577.15,3.348e-2,3.289e-2,5.932e-4,1.650e-10,1.236e-15,,1.576e-26
577.17,2.262e-2,2.173e-2,8.912e-4,1.791e-10,1.236e-15,,1.575e-26
577.2,1.308e-2,1.146e-2,1.612e-3,1.988e-10,1.236e-15,,1.575e-26
577.22,9.760e-3,7.396e-3,2.365e-3,2.106e-10,1.236e-15,,1.574e-26
577.25,7.890e-3,3.763e-3,4.127e-3,2.255e-10,1.236e-15,,1.573e-26
577.27,8.280e-3,2.370e-3,5.910e-3,2.332e-10,1.237e-15,,1.573e-26
577.3,1.111e-2,1.163e-3,9.951e-3,2.409e-10,1.237e-15,,1.572e-26
577.32,1.463e-2,7.149e-4,1.391e-2,2.432e-10,1.237e-15,,1.571e-26
577.34,1.971e-2,4.353e-4,1.927e-2,2.432e-10,1.237e-15,,1.571e-26
577.37,3.106e-2,2.031e-4,3.086e-2,2.389e-10,1.237e-15,,1.570e-26
577.39,4.186e-2,1.207e-4,4.174e-2,2.332e-10,1.237e-15,,1.570e-26
577.42,6.453e-2,5.431e-5,6.448e-2,2.209e-10,1.237e-15,,1.569e-26
577.44,8.518e-2,3.151e-5,8.515e-2,2.106e-10,1.237e-15,,1.568e-26
577.47,1.269e-1,1.368e-5,1.269e-1,1.924e-10,1.238e-15,,1.567e-26
577.49,1.637e-1,7.747e-6,1.637e-1,1.791e-10,1.238e-15,,1.567e-26
577.52,2.354e-1,3.243e-6,2.354e-1,1.579e-10,1.238e-15,,1.566e-26
577.54,2.965e-1,1.793e-6,2.965e-1,1.434e-10,1.238e-15,,1.566e-26
577.57,4.116e-1,7.240e-7,4.116e-1,1.220e-10,1.238e-15,,1.565e-26
577.59,5.062e-1,3.908e-7,5.062e-1,1.082e-10,1.238e-15,,1.564e-26
577.62,6.784e-1,1.522e-7,6.784e-1,8.874e-11,1.238e-15,,1.563e-26
577.64,8.151e-1,8.019e-8,8.151e-1,7.684e-11,1.239e-15,,1.563e-26
577.67,1.055e+0,3.012e-8,1.055e+0,6.081e-11,1.239e-15,,1.562e-26
577.69,1.238e+0,1.549e-8,1.238e+0,5.140e-11,1.239e-15,,1.562e-26
577.71,1.441e+0,7.893e-9,1.441e+0,4.304e-11,1.239e-15,,1.561e-26
577.74,1.777e+0,2.819e-9,1.777e+0,3.238e-11,1.239e-15,,1.560e-26
577.76,2.022e+0,1.402e-9,2.022e+0,2.647e-11,1.239e-15,,1.560e-26
577.79,2.413e+0,4.828e-10,2.413e+0,1.921e-11,1.239e-15,,1.559e-26
577.81,2.686e+0,2.344e-10,2.686e+0,1.533e-11,1.239e-15,,1.558e-26
577.84,3.105e+0,7.786e-11,3.105e+0,1.074e-11,1.240e-15,,1.558e-26
577.86,3.387e+0,3.690e-11,3.387e+0,8.365e-12,1.240e-15,,1.557e-26
577.89,3.801e+0,1.182e-11,3.801e+0,5.650e-12,1.240e-15,,1.556e-26
577.91,4.067e+0,5.470e-12,4.067e+0,4.298e-12,1.240e-15,,1.556e-26
577.94,4.444e+0,1.690e-12,4.444e+0,2.801e-12,1.240e-15,,1.555e-26
577.96,4.677e+0,7.635e-13,4.677e+0,2.081e-12,1.240e-15,,1.554e-26
577.99,4.995e+0,2.276e-13,4.995e+0,1.310e-12,1.240e-15,,1.554e-26
578.01,5.184e+0,1.003e-13,5.184e+0,9.524e-13,1.240e-15,,1.553e-26
578.04,5.436e+0,2.885e-14,5.436e+0,5.837e-13,1.241e-15,,1.552e-26
578.06,5.583e+0,1.241e-14,5.583e+0,4.205e-13,1.241e-15,,1.552e-26
578.09,5.777e+0,3.443e-15,5.777e+0,2.627e-13,1.241e-15,,1.551e-26
578.11,5.891e+0,1.446e-15,5.891e+0,2.005e-13,1.241e-15,,1.551e-26
578.13,5.994e+0,1.448e-15,5.994e+0,1.645e-13,1.241e-15,,1.550e-26
578.16,6.131e+0,1.450e-15,6.131e+0,1.506e-13,1.241e-15,,1.549e-26
578.18,6.213e+0,1.452e-15,6.213e+0,1.654e-13,1.241e-15,,1.549e-26
578.21,6.319e+0,1.454e-15,6.319e+0,2.244e-13,1.242e-15,,1.548e-26
578.23,6.377e+0,1.456e-15,6.377e+0,2.915e-13,1.242e-15,,1.547e-26
578.26,6.441e+0,1.458e-15,6.441e+0,4.438e-13,1.242e-15,,1.547e-26
578.28,6.464e+0,1.460e-15,6.464e+0,5.886e-13,1.242e-15,,1.546e-26
578.31,6.462e+0,1.462e-15,6.462e+0,8.899e-13,1.242e-15,,1.545e-26
578.33,6.430e+0,1.464e-15,6.430e+0,1.161e-12,1.242e-15,,1.545e-26
578.36,6.332e+0,1.466e-15,6.332e+0,1.702e-12,1.242e-15,,1.544e-26
578.38,6.228e+0,1.468e-15,6.228e+0,2.170e-12,1.242e-15,,1.543e-26
578.41,6.012e+0,1.470e-15,6.012e+0,3.072e-12,1.243e-15,,1.543e-26
578.43,5.826e+0,1.472e-15,5.826e+0,3.826e-12,1.243e-15,,1.542e-26
578.46,5.490e+0,1.474e-15,5.490e+0,5.224e-12,1.243e-15,,1.541e-26
578.48,5.230e+0,1.476e-15,5.230e+0,6.354e-12,1.243e-15,,1.541e-26
578.5,4.946e+0,1.477e-15,4.946e+0,7.654e-12,1.243e-15,,1.540e-26
578.53,4.482e+0,1.480e-15,4.482e+0,9.941e-12,1.243e-15,,1.539e-26
578.55,4.156e+0,1.481e-15,4.156e+0,1.169e-11,1.243e-15,,1.539e-26
578.58,3.654e+0,1.484e-15,3.654e+0,1.465e-11,1.244e-15,,1.538e-26
578.6,3.318e+0,1.485e-15,3.318e+0,1.683e-11,1.244e-15,,1.538e-26
578.63,2.826e+0,1.488e-15,2.826e+0,2.035e-11,1.244e-15,,1.537e-26
578.65,2.511e+0,1.489e-15,2.511e+0,2.282e-11,1.244e-15,,1.536e-26
578.68,2.070e+0,1.492e-15,2.070e+0,2.661e-11,1.244e-15,,1.535e-26
578.7,1.799e+0,1.493e-15,1.799e+0,2.914e-11,1.244e-15,,1.535e-26
578.73,1.434e+0,1.496e-15,1.434e+0,3.280e-11,1.244e-15,,1.534e-26
578.75,1.219e+0,1.497e-15,1.219e+0,3.506e-11,1.244e-15,,1.534e-26
578.78,9.394e-1,1.500e-15,9.394e-1,3.807e-11,1.245e-15,,1.533e-26
578.8,7.807e-1,1.501e-15,7.807e-1,3.975e-11,1.245e-15,,1.532e-26
578.83,5.814e-1,1.504e-15,5.814e-1,4.164e-11,1.245e-15,,1.531e-26
578.85,4.723e-1,1.505e-15,4.723e-1,4.244e-11,1.245e-15,,1.531e-26
578.87,3.802e-1,1.507e-15,3.802e-1,4.285e-11,1.245e-15,,1.530e-26
578.9,2.699e-1,1.509e-15,2.699e-1,4.270e-11,1.245e-15,,1.530e-26
578.92,2.123e-1,1.511e-15,2.123e-1,4.209e-11,1.245e-15,,1.529e-26
578.95,1.456e-1,1.513e-15,1.456e-1,4.047e-11,1.245e-15,,1.528e-26
578.97,1.120e-1,1.515e-15,1.120e-1,3.895e-11,1.246e-15,,1.528e-26
579,7.419e-2,1.517e-15,7.419e-2,3.613e-11,1.246e-15,,1.527e-26
579.02,5.574e-2,1.519e-15,5.574e-2,3.396e-11,1.246e-15,,1.526e-26
579.05,3.568e-2,1.521e-15,3.568e-2,3.039e-11,1.246e-15,,1.526e-26
579.07,2.620e-2,1.523e-15,2.620e-2,2.790e-11,1.246e-15,,1.525e-26
579.1,1.620e-2,1.525e-15,1.620e-2,2.410e-11,1.246e-15,,1.524e-26
579.12,1.162e-2,1.527e-15,1.162e-2,2.161e-11,1.246e-15,,1.524e-26
579.15,6.941e-3,1.529e-15,6.941e-3,1.805e-11,1.247e-15,,1.523e-26
579.17,4.866e-3,1.531e-15,4.866e-3,1.584e-11,1.247e-15,,1.522e-26
579.2,2.807e-3,1.533e-15,2.807e-3,1.284e-11,1.247e-15,,1.522e-26
579.22,1.923e-3,1.535e-15,1.923e-3,1.110e-11,1.247e-15,,1.521e-26
579.24,1.305e-3,1.537e-15,1.305e-3,9.565e-12,1.247e-15,,1.521e-26
579.27,7.170e-4,1.539e-15,7.170e-4,7.711e-12,1.247e-15,,1.520e-26
579.29,4.754e-4,1.541e-15,4.754e-4,6.790e-12,1.247e-15,,1.519e-26
579.32,2.523e-4,1.543e-15,2.523e-4,5.920e-12,1.247e-15,,1.519e-26
579.34,1.634e-4,1.545e-15,1.634e-4,5.711e-12,1.248e-15,,1.518e-26
579.37,8.374e-5,1.547e-15,8.374e-5,6.028e-12,1.248e-15,,1.517e-26
579.39,5.300e-5,1.549e-15,5.300e-5,6.717e-12,1.248e-15,,1.517e-26
579.42,2.623e-5,1.551e-15,2.623e-5,8.596e-12,1.248e-15,,1.516e-26
579.44,1.622e-5,1.553e-15,1.622e-5,1.051e-11,1.248e-15,,1.515e-26
579.47,7.748e-6,1.555e-15,7.748e-6,1.458e-11,1.248e-15,,1.515e-26
579.49,4.680e-6,1.556e-15,4.680e-6,1.823e-11,1.248e-15,,1.514e-26
579.52,2.159e-6,1.559e-15,2.159e-6,2.538e-11,1.248e-15,,1.513e-26
579.54,1.274e-6,1.560e-15,1.274e-6,3.142e-11,1.249e-15,,1.513e-26
579.57,5.675e-7,1.563e-15,5.675e-7,4.268e-11,1.249e-15,,1.512e-26
579.59,3.271e-7,1.564e-15,3.271e-7,5.180e-11,1.249e-15,,1.511e-26
579.61,1.869e-7,1.566e-15,1.868e-7,6.230e-11,1.249e-15,,1.511e-26
579.64,7.928e-8,1.568e-15,7.920e-8,8.078e-11,1.249e-15,,1.510e-26
579.66,4.427e-8,1.570e-15,4.418e-8,9.494e-11,1.249e-15,,1.510e-26
579.69,1.820e-8,1.572e-15,1.808e-8,1.188e-10,1.249e-15,,1.509e-26
579.71,9.989e-9,1.574e-15,9.853e-9,1.364e-10,1.249e-15,,1.508e-26
579.74,4.058e-9,1.576e-15,3.893e-9,1.648e-10,1.250e-15,,1.507e-26
579.76,2.257e-9,1.578e-15,2.072e-9,1.847e-10,1.250e-15,,1.507e-26
579.79,1.006e-9,1.580e-15,7.903e-10,2.153e-10,1.250e-15,,1.506e-26
579.81,6.465e-10,1.582e-15,4.108e-10,2.357e-10,1.250e-15,,1.506e-26
579.84,4.164e-10,1.584e-15,1.512e-10,2.652e-10,1.250e-15,,1.505e-26
579.86,3.602e-10,1.586e-15,7.679e-11,2.834e-10,1.250e-15,,1.504e-26
579.89,3.349e-10,1.588e-15,2.729e-11,3.077e-10,1.250e-15,,1.503e-26
579.91,3.346e-10,1.590e-15,1.353e-11,3.211e-10,1.251e-15,,1.503e-26
579.94,3.410e-10,1.592e-15,4.641e-12,3.363e-10,1.251e-15,,1.502e-26
579.96,3.451e-10,1.594e-15,2.248e-12,3.428e-10,1.251e-15,,1.502e-26
579.98,3.472e-10,1.596e-15,1.078e-12,3.461e-10,1.251e-15,,1.501e-26
580.01,3.452e-10,1.598e-15,3.519e-13,3.449e-10,1.251e-15,,1.500e-26
580.03,3.401e-10,1.600e-15,1.649e-13,3.400e-10,1.251e-15,,1.500e-26
580.06,3.269e-10,1.602e-15,5.194e-14,3.269e-10,1.251e-15,,1.499e-26
580.08,3.147e-10,1.604e-15,2.376e-14,3.147e-10,1.251e-15,,1.498e-26
580.11,2.920e-10,1.606e-15,7.225e-15,2.920e-10,1.252e-15,,1.498e-26
580.13,2.745e-10,1.608e-15,3.228e-15,2.745e-10,1.252e-15,,1.497e-26
580.16,2.457e-10,1.610e-15,9.471e-16,2.457e-10,1.252e-15,,1.496e-26
580.18,2.256e-10,1.612e-15,3.915e-16,2.256e-10,1.252e-15,,1.496e-26
580.21,1.949e-10,1.614e-15,1.112e-16,1.949e-10,1.252e-15,,1.495e-26
580.23,1.747e-10,1.616e-15,4.746e-17,1.747e-10,1.252e-15,,1.494e-26
580.26,1.456e-10,1.618e-15,1.300e-17,1.456e-10,1.252e-15,,1.494e-26
580.28,1.275e-10,1.620e-15,1.300e-17,1.275e-10,1.253e-15,,1.493e-26
580.31,1.025e-10,1.622e-15,1.299e-17,1.025e-10,1.253e-15,,1.492e-26
580.33,8.765e-11,1.624e-15,1.298e-17,8.765e-11,1.253e-15,,1.492e-26
580.36,6.804e-11,1.626e-15,1.297e-17,6.804e-11,1.253e-15,,1.491e-26
580.38,5.680e-11,1.628e-15,1.296e-17,5.680e-11,1.253e-15,,1.490e-26
580.4,4.697e-11,1.629e-15,1.296e-17,4.697e-11,1.253e-15,,1.490e-26
580.43,3.472e-11,1.632e-15,1.295e-17,3.472e-11,1.253e-15,,1.489e-26
580.45,2.806e-11,1.633e-15,1.294e-17,2.806e-11,1.253e-15,,1.489e-26
580.48,2.008e-11,1.636e-15,1.293e-17,2.008e-11,1.254e-15,,1.488e-26
580.5,1.592e-11,1.637e-15,1.293e-17,1.592e-11,1.254e-15,,1.487e-26
580.53,1.117e-11,1.640e-15,1.292e-17,1.117e-11,1.254e-15,,1.487e-26
580.55,8.839e-12,1.641e-15,1.291e-17,8.839e-12,1.254e-15,,1.486e-26
580.58,6.412e-12,1.643e-15,1.290e-17,6.412e-12,1.254e-15,,1.485e-26
580.6,5.415e-12,1.645e-15,1.289e-17,5.415e-12,1.254e-15,,1.485e-26
580.63,4.758e-12,1.647e-15,1.288e-17,4.758e-12,1.254e-15,,1.484e-26
580.65,4.863e-12,1.649e-15,1.288e-17,4.863e-12,1.254e-15,,1.483e-26
580.68,5.875e-12,1.651e-15,1.287e-17,5.875e-12,1.255e-15,,1.483e-26
580.7,7.187e-12,1.653e-15,1.286e-17,7.187e-12,1.255e-15,,1.482e-26
580.73,1.030e-11,1.655e-15,1.285e-17,1.030e-11,1.255e-15,,1.481e-26
580.75,1.330e-11,1.657e-15,1.285e-17,1.330e-11,1.255e-15,,1.481e-26
580.77,1.720e-11,1.659e-15,1.284e-17,1.720e-11,1.255e-15,,1.480e-26
580.8,2.511e-11,1.661e-15,1.283e-17,2.511e-11,1.255e-15,,1.479e-26
580.82,3.203e-11,1.663e-15,1.282e-17,3.203e-11,1.255e-15,,1.479e-26
580.85,4.545e-11,1.665e-15,1.281e-17,4.545e-11,1.256e-15,,1.478e-26
580.87,5.676e-11,1.667e-15,1.281e-17,5.676e-11,1.256e-15,,1.478e-26
580.9,7.786e-11,1.669e-15,1.280e-17,7.786e-11,1.256e-15,,1.477e-26
580.92,9.500e-11,1.671e-15,1.279e-17,9.500e-11,1.256e-15,,1.476e-26
